data;Empresa;vendas
2024-01-16;GER;0.0
2024-01-17;GER;76351.28
2024-01-19;GER;-27519.85
2024-01-22;GER;38306.18
2024-01-23;GER;51412.38
2024-01-24;GER;80403.46
2024-01-25;GER;74527.98
2024-01-26;GER;69834.85
2024-01-29;GER;5633.17
2024-01-30;GER;199185.69
2024-01-31;GER;2629.48
2024-02-01;GER;69846.62
2024-02-02;GER;79554.34
2024-02-03;GER;41139.9
2024-02-05;GER;-6352.7
2024-02-06;GER;417.96
2024-02-07;GER;-239.76
2024-02-08;GER;8146.61
2024-02-13;GER;174556.2
2024-02-14;GER;104508.32
2024-02-15;GER;50109.64
2024-02-19;GER;3910.66
2024-02-20;GER;2093.0
2024-02-21;GER;33861.21
2024-02-22;GER;25183.62
2024-02-23;GER;1391.04
2024-02-26;GER;71535.52
2024-02-27;GER;332524.03
2024-02-28;GER;889251.53
2024-02-29;GER;108397.7
2024-03-01;GER;599.85
2024-03-04;GER;126100.8
2024-03-05;GER;136779.77
2024-03-07;GER;44444.13
2024-03-08;GER;216159.96
2024-03-11;GER;62260.74
2024-03-12;GER;-16847.62
2024-03-13;GER;66589.78
2024-03-14;GER;175193.61
2024-03-15;GER;122578.8
2024-03-16;GER;18977.43
2024-03-18;GER;301.89
2024-03-20;GER;853.62
2024-03-21;GER;119408.82
2024-03-22;GER;40709.39
2024-03-25;GER;3978.21
2024-03-26;GER;347737.47
2024-03-27;GER;377223.7
2024-03-28;GER;81031.44
2024-04-01;GER;284174.4
2024-04-02;GER;309035.75
2024-04-03;GER;63673.49
2024-04-04;GER;166631.83
2024-04-05;GER;401432.64
2024-04-08;GER;2171.41
2024-04-09;GER;1383.35
2024-04-10;GER;82517.08
2024-04-11;GER;70265.12
2024-04-15;GER;198653.0
2024-04-16;GER;231413.47
2024-04-17;GER;243364.95
2024-04-18;GER;155413.34
2024-04-19;GER;153884.99
2024-04-22;GER;263560.37
2024-04-23;GER;459.23
2024-04-24;GER;562847.49
2024-04-25;GER;74797.66
2024-04-26;GER;84652.03
2024-04-29;GER;498872.63
2024-04-30;GER;449502.7
2024-05-01;GER;173735.88
2024-05-02;GER;218769.6
2024-05-03;GER;555021.6
2024-05-06;GER;357571.46
2024-05-07;GER;108160.0
2024-05-08;GER;-2299.0
2024-05-09;GER;6936.13
2024-05-13;GER;35018.04
2024-05-14;GER;34466.12
2024-05-15;GER;96552.43
2024-05-16;GER;7322.75
2024-05-17;GER;2842.11
2024-05-20;GER;-9509.12
2024-05-21;GER;87134.35
2024-05-22;GER;85472.48
2024-05-23;GER;898.32
2024-05-24;GER;22698.34
2024-05-27;GER;175325.15
2024-05-28;GER;18338.11
2024-05-29;GER;79935.61
2024-06-03;GER;-7019.27
2024-06-04;GER;-33895.68
2024-06-05;GER;23330.75
2024-06-06;GER;23332.07
2024-06-07;GER;39692.52
2024-06-10;GER;49751.58
2024-06-11;GER;39504.76
2024-06-12;GER;190.96
2024-06-13;GER;88606.92
2024-06-14;GER;37991.97
2024-06-17;GER;64011.63
2024-06-18;GER;110303.07
2024-06-19;GER;28120.54
2024-06-20;GER;20783.23
2024-06-21;GER;109490.06
2024-06-24;GER;78780.96
2024-06-25;GER;-5393.45
2024-06-27;GER;67340.81
2024-06-28;GER;178137.67
2024-07-01;GER;4216.85
2024-07-02;GER;24909.63
2024-07-03;GER;34527.26
2024-07-04;GER;186803.89
2024-07-05;GER;123634.8
2024-07-08;GER;48644.63
2024-07-10;GER;138140.5
2024-07-11;GER;26943.89
2024-07-12;GER;24138.4
2024-07-15;GER;492428.18
2024-07-16;GER;34813.35
2024-07-17;GER;174224.95
2024-07-18;GER;27251.84
2024-07-22;GER;-24964.41
2024-07-23;GER;132943.1
2024-07-24;GER;64643.72
2024-07-25;GER;787.18
2024-07-29;GER;238243.5
2024-07-30;GER;64117.37
2024-07-31;GER;242486.3
2024-08-01;GER;40453.51
2024-08-02;GER;101153.55
2024-08-03;GER;55184.46
2024-08-05;GER;34568.76
2024-08-06;GER;17226.54
2024-08-07;GER;15693.2
2024-08-08;GER;27400.94
2024-08-09;GER;16375.75
2024-08-12;GER;-59496.14
2024-08-13;GER;51323.99
2024-08-14;GER;37751.07
2024-08-15;GER;18125.3
2024-08-16;GER;-2366.28
2024-08-19;GER;139123.91
2024-08-20;GER;49500.4
2024-08-21;GER;76477.37
2024-08-22;GER;59430.63
2024-08-23;GER;167510.26
2024-08-26;GER;21401.45
2024-08-27;GER;3448.8
2024-08-28;GER;154385.95
2024-08-29;GER;580535.39
2024-08-30;GER;645859.44
2024-09-02;GER;65848.64
2024-09-03;GER;-32855.37
2024-09-04;GER;10863.75
2024-09-05;GER;126613.86
2024-09-06;GER;1110.3
2024-09-09;GER;2190.6
2024-09-10;GER;4223.11
2024-09-11;GER;10629.49
2024-09-12;GER;115959.23
2024-09-13;GER;80448.36
2024-09-14;GER;4109.56
2024-09-16;GER;14981.75
2024-09-17;GER;233582.92
2024-09-18;GER;52623.43
2024-09-19;GER;99184.69
2024-09-20;GER;28904.79
2024-09-23;GER;195778.4
2024-09-24;GER;-77491.81
2024-09-25;GER;66800.12
2024-09-26;GER;736015.65
2024-09-27;GER;162303.68
2024-09-30;GER;893103.5
2024-10-02;GER;30406.32
2024-10-03;GER;236010.2
2024-10-04;GER;12213.18
2024-10-07;GER;123652.09
2024-10-08;GER;126862.76
2024-10-09;GER;57924.27
2024-10-10;GER;570551.37
2024-10-11;GER;185140.01
2024-10-14;GER;5038.22
2024-10-15;GER;199223.76
2024-10-16;GER;292041.76
2024-10-17;GER;-439.84
2024-10-18;GER;55319.81
2024-10-21;GER;424565.63
2024-10-22;GER;234500.51
2024-10-23;GER;300833.75
2024-10-24;GER;163405.22
2024-10-25;GER;11429.69
2024-10-28;GER;9932.6
2024-10-29;GER;93548.3
2024-10-30;GER;73756.44
2024-10-31;GER;94694.88
2024-11-01;GER;-19004.0
2024-11-04;GER;446696.76
2024-11-05;GER;28712.32
2024-11-06;GER;101446.77
2024-11-07;GER;100116.66
2024-11-08;GER;45095.69
2024-11-11;GER;84997.33
2024-11-12;GER;219145.27
2024-11-13;GER;113059.2
2024-11-14;GER;69334.89
2024-11-19;GER;452516.42
2024-11-20;GER;65766.4
2024-11-21;GER;39022.12
2024-11-22;GER;202788.11
2024-11-23;GER;2274.96
2024-11-25;GER;297059.28
2024-11-26;GER;360184.3
2024-11-27;GER;-13051.24
2024-11-28;GER;113323.49
2024-11-29;GER;4420.56
2024-12-02;GER;76749.1
2024-12-03;GER;219745.09
2024-12-04;GER;96808.45
2024-12-05;GER;320971.37
2024-12-09;GER;178668.01
2024-12-10;GER;331270.09
2024-12-11;GER;-1992.02
2024-12-12;GER;54809.05
2024-12-13;GER;149510.08
2024-12-16;GER;1524.67
2024-12-17;GER;23573.65
2024-12-18;GER;6607.45
2024-12-20;GER;941.71
2025-01-08;GER;47412.94
2025-01-09;GER;1722.97
2025-01-10;GER;292.34
2025-01-13;GER;9994.72
2025-01-14;GER;1509.57
2025-01-16;GER;-6270.42
2025-01-17;GER;50733.79
2025-01-20;GER;76075.24
2025-01-21;GER;18069.39
2025-01-22;GER;98716.75
2025-01-23;GER;1637.48
2025-01-27;GER;31795.59
2025-01-28;GER;96349.97
2025-01-29;GER;56081.07
2025-01-30;GER;51212.02
2025-02-03;GER;17026.08
2025-02-04;GER;6697.16
2025-02-05;GER;303416.82
2025-02-06;GER;168836.44
2025-02-07;GER;40268.4
2025-02-08;GER;578.64
2025-02-10;GER;4221.16
2025-02-11;GER;147477.12
2025-02-12;GER;1447.17
2025-02-13;GER;26182.47
2025-02-14;GER;19597.18
2025-02-17;GER;175132.91
2025-02-18;GER;-13900.1
2025-02-19;GER;-18854.58
2025-02-20;GER;287268.18
2025-02-21;GER;-6228.01
2025-02-24;GER;-9140.38
2025-02-25;GER;90022.47
2025-02-26;GER;27383.16
