data;Empresa;vendas
2023-09-29;032;16453.0
2023-09-29;003;3356.2
2023-09-29;021;5010.0
2023-09-29;002;817.7
2023-09-29;001;245.8
2023-09-29;028;626.0
2023-09-29;052;10199.9
2023-09-29;040;3003.3
2023-09-30;001;157.0
2023-09-30;013;178.0
2023-09-30;003;1172.3
2023-09-30;052;67471.0
2023-09-30;021;4921.3
2023-09-30;040;11775.11
2023-09-30;002;5261.8
2023-09-30;032;14116.0
2023-10-01;040;5439.4
2023-10-02;052;4867.0
2023-10-02;002;1259.8
2023-10-02;028;1076.0
2023-10-02;001;3869.7
2023-10-02;040;4184.0
2023-10-02;021;427.0
2023-10-02;003;583.0
2023-10-02;032;2952.0
2023-10-02;013;6277.5
2023-10-03;002;30.0
2023-10-03;021;8305.2
2023-10-03;032;12312.2
2023-10-03;001;2340.0
2023-10-03;003;15835.5
2023-10-03;028;684.0
2023-10-03;052;2891.0
2023-10-03;040;2046.8
2023-10-03;013;5479.5
2023-10-04;002;1646.0
2023-10-04;001;2295.8
2023-10-04;021;6589.6
2023-10-04;003;15513.7
2023-10-04;028;2895.95
2023-10-04;013;5179.5
2023-10-04;032;1195.0
2023-10-04;040;1644.65
2023-10-04;052;5626.5
2023-10-05;001;681.3
2023-10-05;013;9330.5
2023-10-05;002;2878.4
2023-10-05;021;665.55
2023-10-05;040;3181.1
2023-10-05;032;3732.0
2023-10-05;003;8355.55
2023-10-05;052;5380.9
2023-10-06;003;1969.0
2023-10-06;032;1673.0
2023-10-06;021;2795.9
2023-10-06;040;5779.9
2023-10-06;028;775.0
2023-10-06;001;216.0
2023-10-06;013;978.0
2023-10-06;002;5943.4
2023-10-07;028;12303.1
2023-10-07;013;378.0
2023-10-07;040;5785.5
2023-10-07;021;910.1
2023-10-07;002;200.0
2023-10-07;003;4331.0
2023-10-07;032;1098.0
2023-10-08;040;1900.05
2023-10-08;032;3951.0
2023-10-09;013;499.2
2023-10-09;001;4350.0
2023-10-09;003;1685.0
2023-10-09;052;6712.9
2023-10-09;040;13107.89
2023-10-09;021;435.0
2023-10-09;002;195.0
2023-10-09;032;1700.0
2023-10-10;021;7609.4
2023-10-10;013;236.6
2023-10-10;003;19295.4
2023-10-10;052;8132.0
2023-10-10;001;3954.5
2023-10-10;040;5378.05
2023-10-10;002;4982.5
2023-10-10;028;2075.0
2023-10-10;032;845.0
2023-10-11;032;5496.0
2023-10-11;028;6376.0
2023-10-11;002;5819.0
2023-10-11;021;3874.0
2023-10-11;003;32928.2
2023-10-11;001;20.0
2023-10-11;013;1492.3
2023-10-11;040;5906.05
2023-10-11;052;1121.0
2023-10-12;040;3592.2
2023-10-12;032;6580.0
2023-10-13;001;3520.0
2023-10-13;021;13578.2
2023-10-13;028;6903.0
2023-10-13;013;1179.5
2023-10-13;040;12171.68
2023-10-13;052;15901.7
2023-10-13;032;5892.0
2023-10-13;002;3475.2
2023-10-13;003;14403.2
2023-10-14;003;4222.8
2023-10-14;032;2201.0
2023-10-14;013;737.5
2023-10-14;040;16155.4
2023-10-14;028;320.0
2023-10-14;021;1101.85
2023-10-14;002;0.0
2023-10-15;032;2515.0
2023-10-15;040;9756.53
2023-10-16;032;1496.0
2023-10-17;002;1125.0
2023-10-17;001;10081.0
2023-10-17;013;487.2
2023-10-17;052;1789.0
2023-10-17;003;36628.6
2023-10-17;021;7235.0
2023-10-17;040;4467.65
2023-10-17;028;42.0
2023-10-17;032;5614.0
2023-10-18;021;11934.1
2023-10-18;040;585.5
2023-10-18;002;2049.55
2023-10-18;052;3528.0
2023-10-18;003;7713.1
2023-10-18;032;3192.0
2023-10-18;013;1315.5
2023-10-19;032;9700.0
2023-10-19;028;4433.45
2023-10-19;002;1552.0
2023-10-19;001;4568.0
2023-10-19;003;1208.6
2023-10-19;021;2932.0
2023-10-19;013;886.0
2023-10-19;052;12297.0
2023-10-19;040;3602.6
2023-10-20;021;12335.2
2023-10-20;001;4221.0
2023-10-20;032;13540.0
2023-10-20;003;6010.0
2023-10-20;002;1733.7
2023-10-20;052;5042.0
2023-10-20;040;1755.67
2023-10-20;013;3929.0
2023-10-21;001;2034.0
2023-10-21;021;4773.65
2023-10-21;032;2891.0
2023-10-21;013;2739.4
2023-10-21;040;4673.97
2023-10-21;052;10633.9
2023-10-21;028;302.01
2023-10-21;002;693.1
2023-10-22;032;659.0
2023-10-22;040;2721.34
2023-10-23;013;9446.9
2023-10-23;002;30.0
2023-10-23;003;5319.5
2023-10-23;032;7009.8
2023-10-23;021;3982.5
2023-10-23;040;1599.95
2023-10-23;052;3512.0
2023-10-23;001;3747.5
2023-10-24;002;2907.0
2023-10-24;032;1005.0
2023-10-24;013;222.0
2023-10-24;028;4023.0
2023-10-24;040;1274.8
2023-10-24;052;22316.0
2023-10-24;001;7028.3
2023-10-25;013;24493.7
2023-10-25;021;6211.0
2023-10-25;003;4193.5
2023-10-25;001;2743.0
2023-10-25;002;3635.73
2023-10-25;040;10454.85
2023-10-25;032;9460.0
2023-10-25;052;46246.6
2023-10-25;028;3147.0
2023-10-26;001;790.15
2023-10-26;040;2741.5
2023-10-26;002;3269.0
2023-10-26;052;2497.0
2023-10-26;021;2134.5
2023-10-26;013;2374.0
2023-10-26;003;5090.1
2023-10-26;028;19637.0
2023-10-26;032;4060.0
2023-10-27;032;935.0
2023-10-27;021;1868.5
2023-10-27;003;155.0
2023-10-27;028;2206.0
2023-10-27;052;4418.0
2023-10-27;001;2666.2
2023-10-27;002;2145.35
2023-10-27;040;2520.33
2023-10-27;013;60.0
2023-10-28;028;1735.0
2023-10-28;002;410.0
2023-10-28;032;2682.0
2023-10-28;021;285.0
2023-10-28;040;6359.1
2023-10-28;052;1940.0
2023-10-28;003;8938.5
2023-10-28;013;460.0
2023-10-29;040;14206.65
2023-10-29;032;2168.4
2023-10-30;021;3124.5
2023-10-30;001;6305.6
2023-10-30;052;5682.0
2023-10-30;040;2301.0
2023-10-30;028;6410.0
2023-10-30;032;6075.0
2023-10-30;003;14467.8
2023-10-30;002;2175.3
2023-10-31;002;5517.9
2023-10-31;021;1055.0
2023-10-31;032;9290.0
2023-10-31;013;170.0
2023-10-31;052;1193.0
2023-10-31;001;4653.7
2023-10-31;003;98714.34
2023-10-31;040;23056.25
2023-11-01;002;1320.9
2023-11-01;001;2315.0
2023-11-01;013;2255.0
2023-11-01;052;700.0
2023-11-01;028;532.0
2023-11-01;040;2222.5
2023-11-01;021;2264.4
2023-11-01;032;700.0
2023-11-02;040;2317.4
2023-11-03;021;911.25
2023-11-03;040;7928.7
2023-11-03;003;7203.6
2023-11-03;032;9209.5
2023-11-03;001;335.0
2023-11-03;013;3231.5
2023-11-03;002;2371.3
2023-11-03;028;705.0
2023-11-03;052;797.0
2023-11-04;032;3279.0
2023-11-04;021;497.4
2023-11-04;002;1927.0
2023-11-04;028;974.0
2023-11-04;040;6681.87
2023-11-04;001;190.0
2023-11-04;003;-181.75
2023-11-04;013;1914.0
2023-11-05;032;5345.0
2023-11-05;040;7890.87
2023-11-06;052;21095.7
2023-11-06;021;2171.6
2023-11-06;032;400.0
2023-11-06;001;1466.5
2023-11-06;002;1934.3
2023-11-06;003;317.5
2023-11-06;013;163.0
2023-11-06;028;1643.0
2023-11-07;013;186.0
2023-11-07;040;5545.0
2023-11-07;002;2264.0
2023-11-07;001;39918.3
2023-11-07;021;1294.5
2023-11-07;032;80.0
2023-11-07;028;4347.0
2023-11-07;052;16796.0
2023-11-07;003;31023.55
2023-11-08;028;1440.0
2023-11-08;013;170.0
2023-11-08;001;274.5
2023-11-08;021;2702.5
2023-11-08;052;2435.0
2023-11-08;032;6775.0
2023-11-08;002;2290.0
2023-11-08;040;9578.4
2023-11-08;003;10257.7
2023-11-09;002;50.0
2023-11-09;052;1606.6
2023-11-09;013;2247.0
2023-11-09;040;4243.6
2023-11-09;028;340.0
2023-11-09;001;6089.31
2023-11-09;021;4756.39
2023-11-09;032;2395.0
2023-11-09;003;1393.2
2023-11-10;021;1528.5
2023-11-10;002;25.0
2023-11-10;052;11077.5
2023-11-10;003;2475.0
2023-11-10;028;9465.65
2023-11-10;013;352.0
2023-11-10;040;16116.63
2023-11-10;001;840.0
2023-11-10;032;6496.0
2023-11-11;021;1195.1
2023-11-11;013;422.5
2023-11-11;002;471.6
2023-11-11;052;11420.0
2023-11-11;003;6880.5
2023-11-11;032;1270.0
2023-11-11;040;3838.3
2023-11-11;028;543.0
2023-11-12;040;4255.0
2023-11-12;032;3790.0
2023-11-13;052;10487.0
2023-11-13;021;819.5
2023-11-13;028;2055.0
2023-11-13;001;762.0
2023-11-13;032;9110.0
2023-11-13;040;2620.92
2023-11-13;003;18172.3
2023-11-13;013;3341.9
2023-11-14;002;35.0
2023-11-14;021;2098.4
2023-11-14;032;4779.0
2023-11-14;001;2590.0
2023-11-14;040;1137.76
2023-11-14;003;6252.55
2023-11-14;013;262.0
2023-11-14;052;1251.5
2023-11-14;028;2600.0
2023-11-15;040;5902.4
2023-11-16;001;4816.39
2023-11-16;013;3302.1
2023-11-16;032;2665.0
2023-11-16;040;7002.7
2023-11-16;028;1060.0
2023-11-16;002;737.0
2023-11-16;003;1178.0
2023-11-17;002;1430.0
2023-11-17;032;2285.0
2023-11-17;003;47248.3
2023-11-17;052;560.0
2023-11-17;021;4672.5
2023-11-17;040;14560.6
2023-11-17;013;5822.0
2023-11-17;001;774.0
2023-11-18;003;1493.5
2023-11-18;021;859.2
2023-11-18;013;2300.0
2023-11-18;032;15553.0
2023-11-18;040;9226.8
2023-11-19;040;12961.93
