data;vendas
2023-10-09;348690.47
2023-10-10;541623.07
2023-10-11;236238.54
2023-10-13;223872.15
2023-10-16;176847.01
2023-10-17;209318.84
2023-10-18;211354.33
2023-10-19;347978.72
2023-10-20;433287.76
2023-10-23;303286.36
2023-10-24;276039.76
2023-10-25;472128.37
2023-10-26;217178.28
2023-10-27;327004.72
2023-10-30;473061.15
2023-10-31;658449.61
2023-11-01;140156.84
2023-11-03;195577.13
2023-11-06;71303.65
2023-11-07;324466.41
2023-11-08;348653.43
2023-11-09;548325.87
2023-11-10;294636.46
2023-11-13;514309.92
2023-11-14;233835.24
2023-11-16;641998.64
2023-11-17;300957.57
2023-11-21;876599.12
2023-11-22;545955.22
2023-11-23;766617.61
2023-11-24;563520.31
2023-11-25;21333.69
2023-11-27;525391.44
2023-11-28;362480.24
2023-11-29;914245.45
2023-11-30;676089.46
2023-12-01;712777.8
2023-12-04;633885.64
2023-12-05;160245.78
2023-12-06;372486.09
2023-12-07;602850.07
2023-12-08;240735.34
2023-12-11;385687.19
2023-12-12;551372.05
2023-12-13;517744.33
2023-12-14;1179159.78
2023-12-15;302206.33
2023-12-18;16851.39
2023-12-19;29580.21
2023-12-20;15198.54
2024-01-04;-3286.52
2024-01-08;-891.97
2024-01-09;3038.36
2024-01-10;-23425.58
2024-01-11;57933.26
2024-01-12;115794.77
2024-01-15;64826.16
2024-01-16;183797.18
2024-01-17;113808.76
2024-01-18;70443.92
2024-01-19;40808.54
2024-01-22;26978.89
2024-01-23;24083.31
2024-01-24;2937.81
2024-01-25;76433.15
2024-01-26;12116.09
2024-01-29;121645.95
2024-01-30;98303.04
2024-01-31;278247.05
2024-02-01;64411.3
2024-02-02;225178.33
2024-02-05;-267719.99
2024-02-06;195218.08
2024-02-07;156748.39
2024-02-08;141560.89
2024-02-09;49617.03
2024-02-14;161894.06
2024-02-15;143818.77
2024-02-16;111663.93
2024-02-17;-660.41
2024-02-19;54033.48
2024-02-20;723569.15
2024-02-21;508727.37
2024-02-22;413027.38
2024-02-23;649996.8
2024-02-26;-12616.6
2024-02-27;158191.67
2024-02-28;197499.55
2024-02-29;117249.72
2024-03-01;-26039.56
2024-03-04;235855.84
2024-03-05;264229.11
2024-03-06;97790.5
2024-03-07;230246.42
2024-03-08;113476.91
2024-03-11;366190.43
2024-03-12;190201.85
2024-03-13;202307.66
2024-03-14;60226.77
2024-03-15;319965.78
2024-03-18;196370.98
2024-03-19;231900.63
2024-03-20;342733.62
2024-03-21;59908.41
2024-03-22;340365.69
2024-03-25;147987.03
2024-03-26;659661.86
2024-03-27;374490.6
2024-03-28;857457.87
2024-04-01;176348.11
2024-04-02;588034.98
2024-04-03;175069.49
2024-04-04;305759.01
2024-04-05;217638.02
2024-04-08;588015.66
2024-04-09;555796.02
2024-04-10;1546170.21
2024-04-11;221554.03
2024-04-12;-18022.73
2024-04-15;340071.51
2024-04-16;963624.28
2024-04-17;372379.25
2024-04-18;127819.9
2024-04-19;274933.56
2024-04-22;198521.01
2024-04-23;936585.54
2024-04-24;755310.75
2024-04-25;869149.23
2024-04-26;433826.92
2024-04-29;184787.92
2024-04-30;190526.4
2024-05-02;454525.03
2024-05-03;286128.33
2024-05-04;773910.11
2024-05-06;891599.89
2024-05-07;930236.68
2024-05-08;595796.66
2024-05-09;348980.36
2024-05-10;185143.11
2024-05-13;426416.26
2024-05-14;492201.11
2024-05-15;338967.91
2024-05-16;237512.35
2024-05-17;480607.38
2024-05-20;224951.3
2024-05-21;807913.33
2024-05-22;620247.47
2024-05-23;674037.76
2024-05-24;552876.43
2024-05-27;621928.02
2024-05-28;15177.17
2024-05-29;245326.2
2024-05-31;90360.83
2024-06-03;137178.91
2024-06-04;79783.49
2024-06-05;612923.63
2024-06-06;684969.1
2024-06-07;182094.87
2024-06-10;143030.5
2024-06-11;233943.37
2024-06-12;151921.48
2024-06-13;104112.61
2024-06-14;197958.03
2024-06-17;299647.28
2024-06-18;53504.88
2024-06-19;592328.03
2024-06-20;762301.99
2024-06-21;215791.7
2024-06-24;396005.2
2024-06-25;287726.87
2024-06-26;105242.82
2024-06-27;401660.54
2024-06-28;35589.49
2024-07-01;890396.7
2024-07-02;187218.7
2024-07-03;124818.82
2024-07-04;151287.24
2024-07-05;197047.11
2024-07-08;322934.21
2024-07-10;255982.1
2024-07-11;660184.3
2024-07-12;135770.61
2024-07-15;504591.35
2024-07-16;115774.64
2024-07-17;441642.52
2024-07-18;118273.06
2024-07-19;24495.54
2024-07-22;189874.1
2024-07-23;125711.45
2024-07-24;24571.84
2024-07-25;290671.53
2024-07-26;431045.05
2024-07-29;432401.32
2024-07-30;535944.33
2024-07-31;89087.66
2024-08-01;75027.73
2024-08-02;90509.27
2024-08-03;3013.48
2024-08-05;-8913.25
2024-08-06;213385.55
2024-08-07;60112.92
2024-08-08;1180510.21
2024-08-09;354031.03
2024-08-12;772188.59
2024-08-13;77573.31
2024-08-14;359815.46
2024-08-15;218611.35
2024-08-16;85231.4
2024-08-19;-187770.3
2024-08-20;133606.26
2024-08-21;216044.83
2024-08-22;238964.33
2024-08-23;726164.51
2024-08-26;560619.21
2024-08-27;859507.0
