data;vendas
2023-10-08;12998.4
2023-10-09;62933.52
2023-10-10;108560.99
2023-10-11;53171.63
2023-10-12;13836.2
2023-10-13;152610.89
2023-10-14;68349.17
2023-10-15;7548.9
2023-10-16;69307.93
2023-10-17;74413.59
2023-10-18;54350.7
2023-10-19;53257.5
2023-10-20;68316.42
2023-10-21;87939.66
2023-10-22;8482.24
2023-10-23;83224.85
2023-10-24;79388.02
2023-10-25;65393.13
2023-10-26;64436.91
2023-10-27;77379.78
2023-10-28;98716.41
2023-10-29;13736.51
2023-10-30;73191.04
2023-10-31;108927.85
2023-11-01;68076.79
2023-11-02;8129.0
2023-11-03;83818.01
2023-11-04;70455.44
2023-11-05;1754.4
2023-11-06;60110.88
2023-11-07;70515.51
2023-11-08;86671.28
2023-11-09;77682.24
2023-11-10;83480.57
2023-11-11;135497.85
2023-11-12;10688.8
2023-11-13;83595.41
2023-11-14;96149.86
2023-11-15;8539.5
2023-11-16;81008.02
2023-11-17;66843.78
2023-11-18;109123.27
2023-11-19;17642.6
2023-11-20;10154.88
2023-11-21;77522.18
2023-11-22;91316.15
2023-11-23;104071.14
2023-11-24;124425.52
2023-11-25;144126.95
2023-11-26;15832.71
2023-11-27;91089.03
2023-11-28;59026.54
2023-11-29;111271.37
2023-11-30;149740.51
2023-12-01;98102.6
2023-12-02;83590.63
2023-12-03;4610.25
2023-12-04;67544.62
2023-12-05;95085.65
2023-12-06;91379.52
2023-12-07;60082.42
2023-12-08;119070.17
2023-12-09;114463.59
2023-12-10;7091.54
2023-12-11;119374.11
2023-12-12;106487.39
2023-12-13;125177.01
2023-12-14;143093.73
2023-12-15;133303.32
2023-12-16;214047.2
2023-12-17;21633.82
2023-12-18;145338.16
2023-12-19;191000.92
2023-12-20;184031.68
2023-12-21;244641.47
2023-12-22;256544.46
2023-12-23;307090.68
2023-12-24;209469.55
2023-12-26;67979.55
2023-12-27;113860.52
2023-12-28;86941.66
2023-12-29;130136.51
2023-12-30;73874.08
2023-12-31;6121.0
2024-01-02;25244.7
2024-01-03;52853.06
2024-01-04;62697.58
2024-01-05;72257.33
2024-01-06;72292.47
2024-01-07;7565.0
2024-01-08;80315.55
2024-01-09;66370.75
2024-01-10;89740.23
2024-01-11;83714.02
2024-01-12;85151.76
2024-01-13;56862.78
2024-01-14;15921.51
2024-01-15;76139.54
2024-01-16;47920.23
2024-01-17;77116.26
2024-01-18;108785.3
2024-01-19;79329.27
2024-01-20;71068.06
2024-01-21;9511.9
2024-01-22;80332.11
2024-01-23;54045.43
2024-01-24;107820.5
2024-01-25;64923.41
2024-01-26;67823.89
2024-01-27;86324.7
2024-01-28;8937.0
2024-01-29;80497.59
2024-01-30;64820.76
2024-01-31;207633.35
2024-02-01;47476.79
2024-02-02;51907.31
2024-02-03;58257.36
2024-02-04;16769.44
2024-02-05;57345.73
2024-02-06;45767.62
2024-02-07;51617.74
2024-02-08;69418.54
2024-02-09;88721.44
2024-02-10;63586.73
2024-02-11;9436.8
2024-02-12;9872.67
2024-02-13;3501.49
2024-02-14;42322.0
2024-02-15;49655.4
2024-02-16;66236.49
2024-02-17;68471.33
2024-02-18;9814.76
2024-02-19;48100.88
2024-02-20;45967.47
2024-02-21;37676.94
2024-02-22;62902.88
2024-02-23;70413.09
2024-02-24;67733.22
2024-02-25;4168.44
2024-02-26;44345.77
2024-02-27;60154.68
2024-02-28;66246.79
2024-02-29;75695.47
2024-03-01;49833.82
2024-03-02;75796.82
2024-03-03;12008.37
2024-03-04;76588.06
2024-03-05;66906.06
2024-03-06;73138.5
2024-03-07;62225.8
2024-03-08;95024.21
2024-03-09;108773.23
2024-03-10;15486.71
2024-03-11;85564.89
2024-03-12;84706.67
2024-03-13;86584.66
2024-03-14;88351.62
2024-03-15;79992.37
2024-03-16;81016.77
2024-03-17;10377.2
2024-03-18;54767.56
2024-03-19;75191.6
2024-03-20;64119.08
2024-03-21;51217.06
2024-03-22;83890.11
2024-03-23;107674.93
2024-03-24;10747.28
2024-03-25;59093.72
2024-03-26;63152.41
2024-03-27;51168.4
2024-03-28;100925.06
2024-03-29;2299.0
2024-03-30;108430.61
2024-03-31;2342.6
2024-04-01;33364.84
2024-04-02;75353.5
2024-04-03;46735.5
2024-04-04;52546.06
2024-04-05;69483.25
2024-04-06;89681.73
2024-04-07;3560.25
2024-04-08;65142.02
2024-04-09;92243.48
2024-04-10;42598.0
2024-04-11;56603.15
2024-04-12;92055.57
2024-04-13;88634.91
2024-04-14;13333.51
2024-04-15;93004.56
2024-04-16;68270.65
2024-04-17;65441.3
2024-04-18;56302.21
2024-04-19;82352.75
2024-04-20;80866.88
2024-04-21;5507.0
2024-04-22;69722.6
2024-04-23;48325.49
2024-04-24;63591.42
2024-04-25;51185.65
2024-04-26;56945.11
2024-04-27;98698.99
2024-04-28;6413.46
2024-04-29;76812.36
2024-04-30;147199.57
2024-05-01;3289.05
2024-05-02;130905.59
2024-05-03;82045.72
2024-05-04;94596.46
2024-05-05;6273.2
2024-05-06;62587.79
2024-05-07;108274.88
2024-05-08;131335.21
2024-05-09;119623.99
2024-05-10;169082.24
2024-05-11;232741.12
2024-05-12;18474.53
2024-05-13;94148.28
2024-05-14;103068.5
2024-05-15;105450.73
2024-05-16;101208.31
2024-05-17;82117.39
2024-05-18;79957.72
2024-05-19;21934.0
2024-05-20;47756.29
2024-05-21;67123.1
2024-05-22;70409.84
2024-05-23;85889.2
2024-05-24;59370.19
2024-05-25;93192.37
2024-05-26;11111.9
2024-05-27;56470.45
2024-05-28;68999.85
2024-05-29;110676.75
2024-05-30;18816.27
2024-05-31;94216.51
2024-06-01;85822.42
2024-06-02;15525.57
2024-06-03;69334.29
2024-06-04;108308.99
2024-06-05;94863.6
2024-06-06;80462.16
2024-06-07;134759.6
2024-06-08;108956.72
2024-06-09;30546.55
2024-06-10;132224.74
2024-06-11;220578.69
2024-06-12;258106.37
2024-06-13;51033.72
2024-06-14;85882.58
2024-06-15;66850.86
2024-06-16;12737.73
2024-06-17;57035.84
2024-06-18;62912.68
2024-06-19;66776.66
2024-06-20;89486.54
2024-06-21;55232.94
2024-06-22;75102.26
2024-06-23;11143.4
2024-06-24;66121.02
2024-06-25;86782.91
2024-06-26;59776.15
2024-06-27;62964.96
2024-06-28;102487.16
2024-06-29;104814.92
2024-06-30;10067.0
2024-07-01;38713.1
2024-07-02;86616.46
2024-07-03;102230.2
2024-07-04;108461.09
2024-07-05;116075.86
2024-07-06;73637.08
2024-07-07;17076.5
2024-07-08;93680.07
2024-07-09;5052.0
2024-07-10;94767.06
2024-07-11;97344.21
2024-07-12;104507.75
2024-07-13;38263.99
2024-07-14;12648.0
2024-07-15;43933.09
2024-07-16;67582.99
2024-07-17;99998.59
2024-07-18;62296.03
2024-07-19;70902.38
2024-07-20;71574.55
2024-07-21;6161.5
2024-07-22;100264.41
2024-07-23;80436.23
2024-07-24;92807.49
2024-07-25;77328.97
2024-07-26;115217.27
2024-07-27;80816.3
2024-07-28;8454.26
2024-07-29;88879.1
2024-07-30;80674.84
2024-07-31;91336.26
2024-08-01;195395.33
2024-08-02;175020.96
2024-08-03;134233.15
2024-08-05;127204.01
2024-08-06;131964.29
2024-08-07;189351.92
2024-08-08;152681.43
2024-08-09;197926.89
2024-08-10;207126.15
2024-08-11;18973.5
2024-08-12;156518.87
2024-08-13;140084.67
2024-08-14;173428.53
2024-08-15;138302.2
2024-08-16;194924.53
2024-08-17;117160.27
2024-08-18;19985.95
2024-08-19;135685.78
2024-08-20;192591.23
2024-08-21;185963.77
2024-08-22;141940.38
2024-08-23;132781.33
2024-08-24;163394.42
2024-08-25;61426.24
2024-08-26;140184.01
2024-08-27;145676.48
2024-08-28;176772.17
2024-08-29;204045.13
2024-08-30;266629.8
2024-08-31;329893.03
2024-09-01;41993.73
2024-09-02;312759.32
2024-09-03;248270.96
2024-09-04;286401.03
2024-09-05;287983.91
2024-09-06;356766.05
2024-09-07;322215.11
2024-09-08;196318.38
2024-09-09;340776.02
2024-09-10;652859.88
2024-09-11;190118.99
2024-09-12;139791.36
2024-09-13;139305.35
2024-09-14;177173.15
2024-09-15;15868.65
2024-09-16;90964.65
2024-09-17;157780.3
2024-09-18;90172.67
2024-09-19;74538.19
2024-09-20;313344.11
2024-09-21;138306.06
2024-09-22;13822.0
2024-09-23;140719.37
2024-09-24;89123.11
2024-09-25;123239.02
2024-09-26;314417.97
2024-09-27;183257.43
2024-09-28;298649.61
2024-09-29;39473.36
2024-09-30;539105.16
2024-10-01;71806.86
2024-10-02;53516.01
2024-10-03;49240.41
2024-10-04;72863.15
2024-10-05;75383.71
2024-10-06;10442.0
2024-10-07;95378.96
2024-10-08;77829.73
2024-10-09;79513.71
2024-10-10;69928.26
2024-10-11;104040.74
2024-10-12;8290.0
2024-10-13;11178.0
2024-10-14;86020.38
2024-10-15;57220.53
2024-10-16;81404.57
2024-10-17;65053.69
2024-10-18;64250.15
2024-10-19;56984.4
2024-10-20;10332.0
2024-10-21;67517.81
2024-10-22;70492.43
2024-10-23;53838.42
2024-10-24;86607.2
2024-10-25;48764.03
2024-10-26;48225.42
2024-10-27;12227.26
2024-10-28;76907.43
2024-10-29;74779.79
2024-10-30;72608.43
2024-10-31;115168.14
2024-11-01;92882.97
2024-11-02;12182.91
2024-11-03;8337.19
2024-11-04;74449.6
2024-11-05;67003.84
2024-11-06;74502.04
2024-11-07;78349.48
2024-11-08;65606.77
2024-11-09;81932.09
2024-11-10;13244.01
2024-11-11;85178.88
2024-11-12;89101.87
2024-11-13;57974.63
2024-11-14;87148.38
2024-11-15;15573.85
2024-11-16;64164.28
2024-11-17;6909.0
2024-11-18;105983.83
2024-11-19;237518.07
2024-11-20;47347.09
2024-11-21;139938.67
2024-11-22;124495.76
2024-11-23;137750.74
2024-11-24;16254.24
2024-11-25;84764.09
2024-11-26;113941.16
2024-11-27;97137.21
2024-11-28;91276.85
2024-11-29;141056.6
2024-11-30;202536.13
2024-12-01;12910.2
2024-12-02;74892.94
2024-12-03;77743.66
2024-12-04;56932.94
2024-12-05;73777.06
2024-12-06;107734.79
2024-12-07;104435.29
2024-12-08;9606.94
2024-12-09;106120.54
2024-12-10;106718.39
2024-12-11;130851.44
2024-12-12;124907.38
2024-12-13;210035.44
2024-12-14;118268.9
2024-12-15;42397.31
2024-12-16;154177.51
2024-12-17;203777.15
2024-12-18;130527.14
2024-12-19;164511.53
2024-12-20;190843.45
2024-12-21;162383.9
2024-12-22;137075.13
2024-12-23;315454.66
2024-12-24;290783.18
2024-12-26;79849.35
2024-12-27;127353.68
2024-12-28;83885.54
2024-12-29;39381.0
2024-12-30;86263.1
2024-12-31;37357.71
2025-01-02;30684.33
2025-01-03;65056.17
2025-01-04;60286.32
2025-01-05;10086.1
2025-01-06;70676.06
2025-01-07;68954.07
2025-01-08;75340.66
2025-01-09;83251.18
2025-01-10;92036.85
2025-01-11;102079.68
2025-01-12;11570.0
2025-01-13;70403.08
2025-01-14;65811.54
2025-01-15;76287.39
2025-01-16;90586.8
2025-01-17;68485.7
2025-01-18;83181.94
2025-01-19;1722.05
2025-01-20;52767.13
2025-01-21;87730.71
2025-01-22;50721.79
2025-01-23;81397.39
2025-01-24;91337.98
2025-01-25;62569.72
2025-01-26;2469.0
2025-01-27;67335.03
2025-01-28;51182.66
2025-01-29;50488.78
2025-01-30;54791.4
2025-01-31;122125.22
2025-02-01;70489.85
2025-02-02;8926.0
2025-02-03;91732.38
2025-02-04;74414.47
2025-02-05;71488.83
2025-02-06;95536.13
2025-02-07;81487.56
2025-02-08;92029.24
2025-02-09;7523.6
2025-02-10;64542.79
2025-02-11;45145.1
2025-02-12;72395.9
2025-02-13;62809.94
2025-02-14;53691.6
2025-02-15;81144.7
2025-02-16;8257.15
2025-02-17;42867.62
2025-02-18;59963.92
2025-02-19;44700.09
2025-02-20;44950.45
2025-02-21;80429.02
2025-02-22;76355.66
2025-02-23;13347.0
2025-02-24;57190.31
2025-02-25;70313.63
2025-02-26;70411.59
2025-02-27;86014.13
2025-02-28;76856.42
2025-03-01;66114.96
2025-03-02;2454.8
2025-03-03;5010.32
2025-03-04;5641.0
2025-03-05;27401.0
2025-03-06;98371.76
2025-03-07;129190.03
2025-03-08;133244.45
2025-03-09;6008.0
2025-03-10;72778.92
2025-03-11;94162.96
2025-03-12;72221.62
2025-03-13;95245.73
2025-03-14;96969.79
2025-03-15;124764.7
2025-03-16;22016.0
2025-03-17;80705.61
2025-03-18;112630.31
2025-03-19;85813.85
2025-03-20;72587.15
2025-03-21;71868.17
2025-03-22;79346.85
2025-03-23;8692.0
2025-03-24;74388.44
2025-03-25;98793.2
2025-03-26;101937.0
2025-03-27;73038.65
2025-03-28;81729.73
2025-03-29;108739.99
2025-03-30;16156.3
2025-03-31;90100.67
2025-04-01;95533.97
2025-04-02;69153.44
2025-04-03;50626.24
2025-04-04;58040.6
2025-04-05;81831.54
2025-04-06;17553.0
2025-04-07;63891.05
2025-04-08;94492.66
2025-04-09;55643.46
2025-04-10;109929.77
2025-04-11;64643.33
2025-04-12;157150.56
2025-04-13;3941.0
2025-04-14;84100.41
2025-04-15;87223.55
2025-04-16;67502.55
2025-04-17;73745.67
2025-04-18;7079.9
2025-04-19;83892.29
2025-04-20;3656.4
2025-04-21;5928.2
2025-04-22;55102.96
2025-04-23;53570.77
2025-04-24;29514.44
2025-04-25;61503.09
2025-04-26;106863.81
2025-04-27;1854.0
2025-04-28;52714.55
2025-04-29;85699.21
