data;Empresa;vendas
2023-09-29;001;47047.78
2023-09-29;003;54143.65
2023-09-29;007;18973.36
2023-09-29;019;3653.75
2023-09-29;011;11641.43
2023-09-29;010;20293.3
2023-09-29;006;34299.52
2023-09-29;005;14356.4
2023-09-29;002;1356.0
2023-09-29;004;9202.95
2023-09-29;009;337.0
2023-09-29;016;1899.0
2023-09-29;AL1;600.0
2023-09-30;005;40856.3
2023-09-30;007;30393.96
2023-09-30;019;35199.0
2023-09-30;002;722.56
2023-09-30;016;5249.0
2023-09-30;011;7726.3
2023-09-30;004;16773.0
2023-09-30;010;11940.18
2023-09-30;009;2633.8
2023-09-30;006;26988.36
2023-09-30;003;12347.0
2023-09-30;001;16619.51
2023-10-01;010;5611.6
2023-10-01;016;3225.0
2023-10-01;019;3522.5
2023-10-02;019;1911.81
2023-10-02;002;4068.0
2023-10-02;016;1088.01
2023-10-02;001;14322.98
2023-10-02;004;2620.46
2023-10-02;007;4602.46
2023-10-02;009;30.0
2023-10-02;AL1;1310.0
2023-10-02;010;3079.5
2023-10-02;011;1215.06
2023-10-02;003;10614.0
2023-10-02;006;8358.6
2023-10-03;016;194.06
2023-10-03;011;1988.75
2023-10-03;001;5103.86
2023-10-03;003;8384.03
2023-10-03;004;6083.38
2023-10-03;002;528.28
2023-10-03;006;4038.12
2023-10-03;010;6864.12
2023-10-03;019;2388.29
2023-10-03;007;5587.51
2023-10-03;AL1;100.0
2023-10-03;009;834.0
2023-10-03;005;19954.02
2023-10-04;011;3961.59
2023-10-04;002;1492.0
2023-10-04;001;3315.32
2023-10-04;016;602.15
2023-10-04;007;3948.05
2023-10-04;003;18731.3
2023-10-04;AL1;327.3
2023-10-04;005;18527.15
2023-10-04;006;4598.0
2023-10-04;010;3061.0
2023-10-04;019;220.0
2023-10-04;004;2447.8
2023-10-04;009;1510.52
2023-10-05;010;11932.3
2023-10-05;005;6841.35
2023-10-05;011;2261.83
2023-10-05;016;1154.34
2023-10-05;002;14.0
2023-10-05;004;4671.0
2023-10-05;007;3216.96
2023-10-05;009;1346.47
2023-10-05;003;6533.65
2023-10-05;019;1087.0
2023-10-05;006;17089.04
2023-10-05;001;4305.91
2023-10-06;002;1806.0
2023-10-06;019;1302.5
2023-10-06;009;2165.41
2023-10-06;011;3214.4
2023-10-06;007;3028.05
2023-10-06;004;3217.0
2023-10-06;016;58.1
2023-10-06;006;6552.82
2023-10-06;003;10710.0
2023-10-06;005;12334.7
2023-10-06;010;3119.5
2023-10-06;001;9499.66
2023-10-06;AL1;3321.0
2023-10-07;004;4153.0
2023-10-07;006;3610.0
2023-10-07;009;3521.4
2023-10-07;007;4600.02
2023-10-07;005;10934.6
2023-10-07;001;7185.3
2023-10-07;010;11731.3
2023-10-07;002;1836.0
2023-10-07;019;5137.64
2023-10-07;011;8774.24
2023-10-07;016;8972.0
2023-10-07;003;21843.76
2023-10-08;016;210.0
2023-10-08;010;6402.0
2023-10-08;019;6386.4
2023-10-09;019;2544.5
2023-10-09;005;7570.0
2023-10-09;002;385.15
2023-10-09;006;9541.0
2023-10-09;004;10864.0
2023-10-09;007;1964.87
2023-10-09;010;408.4
2023-10-09;001;11465.7
2023-10-09;009;6014.25
2023-10-09;011;1541.0
2023-10-09;003;10634.65
2023-10-10;005;16363.68
2023-10-10;001;23261.74
2023-10-10;009;2321.72
2023-10-10;003;29142.9
2023-10-10;019;5670.5
2023-10-10;011;6153.75
2023-10-10;010;568.0
2023-10-10;007;8254.0
2023-10-10;004;13425.2
2023-10-10;006;2097.0
2023-10-10;016;1217.5
2023-10-10;002;85.0
2023-10-11;004;3683.0
2023-10-11;010;3505.5
2023-10-11;001;11142.39
2023-10-11;007;2870.66
2023-10-11;005;14115.7
2023-10-11;003;1484.0
2023-10-11;AL1;172.0
2023-10-11;002;3104.0
2023-10-11;019;2529.45
2023-10-11;009;365.01
2023-10-11;006;5402.02
2023-10-11;011;3412.9
2023-10-11;016;1385.0
2023-10-12;016;8849.0
2023-10-12;010;1000.0
2023-10-12;019;3987.2
2023-10-13;007;10356.26
2023-10-13;005;15145.6
2023-10-13;003;18485.5
2023-10-13;004;20766.1
2023-10-13;001;50809.0
2023-10-13;AL1;60.0
2023-10-13;002;1271.6
2023-10-13;016;1090.0
2023-10-13;011;4461.04
2023-10-13;019;1744.01
2023-10-13;010;10231.4
2023-10-13;009;5209.38
2023-10-13;006;12981.0
2023-10-14;002;360.0
2023-10-14;005;10045.4
2023-10-14;016;5980.0
2023-10-14;007;1160.0
2023-10-14;003;17146.22
2023-10-14;004;3582.8
2023-10-14;019;5563.1
2023-10-14;001;6710.63
2023-10-14;010;6105.5
2023-10-14;011;6617.87
2023-10-14;006;5077.65
2023-10-15;019;1557.4
2023-10-15;016;390.0
2023-10-15;010;5601.5
2023-10-16;019;5618.02
2023-10-16;006;14138.02
2023-10-16;001;8392.12
2023-10-16;003;4470.2
2023-10-16;005;15964.45
2023-10-16;011;1267.0
2023-10-16;004;1082.0
2023-10-16;002;708.98
2023-10-16;016;3750.0
2023-10-16;007;9090.74
2023-10-16;009;434.5
2023-10-16;010;4391.9
2023-10-17;005;17086.73
2023-10-17;016;740.5
2023-10-17;007;4438.15
2023-10-17;010;4110.4
2023-10-17;001;19476.46
2023-10-17;019;4232.49
2023-10-17;006;7914.62
2023-10-17;AL1;170.0
2023-10-17;011;2589.0
2023-10-17;009;4484.04
2023-10-17;003;6508.2
2023-10-17;004;1343.0
2023-10-17;002;1320.0
2023-10-18;004;7863.0
2023-10-18;001;9651.91
2023-10-18;010;2073.3
2023-10-18;002;717.84
2023-10-18;005;12410.07
2023-10-18;006;2131.0
2023-10-18;019;2534.3
2023-10-18;003;6282.5
2023-10-18;009;1812.99
2023-10-18;011;1592.48
2023-10-18;016;1070.0
2023-10-18;AL1;139.0
2023-10-18;007;6072.31
2023-10-19;019;3666.02
2023-10-19;007;5574.37
2023-10-19;006;725.0
2023-10-19;010;4502.4
2023-10-19;005;15746.22
2023-10-19;002;203.9
2023-10-19;001;3622.2
2023-10-19;016;3144.0
2023-10-19;004;3802.0
2023-10-19;011;2379.24
2023-10-19;003;9892.15
2023-10-20;003;9303.75
2023-10-20;007;1873.0
2023-10-20;016;3436.8
2023-10-20;AL1;338.0
2023-10-20;010;1970.0
2023-10-20;006;11104.54
2023-10-20;005;11006.2
2023-10-20;001;8286.54
2023-10-20;009;1230.29
2023-10-20;011;4763.01
2023-10-20;019;7693.0
2023-10-20;002;671.29
2023-10-20;004;6640.0
2023-10-21;010;9038.87
2023-10-21;005;28929.08
2023-10-21;007;3961.07
2023-10-21;016;1732.59
2023-10-21;003;8970.55
2023-10-21;009;5714.39
2023-10-21;001;6387.98
2023-10-21;004;6454.71
2023-10-21;002;2300.55
2023-10-21;019;8973.35
2023-10-21;011;631.5
2023-10-21;006;4845.02
2023-10-22;010;4337.44
2023-10-22;016;691.8
2023-10-22;019;3453.0
2023-10-23;007;4164.23
2023-10-23;004;10708.2
2023-10-23;001;30646.7
2023-10-23;010;2310.0
2023-10-23;011;2579.8
2023-10-23;019;2636.0
2023-10-23;006;6033.02
2023-10-23;009;328.0
2023-10-23;005;16935.7
2023-10-23;003;6883.2
2023-10-24;016;875.8
2023-10-24;007;7945.02
2023-10-24;001;11463.0
2023-10-24;002;1108.76
2023-10-24;004;2652.5
2023-10-24;011;9811.08
2023-10-24;019;3626.51
2023-10-24;003;7990.55
2023-10-24;005;23115.03
2023-10-24;006;1760.02
2023-10-24;010;8168.05
2023-10-24;009;871.7
2023-10-25;005;27445.65
2023-10-25;016;500.0
2023-10-25;011;6443.68
2023-10-25;AL1;189.0
2023-10-25;001;660.0
2023-10-25;019;983.7
2023-10-25;006;4321.0
2023-10-25;003;12210.21
2023-10-25;007;2730.02
2023-10-25;009;831.47
2023-10-25;010;3890.0
2023-10-25;004;5188.4
2023-10-26;005;11665.3
2023-10-26;002;3296.59
2023-10-26;016;239.0
2023-10-26;001;5619.05
2023-10-26;009;7499.48
2023-10-26;010;12137.0
2023-10-26;004;2056.0
2023-10-26;006;13239.04
2023-10-26;019;1168.35
2023-10-26;003;2347.2
2023-10-26;011;2021.27
2023-10-26;007;3148.63
2023-10-27;019;1665.01
2023-10-27;007;3157.94
2023-10-27;011;5465.47
2023-10-27;009;104.0
2023-10-27;004;478.0
2023-10-27;002;3195.4
2023-10-27;006;7234.98
2023-10-27;016;2075.0
2023-10-27;005;23704.95
2023-10-27;003;12387.6
2023-10-27;001;15706.43
2023-10-27;010;2205.0
2023-10-28;004;3255.0
2023-10-28;002;1600.43
2023-10-28;009;7696.01
2023-10-28;001;7596.65
2023-10-28;005;24573.01
2023-10-28;007;2879.0
2023-10-28;016;4071.58
2023-10-28;006;2820.0
2023-10-28;019;12851.83
2023-10-28;011;556.0
2023-10-28;003;27915.9
2023-10-28;010;2901.0
2023-10-29;010;4548.0
2023-10-29;016;5787.5
2023-10-29;019;3401.01
2023-10-30;001;11569.01
2023-10-30;010;2154.7
2023-10-30;005;26796.0
2023-10-30;009;1310.01
2023-10-30;006;6833.02
2023-10-30;002;1240.0
2023-10-30;AL1;289.0
2023-10-30;019;6402.27
2023-10-30;007;4335.0
2023-10-30;003;9033.8
2023-10-30;011;2342.23
2023-10-30;004;771.0
2023-10-30;016;115.0
2023-10-31;002;3009.91
2023-10-31;005;16033.5
2023-10-31;006;28755.01
2023-10-31;016;1491.0
2023-10-31;003;16020.0
2023-10-31;004;9379.75
2023-10-31;011;3960.0
2023-10-31;010;3082.9
2023-10-31;007;3921.75
2023-10-31;019;7807.2
2023-10-31;001;10287.81
2023-10-31;009;5179.02
2023-11-01;005;10690.45
2023-11-01;011;7442.32
2023-11-01;001;10896.53
2023-11-01;016;560.0
2023-11-01;004;820.0
2023-11-01;007;3731.86
2023-11-01;006;4403.0
2023-11-01;010;2576.2
2023-11-01;019;6688.82
2023-11-01;002;627.0
2023-11-01;003;15030.3
2023-11-01;009;4610.31
2023-11-02;016;40.0
2023-11-02;010;7740.0
2023-11-02;019;349.0
2023-11-03;005;21662.05
2023-11-03;002;3875.79
2023-11-03;016;2942.5
2023-11-03;001;12514.4
2023-11-03;019;9392.77
2023-11-03;003;8383.36
2023-11-03;004;10500.5
2023-11-03;006;348.0
2023-11-03;009;30.0
2023-11-03;010;3518.7
2023-11-03;007;9079.94
2023-11-03;011;1570.0
2023-11-04;019;1989.2
2023-11-04;003;19262.0
2023-11-04;006;717.0
2023-11-04;010;2808.0
2023-11-04;004;4237.0
2023-11-04;007;7031.27
2023-11-04;001;11175.67
2023-11-04;016;6888.0
2023-11-04;005;10108.9
2023-11-04;002;385.0
2023-11-04;011;4450.0
2023-11-04;009;1403.4
2023-11-05;019;780.0
2023-11-05;010;794.4
2023-11-05;016;180.0
2023-11-06;007;6882.93
2023-11-06;019;1362.5
2023-11-06;002;150.0
2023-11-06;001;3057.97
2023-11-06;011;12960.43
2023-11-06;005;6305.0
2023-11-06;010;6182.3
2023-11-06;004;3921.55
2023-11-06;006;7037.0
2023-11-06;003;12171.2
2023-11-06;009;80.0
2023-11-07;010;8389.0
2023-11-07;007;2120.43
2023-11-07;016;535.0
2023-11-07;005;16273.97
2023-11-07;002;595.5
2023-11-07;011;1232.08
2023-11-07;004;6462.7
2023-11-07;AL1;89.0
2023-11-07;003;6641.65
2023-11-07;006;8570.0
2023-11-07;009;6610.61
2023-11-07;001;10672.57
2023-11-07;019;2323.0
2023-11-08;002;225.25
2023-11-08;004;7210.6
2023-11-08;007;4589.33
2023-11-08;009;160.0
2023-11-08;003;15498.03
2023-11-08;005;20913.75
2023-11-08;001;24595.17
2023-11-08;016;1520.0
2023-11-08;006;6710.02
2023-11-08;AL1;1208.2
2023-11-08;011;1860.93
2023-11-08;010;2045.0
2023-11-08;019;135.0
2023-11-09;005;15692.67
2023-11-09;011;2525.82
2023-11-09;006;5193.0
2023-11-09;009;2126.02
2023-11-09;019;4934.12
2023-11-09;007;4445.32
2023-11-09;001;13253.17
2023-11-09;AL1;90.0
2023-11-09;004;1675.8
2023-11-09;002;2908.52
2023-11-09;016;675.0
2023-11-09;010;6469.5
2023-11-09;003;17693.3
2023-11-10;001;10472.73
2023-11-10;004;3064.17
2023-11-10;006;2589.7
2023-11-10;009;348.0
2023-11-10;011;5581.57
2023-11-10;005;19577.35
2023-11-10;007;6582.2
2023-11-10;003;20863.65
2023-11-10;019;8522.0
2023-11-10;002;1973.0
2023-11-10;016;3596.2
2023-11-10;010;310.0
2023-11-11;005;45501.79
2023-11-11;011;2891.72
2023-11-11;016;4365.14
2023-11-11;003;17971.0
2023-11-11;019;29102.72
2023-11-11;007;4465.79
2023-11-11;009;1958.75
2023-11-11;002;465.42
2023-11-11;004;8863.5
2023-11-11;006;5983.92
2023-11-11;010;5957.85
2023-11-11;001;7910.25
2023-11-11;AL1;60.0
2023-11-12;019;2911.0
2023-11-12;010;3608.8
2023-11-12;016;4169.0
2023-11-13;019;6490.34
2023-11-13;011;481.0
2023-11-13;009;2385.07
2023-11-13;006;3485.0
2023-11-13;004;8575.96
2023-11-13;002;1224.0
2023-11-13;003;10725.05
2023-11-13;001;12226.0
2023-11-13;005;18987.15
2023-11-13;007;14539.84
2023-11-13;010;4146.0
2023-11-13;AL1;330.0
2023-11-14;016;3388.8
2023-11-14;006;4890.87
2023-11-14;001;12353.27
2023-11-14;002;4494.5
2023-11-14;005;23937.75
2023-11-14;011;2840.65
2023-11-14;019;4789.5
2023-11-14;003;11790.55
2023-11-14;007;5624.47
2023-11-14;010;22039.5
2023-11-15;010;1755.0
2023-11-15;019;3258.5
2023-11-15;016;3526.0
2023-11-16;011;9295.29
2023-11-16;005;17288.66
2023-11-16;003;2977.6
2023-11-16;009;1040.36
2023-11-16;006;11787.02
2023-11-16;AL1;1160.0
2023-11-16;002;3835.0
2023-11-16;019;5275.95
2023-11-16;001;9747.38
2023-11-16;004;4706.6
2023-11-16;007;8481.76
2023-11-16;010;3547.4
2023-11-16;016;1865.0
2023-11-17;019;8355.9
2023-11-17;002;770.0
2023-11-17;006;6531.62
2023-11-17;009;100.0
2023-11-17;004;878.0
2023-11-17;007;3773.6
2023-11-17;011;4751.76
2023-11-17;016;3807.5
2023-11-17;005;13362.35
2023-11-17;003;10365.7
2023-11-17;001;12288.35
2023-11-17;010;1859.0
2023-11-18;006;5522.0
2023-11-18;005;44045.4
2023-11-18;001;10165.91
2023-11-18;009;3252.85
2023-11-18;011;3132.37
2023-11-18;019;13023.62
2023-11-18;007;6693.33
2023-11-18;010;3787.0
2023-11-18;002;1302.0
2023-11-18;004;9465.84
2023-11-18;003;6834.95
2023-11-18;016;1898.0
2023-11-19;016;3919.0
2023-11-19;010;8041.0
2023-11-19;019;5682.6
2023-11-20;019;3082.81
2023-11-20;010;1588.6
2023-11-20;016;5483.47
2023-11-21;019;4081.0
2023-11-21;007;5527.42
2023-11-21;016;5663.0
2023-11-21;011;865.0
2023-11-21;004;2499.24
2023-11-21;003;6200.0
2023-11-21;010;6045.8
2023-11-21;006;7984.2
2023-11-21;005;30951.5
2023-11-21;AL1;259.0
2023-11-21;009;490.0
2023-11-21;001;6956.02
2023-11-22;019;7912.22
2023-11-22;002;2893.0
2023-11-22;006;9224.0
2023-11-22;009;377.16
2023-11-22;005;13175.8
