data;Quantidade
2023-10-05;169
2023-10-06;227
2023-10-07;247
2023-10-08;29
2023-10-09;198
2023-10-10;311
2023-10-11;212
2023-10-12;33
2023-10-13;270
2023-10-14;165
2023-10-15;14
2023-10-16;251
2023-10-17;254
2023-10-18;220
2023-10-19;156
2023-10-20;244
2023-10-21;289
2023-10-22;29
2023-10-23;265
2023-10-24;212
2023-10-25;170
2023-10-26;241
2023-10-27;232
2023-10-28;204
2023-10-29;30
2023-10-30;225
2023-10-31;313
2023-11-01;222
2023-11-02;12
2023-11-03;263
2023-11-04;201
2023-11-05;6
2023-11-06;187
2023-11-07;212
2023-11-08;304
2023-11-09;230
2023-11-10;263
2023-11-11;309
2023-11-12;25
2023-11-13;266
2023-11-14;184
2023-11-15;29
2023-11-16;228
2023-11-17;187
2023-11-18;232
2023-11-19;23
2023-11-20;24
2023-11-21;189
2023-11-22;178
2023-11-23;193
2023-11-24;225
2023-11-25;279
2023-11-26;24
2023-11-27;156
2023-11-28;149
2023-11-29;231
2023-11-30;279
2023-12-01;240
2023-12-02;175
2023-12-03;21
2023-12-04;192
2023-12-05;211
2023-12-06;235
2023-12-07;202
2023-12-08;263
2023-12-09;219
2023-12-10;29
2023-12-11;307
2023-12-12;234
2023-12-13;295
2023-12-14;318
2023-12-15;304
2023-12-16;371
2023-12-17;56
2023-12-18;343
2023-12-19;400
2023-12-20;431
2023-12-21;470
2023-12-22;494
2023-12-23;595
2023-12-24;410
2023-12-26;138
2023-12-27;213
2023-12-28;175
2023-12-29;217
2023-12-30;172
2023-12-31;12
2024-01-02;134
2024-01-03;107
2024-01-04;177
2024-01-05;136
2024-01-06;156
2024-01-07;14
2024-01-08;175
2024-01-09;142
2024-01-10;157
2024-01-11;134
2024-01-12;152
2024-01-13;154
2024-01-14;27
2024-01-15;227
2024-01-16;129
2024-01-17;199
2024-01-18;187
2024-01-19;146
2024-01-20;147
2024-01-21;11
2024-01-22;168
2024-01-23;130
2024-01-24;157
2024-01-25;104
2024-01-26;206
2024-01-27;177
2024-01-28;17
2024-01-29;151
2024-01-30;129
2024-01-31;261
2024-02-01;134
2024-02-02;146
2024-02-03;117
2024-02-04;33
2024-02-05;126
2024-02-06;165
2024-02-07;117
2024-02-08;162
2024-02-09;175
2024-02-10;144
2024-02-11;25
2024-02-12;29
2024-02-13;11
2024-02-14;69
2024-02-15;127
2024-02-16;171
2024-02-17;145
2024-02-18;25
2024-02-19;128
2024-02-20;192
