data;Empresa;vendas
2023-10-05;FR;5418.0
2023-10-05;CM;14192.04
2023-10-05;BM;11084.24
2023-10-05;CA;18499.91
2023-10-05;BZ;46800.2
2023-10-05;BB;11197.11
2023-10-05;JB;22135.0
2023-10-05;BS;10933.37
2023-10-05;BG;23240.2
2023-10-05;MA;7940.0
2023-10-05;LX;8390.61
2023-10-05;LC;4296.0
2023-10-05;JK;9140.03
2023-10-05;BR;6546.11
2023-10-05;MT;42902.0
2023-10-05;XV;5201.03
2023-10-05;MJ;3174.81
2023-10-05;PB;15661.07
2023-10-06;MJ;13313.11
2023-10-06;PB;39246.81
2023-10-06;BZ;35569.1
2023-10-06;CM;12275.8
2023-10-06;MT;17695.0
2023-10-06;JB;22635.0
2023-10-06;TH;31950.0
2023-10-06;BR;12660.0
2023-10-06;BS;10487.55
2023-10-06;LX;3076.54
2023-10-06;FR;12184.53
2023-10-06;XV;1811.7
2023-10-06;CA;10349.81
2023-10-06;BM;3773.0
2023-10-06;BG;34123.84
2023-10-06;BB;14904.5
2023-10-06;JK;31159.61
2023-10-06;LC;4864.0
2023-10-06;PO;32000.0
2023-10-06;MA;17820.0
2023-10-07;PB;40973.91
2023-10-07;MT;23645.0
2023-10-07;JK;20363.04
2023-10-07;LC;13997.15
2023-10-07;MA;7168.5
2023-10-07;CA;25791.62
2023-10-07;FR;1163.2
2023-10-07;BB;15409.2
2023-10-07;PO;2145.0
2023-10-07;BS;17605.8
2023-10-07;BM;13136.79
2023-10-07;CM;299.49
2023-10-07;JB;8500.0
2023-10-07;LD;15521.74
2023-10-07;BG;4589.0
2023-10-07;MJ;6418.6
2023-10-07;BR;551.63
2023-10-07;XV;15373.46
2023-10-08;XV;198536.0
2023-10-08;MA;270.0
2023-10-08;JK;3919.75
2023-10-08;MJ;6964.05
2023-10-08;MT;4415.0
2023-10-08;PB;9230.1
2023-10-08;CA;5315.0
2023-10-08;LC;293.0
2023-10-08;BS;2275.16
2023-10-08;BB;8894.34
2023-10-08;PO;23000.0
2023-10-09;BM;6693.86
2023-10-09;CA;13513.51
2023-10-09;BR;5455.0
2023-10-09;XV;37734.0
2023-10-09;LX;10675.28
2023-10-09;BS;12208.26
2023-10-09;MA;7130.0
2023-10-09;FR;19408.83
2023-10-09;JB;2300.0
2023-10-09;MJ;2892.74
2023-10-09;TH;15670.0
2023-10-09;BZ;4355.0
2023-10-09;JK;4887.69
2023-10-09;LC;2450.95
2023-10-09;PB;8135.26
2023-10-09;MT;6300.0
2023-10-09;CM;31375.0
2023-10-09;BG;16465.7
2023-10-09;BB;4928.15
2023-10-10;MT;5260.0
2023-10-10;LX;-4056.95
2023-10-10;TH;117320.0
2023-10-10;XV;130360.0
2023-10-10;CA;5683.14
2023-10-10;BM;10037.44
2023-10-10;PO;22500.0
2023-10-10;JK;17761.12
2023-10-10;MJ;1334.81
2023-10-10;PB;11290.93
2023-10-10;BB;7963.44
2023-10-10;LD;16242.43
2023-10-10;BS;6263.09
