data;Empresa;vendas
2023-09-29;001;3555.0
2023-09-29;003;32992.0
2023-09-29;006;30644.0
2023-09-29;005;16998.0
2023-09-29;004;7944.0
2023-09-30;005;40223.0
2023-09-30;003;15223.0
2023-09-30;004;5367.0
2023-09-30;006;39780.0
2023-09-30;001;16985.0
2023-10-01;001;1296.0
2023-10-01;006;9807.0
2023-10-02;006;30442.0
2023-10-02;005;1618.0
2023-10-02;001;1035.0
2023-10-02;003;22069.0
2023-10-02;004;2660.0
2023-10-03;003;9972.0
2023-10-03;006;5645.0
2023-10-03;004;2914.0
2023-10-03;001;5463.0
2023-10-03;005;230.0
2023-10-04;006;8977.0
2023-10-04;003;14458.0
2023-10-04;001;768.15
2023-10-04;005;3798.0
2023-10-04;004;4385.0
2023-10-05;001;3464.18
2023-10-05;005;4264.0
2023-10-05;003;22338.0
2023-10-05;004;4855.0
2023-10-05;006;6573.0
2023-10-06;003;19610.0
2023-10-06;004;4274.0
2023-10-06;006;11348.0
2023-10-06;005;11353.0
2023-10-06;001;18315.93
2023-10-07;003;21198.0
2023-10-07;001;16777.86
2023-10-07;005;11471.0
2023-10-07;006;40384.0
2023-10-07;004;10784.0
2023-10-08;001;2930.0
2023-10-08;006;7462.0
2023-10-09;001;3869.44
2023-10-09;003;27803.0
2023-10-09;005;5796.0
2023-10-09;004;6936.0
2023-10-09;006;9248.34
2023-10-10;003;40375.0
2023-10-10;005;24636.0
2023-10-10;006;49735.0
2023-10-10;004;10041.0
2023-10-10;001;14715.0
2023-10-11;001;9606.27
2023-10-11;003;40163.0
2023-10-11;004;5757.0
2023-10-11;006;28350.0
2023-10-11;005;20052.0
2023-10-12;006;17214.0
2023-10-12;001;1269.0
2023-10-13;005;17077.0
2023-10-13;001;5150.1
2023-10-13;004;6554.0
2023-10-13;003;29202.0
2023-10-13;006;17632.0
2023-10-14;003;29207.0
2023-10-14;005;4834.0
2023-10-14;006;10652.0
2023-10-14;004;4730.0
2023-10-14;001;8355.0
2023-10-15;006;13051.0
2023-10-15;001;720.0
2023-10-16;003;17711.0
2023-10-16;004;6223.0
2023-10-16;006;13389.0
2023-10-16;001;8876.89
2023-10-16;005;4241.0
2023-10-17;003;25529.0
2023-10-17;005;5304.6
2023-10-17;004;1872.0
2023-10-17;006;24409.0
2023-10-17;001;20447.58
2023-10-18;003;20574.0
2023-10-18;004;12947.0
2023-10-18;001;20992.71
2023-10-18;005;11306.6
2023-10-18;006;2803.0
2023-10-19;001;2863.6
2023-10-19;003;29897.0
2023-10-19;004;8038.0
2023-10-19;006;12459.0
2023-10-19;005;16637.0
2023-10-20;006;21318.0
2023-10-20;003;23835.0
2023-10-20;001;6925.9
2023-10-20;004;10548.0
2023-10-20;005;13987.0
2023-10-21;006;24993.0
2023-10-21;005;1033.0
2023-10-21;003;12706.0
2023-10-21;004;2233.0
2023-10-21;001;11201.0
2023-10-22;001;3988.0
2023-10-22;006;5477.0
2023-10-23;005;5307.0
2023-10-23;006;2730.0
2023-10-23;003;22257.0
2023-10-23;001;38483.39
2023-10-23;004;2157.0
2023-10-24;005;12366.0
2023-10-24;003;24711.0
2023-10-24;001;2302.0
2023-10-24;006;19875.0
2023-10-24;004;6808.0
2023-10-25;003;32756.0
2023-10-25;005;17960.0
2023-10-25;004;3358.0
2023-10-25;006;7167.0
2023-10-25;001;15608.1
2023-10-26;003;28529.0
2023-10-26;004;4328.0
2023-10-26;001;10302.0
2023-10-26;005;7235.0
2023-10-26;006;12962.0
2023-10-27;001;4869.0
2023-10-27;003;32733.0
2023-10-27;005;5431.0
2023-10-27;006;29763.0
2023-10-27;004;1547.0
2023-10-28;001;7510.0
2023-10-28;003;6157.0
2023-10-28;006;16950.0
2023-10-28;004;914.0
2023-10-28;005;6566.0
2023-10-29;006;3352.0
2023-10-29;001;520.0
2023-10-30;005;38648.0
2023-10-30;004;9432.0
2023-10-30;006;1890.0
2023-10-30;003;14289.0
2023-10-30;001;7267.52
2023-10-31;005;4691.0
2023-10-31;003;35187.0
2023-10-31;004;9664.0
2023-10-31;001;16768.0
2023-10-31;006;37366.0
2023-11-01;003;15186.0
2023-11-01;004;7873.0
2023-11-01;001;15777.0
2023-11-01;005;7829.0
2023-11-01;006;10701.0
2023-11-02;006;4362.0
2023-11-02;001;1573.0
2023-11-03;001;23020.76
2023-11-03;004;3336.0
2023-11-03;003;37457.0
2023-11-03;005;19212.0
2023-11-03;006;29450.0
2023-11-04;001;9253.12
2023-11-04;003;9588.0
2023-11-04;005;7010.0
2023-11-04;006;18437.0
2023-11-04;004;16863.0
2023-11-05;001;1470.0
2023-11-05;006;4629.0
2023-11-06;001;15000.73
2023-11-06;006;7763.0
2023-11-06;004;7106.0
2023-11-06;003;21136.0
2023-11-06;005;4986.0
2023-11-07;006;51655.0
2023-11-07;003;24008.0
2023-11-07;005;3553.0
2023-11-07;004;3609.0
2023-11-07;001;7828.72
2023-11-08;004;4064.0
2023-11-08;003;23518.0
2023-11-08;005;6573.0
2023-11-08;006;8410.0
2023-11-08;001;18302.0
2023-11-09;003;14190.0
2023-11-09;005;17352.0
2023-11-09;001;8560.08
2023-11-09;004;9469.0
2023-11-09;006;13574.0
2023-11-10;004;6328.0
2023-11-10;006;82838.0
2023-11-10;003;29549.0
2023-11-10;001;4344.0
2023-11-10;005;20117.0
2023-11-11;004;14564.0
2023-11-11;003;39724.0
2023-11-11;005;6914.0
2023-11-11;006;15363.0
2023-11-11;001;5258.81
2023-11-12;001;60.0
2023-11-12;006;9740.0
2023-11-13;006;37547.0
2023-11-13;005;9333.0
2023-11-13;001;3015.2
2023-11-13;003;22633.0
2023-11-13;004;7094.0
2023-11-14;006;8683.0
2023-11-14;001;27919.1
2023-11-14;003;30844.0
2023-11-14;004;4485.0
2023-11-14;005;35916.0
2023-11-15;006;8945.0
2023-11-15;001;1812.0
2023-11-16;005;5753.0
2023-11-16;003;34978.0
2023-11-16;004;6872.0
2023-11-16;001;5516.6
2023-11-16;006;24584.0
2023-11-17;003;39041.0
2023-11-17;004;10490.0
2023-11-17;006;19111.0
2023-11-17;005;3793.0
2023-11-17;001;11559.05
2023-11-18;005;7626.0
2023-11-18;006;54061.0
2023-11-18;003;6547.0
2023-11-18;001;6775.0
2023-11-18;004;6230.0
2023-11-19;001;3083.0
2023-11-19;006;10994.0
2023-11-20;006;44347.0
2023-11-20;003;18440.0
2023-11-20;005;11063.0
2023-11-20;004;4861.0
2023-11-20;001;9174.0
2023-11-21;003;34943.0
2023-11-21;005;21124.0
2023-11-21;001;19920.21
2023-11-21;004;13843.0
2023-11-21;006;20815.0
2023-11-22;001;5860.87
2023-11-22;003;22741.0
2023-11-22;004;4535.0
