data;Quantidade
2023-09-29;192
2023-09-30;174
2023-10-01;16
2023-10-02;117
2023-10-03;96
2023-10-04;110
2023-10-05;114
2023-10-06;148
2023-10-07;251
2023-10-08;26
2023-10-09;204
2023-10-10;273
2023-10-11;180
2023-10-12;15
2023-10-13;217
2023-10-14;208
2023-10-15;16
2023-10-16;93
2023-10-17;172
2023-10-18;128
2023-10-19;158
2023-10-20;196
2023-10-21;109
2023-10-22;19
2023-10-23;129
2023-10-24;119
2023-10-25;152
2023-10-26;149
2023-10-27;120
2023-10-28;100
2023-10-29;11
2023-10-30;117
2023-10-31;193
2023-11-01;107
2023-11-02;15
2023-11-03;165
2023-11-04;129
2023-11-05;14
2023-11-06;147
2023-11-07;156
2023-11-08;136
2023-11-09;150
2023-11-10;165
2023-11-11;206
2023-11-12;9
2023-11-13;133
2023-11-14;182
2023-11-15;24
2023-11-16;163
2023-11-17;163
2023-11-18;105
2023-11-19;24
2023-11-20;159
2023-11-21;229
2023-11-22;135
2023-11-23;239
2023-11-24;301
2023-11-25;205
2023-11-26;29
2023-11-27;166
2023-11-28;172
2023-11-29;157
2023-11-30;262
2023-12-01;210
2023-12-02;219
2023-12-03;25
2023-12-04;68
2023-12-05;225
2023-12-06;281
2023-12-07;300
2023-12-08;437
2023-12-09;330
2023-12-10;144
2023-12-11;340
2023-12-12;349
2023-12-13;350
2023-12-14;402
2023-12-15;299
2023-12-16;269
2023-12-17;196
2023-12-18;438
2023-12-19;576
2023-12-20;608
2023-12-21;613
2023-12-22;705
2023-12-23;614
2023-12-24;264
2023-12-26;34
2023-12-27;216
2023-12-28;201
2023-12-29;278
2023-12-30;36
2024-01-02;60
2024-01-03;94
2024-01-04;166
2024-01-05;119
2024-01-06;23
2024-01-07;7
2024-01-08;151
2024-01-09;148
2024-01-10;107
2024-01-11;124
2024-01-12;172
2024-01-13;135
2024-01-14;11
2024-01-15;122
2024-01-16;158
2024-01-17;120
2024-01-18;143
2024-01-19;128
2024-01-20;118
2024-01-21;16
2024-01-22;188
2024-01-23;128
2024-01-24;195
2024-01-25;147
2024-01-26;181
2024-01-27;100
2024-01-28;6
2024-01-29;152
2024-01-30;190
2024-01-31;185
2024-02-01;162
2024-02-02;214
2024-02-03;121
2024-02-04;22
2024-02-05;149
2024-02-06;179
2024-02-07;188
2024-02-08;185
2024-02-09;321
2024-02-10;118
2024-02-11;8
2024-02-12;26
2024-02-13;33
2024-02-14;150
2024-02-15;186
2024-02-16;200
2024-02-17;158
2024-02-18;21
2024-02-19;150
2024-02-20;133
2024-02-21;125
2024-02-22;259
2024-02-23;147
2024-02-24;124
2024-02-25;11
2024-02-26;150
2024-02-27;138
2024-02-28;168
2024-02-29;188
2024-03-01;120
2024-03-02;141
2024-03-03;6
2024-03-04;123
2024-03-05;113
2024-03-06;148
2024-03-07;206
2024-03-08;201
2024-03-09;230
2024-03-10;25
2024-03-11;171
2024-03-12;134
2024-03-13;145
2024-03-14;182
2024-03-15;142
2024-03-16;104
2024-03-17;20
2024-03-18;102
2024-03-19;103
2024-03-20;177
2024-03-21;179
2024-03-22;168
2024-03-23;154
2024-03-24;5
2024-03-25;144
2024-03-26;154
2024-03-27;222
2024-03-28;221
2024-03-29;15
2024-03-30;186
2024-03-31;6
2024-04-01;102
2024-04-02;109
2024-04-03;130
2024-04-04;148
2024-04-05;196
2024-04-06;159
2024-04-07;24
2024-04-08;145
2024-04-09;142
2024-04-10;204
2024-04-11;155
2024-04-12;215
2024-04-13;156
2024-04-14;19
2024-04-15;86
2024-04-16;154
2024-04-17;166
2024-04-18;218
2024-04-19;198
2024-04-20;191
2024-04-21;7
2024-04-22;166
2024-04-23;148
2024-04-24;186
2024-04-25;143
2024-04-26;242
2024-04-27;169
2024-04-28;28
2024-04-29;183
2024-04-30;231
2024-05-02;133
2024-05-03;222
2024-05-04;191
2024-05-05;32
2024-05-06;198
2024-05-07;227
2024-05-08;205
2024-05-09;269
2024-05-10;311
2024-05-11;489
2024-05-12;18
2024-05-13;140
2024-05-14;136
2024-05-15;176
2024-05-16;197
2024-05-17;212
2024-05-18;112
2024-05-19;27
2024-05-20;120
2024-05-21;121
2024-05-22;192
2024-05-23;169
2024-05-24;87
2024-05-25;114
2024-05-26;13
2024-05-27;139
2024-05-28;125
2024-05-29;217
2024-05-30;14
2024-05-31;266
2024-06-01;99
2024-06-02;4
2024-06-03;104
2024-06-04;148
2024-06-05;119
2024-06-06;187
2024-06-07;185
2024-06-08;229
2024-06-09;25
2024-06-10;161
2024-06-11;275
2024-06-12;262
2024-06-13;160
2024-06-14;264
2024-06-15;131
2024-06-16;11
2024-06-17;167
2024-06-18;160
2024-06-19;125
2024-06-20;210
2024-06-21;244
2024-06-22;114
2024-06-23;27
2024-06-24;118
2024-06-25;150
2024-06-26;164
2024-06-27;118
2024-06-28;174
2024-06-29;139
2024-06-30;4
2024-07-01;125
2024-07-02;101
2024-07-03;109
2024-07-04;139
2024-07-05;151
2024-07-06;231
2024-07-07;24
2024-07-08;134
2024-07-09;158
2024-07-10;142
2024-07-11;126
2024-07-12;135
2024-07-13;77
2024-07-14;8
2024-07-15;124
2024-07-16;150
2024-07-17;168
2024-07-18;141
2024-07-19;178
2024-07-20;135
2024-07-21;19
2024-07-22;108
2024-07-23;149
2024-07-24;138
2024-07-25;185
2024-07-26;169
2024-07-27;92
2024-07-28;17
2024-07-29;110
2024-07-30;105
2024-07-31;155
2024-08-01;149
2024-08-02;172
2024-08-03;150
2024-08-04;13
2024-08-05;167
2024-08-06;121
2024-08-07;145
2024-08-08;171
2024-08-09;213
2024-08-10;294
2024-08-11;14
2024-08-12;101
2024-08-13;205
2024-08-14;161
2024-08-15;156
2024-08-16;167
2024-08-17;117
2024-08-18;5
2024-08-19;137
2024-08-20;160
2024-08-21;173
2024-08-22;149
2024-08-23;162
2024-08-24;129
2024-08-25;14
2024-08-26;248
2024-08-27;145
2024-08-28;231
2024-08-29;151
2024-08-30;188
2024-08-31;136
2024-09-01;9
2024-09-02;136
2024-09-03;129
2024-09-04;175
2024-09-05;151
2024-09-06;183
2024-09-07;21
2024-09-08;27
2024-09-09;184
2024-09-10;164
2024-09-11;169
2024-09-12;148
2024-09-13;219
2024-09-14;208
2024-09-15;20
2024-09-16;118
2024-09-17;144
2024-09-18;184
2024-09-19;132
2024-09-20;195
2024-09-21;137
2024-09-22;21
2024-09-23;143
2024-09-24;181
2024-09-25;171
2024-09-26;166
2024-09-27;171
2024-09-28;158
2024-09-29;13
2024-09-30;202
2024-10-01;122
2024-10-02;91
2024-10-03;117
2024-10-04;197
2024-10-05;263
2024-10-06;22
2024-10-07;126
2024-10-08;144
2024-10-09;151
2024-10-10;220
2024-10-11;247
2024-10-12;30
2024-10-13;24
2024-10-14;189
2024-10-15;196
2024-10-16;193
2024-10-17;157
2024-10-18;200
2024-10-19;132
2024-10-20;17
2024-10-21;144
2024-10-22;175
2024-10-23;147
2024-10-24;114
2024-10-25;211
2024-10-26;139
2024-10-27;13
2024-10-28;113
2024-10-29;143
2024-10-30;119
2024-10-31;127
2024-11-01;120
2024-11-02;17
2024-11-03;6
2024-11-04;236
2024-11-05;186
2024-11-06;161
2024-11-07;182
2024-11-08;149
2024-11-09;295
2024-11-10;28
2024-11-11;162
2024-11-12;145
2024-11-13;174
2024-11-14;238
2024-11-15;27
2024-11-16;138
2024-11-17;17
2024-11-18;162
2024-11-19;181
2024-11-20;18
2024-11-21;165
2024-11-22;172
2024-11-23;191
2024-11-24;40
2024-11-25;206
2024-11-26;261
2024-11-27;326
2024-11-28;225
2024-11-29;389
2024-11-30;354
2024-12-01;30
2024-12-02;180
2024-12-03;201
2024-12-04;154
2024-12-05;166
2024-12-06;237
2024-12-07;363
2024-12-08;85
2024-12-09;247
2024-12-10;254
2024-12-11;380
2024-12-12;373
2024-12-13;371
2024-12-14;294
2024-12-15;240
2024-12-16;402
2024-12-17;425
2024-12-18;478
2024-12-19;447
2024-12-20;572
2024-12-21;435
2024-12-22;275
2024-12-23;813
2024-12-24;534
2024-12-26;131
2024-12-27;237
2024-12-28;140
2024-12-29;13
2024-12-30;111
2025-01-02;166
2025-01-03;214
2025-01-04;72
2025-01-05;18
2025-01-06;43
2025-01-07;208
2025-01-08;273
2025-01-09;174
2025-01-10;175
2025-01-11;83
2025-01-12;10
2025-01-13;137
2025-01-14;97
2025-01-15;105
2025-01-16;151
2025-01-17;150
2025-01-18;145
2025-01-19;5
2025-01-20;119
2025-01-21;107
2025-01-22;147
2025-01-23;153
2025-01-24;149
2025-01-25;114
2025-01-26;14
2025-01-27;134
2025-01-28;152
2025-01-29;150
2025-01-30;171
2025-01-31;213
2025-02-01;69
2025-02-02;2
2025-02-03;109
2025-02-04;122
2025-02-05;125
2025-02-06;133
2025-02-07;186
2025-02-08;147
2025-02-09;14
2025-02-10;200
2025-02-11;183
2025-02-12;137
2025-02-13;157
2025-02-14;233
2025-02-15;109
2025-02-16;12
2025-02-17;161
2025-02-18;181
2025-02-19;188
2025-02-20;184
2025-02-21;173
2025-02-22;103
2025-02-23;24
2025-02-24;84
2025-02-25;98
2025-02-26;177
2025-02-27;162
2025-02-28;223
2025-03-01;105
2025-03-02;12
2025-03-03;28
2025-03-04;16
2025-03-05;150
2025-03-06;162
2025-03-07;172
2025-03-08;192
2025-03-09;12
2025-03-10;139
2025-03-11;155
2025-03-12;128
2025-03-13;159
2025-03-14;177
2025-03-15;193
2025-03-16;17
2025-03-17;184
2025-03-18;180
2025-03-19;182
2025-03-20;163
2025-03-21;205
2025-03-22;131
2025-03-23;20
2025-03-24;179
2025-03-25;138
2025-03-26;171
2025-03-27;165
2025-03-28;244
2025-03-29;148
2025-03-30;19
2025-03-31;176
2025-04-01;115
2025-04-02;150
2025-04-03;147
2025-04-04;178
2025-04-05;228
2025-04-06;25
2025-04-07;146
2025-04-08;157
2025-04-09;146
2025-04-10;170
2025-04-11;190
2025-04-12;193
2025-04-13;11
2025-04-14;179
2025-04-15;154
2025-04-16;211
2025-04-17;178
2025-04-18;9
2025-04-19;214
2025-04-20;9
2025-04-21;30
2025-04-22;150
2025-04-23;144
2025-04-24;155
2025-04-25;208
2025-04-26;163
2025-04-27;14
2025-04-28;148
2025-04-29;177
2025-04-30;236
2025-05-02;174
2025-05-03;176
2025-05-04;22
2025-05-05;118
2025-05-06;162
2025-05-07;245
2025-05-08;233
2025-05-09;319
2025-05-10;505
2025-05-11;23
2025-05-12;123
2025-05-13;142
2025-05-14;135
2025-05-15;125
2025-05-16;198
2025-05-17;116
2025-05-18;13
2025-05-19;150
2025-05-20;139
2025-05-21;213
2025-05-22;147
2025-05-23;183
2025-05-24;213
2025-05-25;18
2025-05-26;156
2025-05-27;213
2025-05-28;162
2025-05-29;185
2025-05-30;250
2025-05-31;197
2025-06-01;12
2025-06-02;107
2025-06-03;102
2025-06-04;142
2025-06-05;156
2025-06-06;226
2025-06-07;217
2025-06-08;15
2025-06-09;144
2025-06-10;173
2025-06-11;258
2025-06-12;275
2025-06-13;211
2025-06-14;158
2025-06-15;22
2025-06-16;196
2025-06-17;148
2025-06-18;168
2025-06-19;9
2025-06-20;212
2025-06-21;153
2025-06-22;7
2025-06-23;130
2025-06-24;154
2025-06-25;163
2025-06-26;181
2025-06-27;174
2025-06-28;110
2025-06-29;24
2025-06-30;142
2025-07-01;77
2025-07-02;157
2025-07-03;123
2025-07-04;159
2025-07-05;178
2025-07-06;24
2025-07-07;166
2025-07-08;113
2025-07-09;116
2025-07-10;149
2025-07-11;206
2025-07-12;150
2025-07-13;18
2025-07-14;71
2025-07-15;131
2025-07-16;165
2025-07-17;158
2025-07-18;143
2025-07-19;86
2025-07-20;18
2025-07-21;96
2025-07-22;139
2025-07-23;174
2025-07-24;205
2025-07-25;121
2025-07-26;108
2025-07-27;7
2025-07-28;118
2025-07-29;203
2025-07-30;298
2025-07-31;219
2025-08-01;140
2025-08-02;140
2025-08-03;22
2025-08-04;91
2025-08-05;156
2025-08-06;208
2025-08-07;169
2025-08-08;227
2025-08-09;281
2025-08-10;15
2025-08-11;91
2025-08-12;160
2025-08-13;74
2025-08-14;117
2025-08-15;180
2025-08-16;142
2025-08-17;17
2025-08-18;164
2025-08-19;107
2025-08-20;147
2025-08-21;170
2025-08-22;210
2025-08-23;125
2025-08-24;13
2025-08-25;170
2025-08-26;152
2025-08-27;144
2025-08-28;121
2025-08-29;159
2025-08-30;134
2025-08-31;16
2025-09-01;70
2025-09-02;145
2025-09-03;130
2025-09-04;108
2025-09-05;79
2025-09-06;181
2025-09-07;15
2025-09-08;107
2025-09-09;98
2025-09-10;121
2025-09-11;156
2025-09-12;239
2025-09-13;164
2025-09-14;11
2025-09-15;181
2025-09-16;175
2025-09-17;184
2025-09-18;211
2025-09-19;175
2025-09-20;102
2025-09-21;23
2025-09-22;164
2025-09-23;152
2025-09-24;145
2025-09-25;253
2025-09-26;200
2025-09-27;152
