data;vendas
2023-10-09;19995.09
2023-10-10;13520.36
2023-10-11;20947.33
2023-10-12;9264.95
2023-10-13;29372.41
2023-10-14;15483.25
2023-10-15;7230.2
2023-10-16;13492.37
2023-10-17;16080.81
2023-10-18;17612.3
2023-10-19;16979.02
2023-10-20;21608.87
2023-10-21;18876.66
2023-10-22;4287.15
2023-10-23;24058.99
2023-10-24;16660.25
2023-10-25;15792.54
2023-10-26;12557.16
2023-10-27;20979.79
2023-10-28;16917.88
2023-10-29;4730.6
2023-10-30;26294.55
2023-10-31;20598.46
2023-11-01;11025.14
2023-11-02;8984.9
2023-11-03;29593.21
2023-11-04;11649.72
2023-11-05;3482.05
2023-11-06;26930.64
2023-11-07;19793.45
2023-11-08;11993.84
2023-11-09;23902.75
2023-11-10;24816.18
2023-11-11;21039.5
2023-11-12;4665.05
2023-11-13;31407.68
2023-11-14;33164.85
2023-11-15;6399.67
2023-11-16;30620.55
2023-11-17;19809.4
2023-11-18;13447.2
2023-11-19;11748.19
2023-11-20;10845.6
2023-11-21;51261.15
2023-11-22;70503.31
2023-11-23;41463.32
2023-11-24;85413.67
2023-11-25;79479.55
2023-11-26;34817.99
2023-11-27;61232.0
2023-11-28;33150.46
2023-11-29;30721.43
2023-11-30;54569.47
2023-12-01;36252.35
2023-12-02;18720.9
2023-12-03;4432.38
2023-12-04;34640.13
2023-12-05;29085.66
2023-12-06;43018.87
2023-12-07;21706.99
2023-12-08;21659.35
2023-12-09;25696.6
2023-12-10;12565.1
2023-12-11;43748.24
2023-12-12;40645.11
2023-12-13;45301.64
2023-12-14;43956.32
2023-12-15;33688.59
2023-12-16;34548.58
2023-12-17;18956.75
2023-12-18;71809.6
2023-12-19;69975.71
2023-12-20;62945.47
2023-12-21;78692.8
2023-12-22;71835.87
2023-12-23;90011.41
2023-12-24;38322.01
2023-12-26;54734.87
2023-12-27;31544.75
2023-12-28;31282.79
2023-12-29;22890.88
2023-12-30;29077.07
2023-12-31;11941.66
2024-01-02;38906.83
2024-01-03;36184.69
2024-01-04;36876.35
2024-01-05;22982.55
2024-01-06;14327.21
2024-01-07;6666.89
2024-01-08;36441.5
2024-01-09;16360.28
2024-01-10;12852.49
2024-01-11;18345.21
2024-01-12;17924.52
2024-01-13;15652.34
2024-01-14;4074.58
2024-01-15;35933.03
2024-01-16;17057.58
2024-01-17;23215.65
2024-01-18;17876.43
2024-01-19;19482.5
2024-01-20;6334.47
2024-01-21;5045.0
2024-01-22;30591.87
2024-01-23;14938.78
2024-01-24;12033.48
2024-01-25;7589.23
2024-01-26;32961.89
2024-01-27;7207.94
2024-01-28;2948.32
2024-01-29;25512.4
2024-01-30;8906.56
2024-01-31;15280.47
2024-02-01;19503.03
2024-02-02;23930.74
2024-02-03;3508.04
2024-02-04;2576.7
2024-02-05;37929.44
2024-02-06;9818.51
2024-02-07;11739.0
2024-02-08;21060.38
2024-02-09;17426.23
2024-02-10;4154.65
2024-02-11;1955.2
2024-02-14;41333.08
2024-02-15;9037.39
2024-02-16;18366.65
2024-02-17;9821.19
2024-02-18;2320.5
2024-02-19;34660.81
2024-02-20;12900.06
2024-02-21;10676.02
2024-02-22;35462.54
2024-02-23;16539.04
2024-02-24;7356.15
2024-02-25;3886.6
2024-02-26;22743.27
2024-02-27;13452.74
2024-02-28;9576.4
2024-02-29;13724.92
2024-03-01;15659.17
2024-03-02;11289.23
2024-03-03;1792.65
2024-03-04;27863.6
2024-03-05;13979.29
2024-03-06;13912.1
2024-03-07;20363.31
2024-03-08;21588.48
2024-03-09;14267.99
2024-03-10;4283.8
2024-03-11;34046.19
2024-03-12;17315.46
2024-03-13;15482.75
2024-03-14;10922.32
2024-03-15;14951.87
2024-03-16;10711.95
2024-03-17;3925.6
2024-03-18;42703.7
2024-03-19;12651.22
2024-03-20;11332.29
2024-03-21;15874.83
2024-03-22;13420.06
2024-03-23;12663.46
2024-03-24;5852.1
2024-03-25;27127.82
2024-03-26;15500.92
2024-03-27;21282.14
2024-03-28;14660.47
2024-03-29;6858.79
2024-03-30;15963.72
2024-03-31;3322.1
2024-04-01;45004.64
2024-04-02;16590.81
2024-04-03;9547.28
2024-04-04;15959.74
2024-04-05;17456.15
2024-04-06;12245.65
2024-04-07;2136.3
2024-04-08;33045.42
2024-04-09;14969.12
2024-04-10;16983.14
2024-04-11;14672.76
2024-04-12;16909.85
2024-04-13;14152.25
2024-04-14;3660.9
2024-04-15;22471.75
2024-04-16;10150.81
2024-04-17;17802.21
2024-04-18;12455.72
2024-04-19;16379.63
2024-04-20;11635.2
2024-04-21;2117.5
2024-04-22;21613.24
2024-04-23;15066.74
2024-04-24;16465.69
2024-04-25;59105.5
2024-04-26;84103.88
2024-04-27;11405.95
2024-04-28;6477.85
2024-04-29;29711.39
2024-04-30;22773.83
2024-05-01;5104.1
2024-05-02;61619.06
2024-05-03;20785.19
2024-05-04;10073.6
2024-05-05;3089.3
2024-05-06;33561.09
2024-05-07;14104.5
2024-05-08;21422.01
2024-05-09;19486.15
2024-05-10;31858.51
2024-05-11;39233.61
2024-05-12;4169.7
2024-05-13;30168.55
2024-05-14;9727.9
2024-05-15;21436.33
2024-05-16;12136.61
2024-05-17;15711.47
2024-05-18;15670.76
2024-05-19;2981.9
2024-05-20;29373.67
2024-05-21;18265.34
2024-05-22;18899.2
2024-05-23;6138.19
2024-05-24;21620.5
2024-05-25;18098.2
2024-05-26;9331.6
2024-05-27;27770.27
2024-05-28;16110.7
2024-05-29;14007.8
2024-05-30;7345.1
2024-05-31;33869.54
2024-06-01;6804.35
2024-06-02;3459.0
2024-06-03;41190.52
2024-06-04;22144.06
2024-06-05;16228.11
2024-06-06;19422.86
2024-06-07;24925.78
2024-06-08;12512.2
2024-06-09;6227.75
2024-06-10;35475.07
2024-06-11;24567.45
2024-06-12;18353.85
2024-06-13;22511.93
2024-06-14;18470.69
2024-06-15;7906.8
2024-06-16;2121.0
2024-06-17;33283.95
2024-06-18;23393.5
2024-06-19;16424.15
2024-06-20;20381.73
2024-06-21;19530.49
2024-06-22;8509.2
2024-06-23;4564.0
2024-06-24;27637.78
2024-06-25;14597.89
2024-06-26;16474.53
2024-06-27;17980.77
2024-06-28;17287.25
2024-06-29;10182.71
2024-06-30;4187.0
2024-07-01;45626.05
2024-07-02;10870.78
2024-07-03;17346.59
2024-07-04;18899.69
2024-07-05;20668.54
2024-07-06;14927.15
2024-07-07;5590.85
2024-07-08;30593.43
2024-07-09;8348.25
2024-07-10;27237.68
2024-07-11;18911.53
2024-07-12;12610.98
2024-07-13;12866.6
2024-07-14;3581.05
2024-07-15;36730.51
2024-07-16;9488.69
2024-07-17;19447.99
2024-07-18;21593.57
2024-07-19;6900.55
2024-07-20;9193.4
2024-07-21;5342.5
2024-07-22;39789.98
2024-07-23;17070.55
2024-07-24;19266.89
2024-07-25;18405.77
2024-07-26;19970.1
2024-07-27;12574.8
2024-07-28;4300.3
2024-07-29;35142.36
2024-07-30;23139.63
2024-07-31;3817.94
2024-08-01;22673.29
2024-08-02;23443.05
2024-08-03;11649.05
2024-08-04;3631.25
2024-08-05;40108.31
2024-08-06;16911.51
2024-08-07;28304.67
2024-08-08;20556.41
2024-08-09;13353.31
2024-08-10;11665.55
2024-08-11;2194.0
2024-08-12;36079.72
2024-08-13;18818.7
2024-08-14;12379.22
2024-08-15;20604.84
2024-08-16;12286.14
2024-08-17;12818.5
2024-08-18;4898.65
2024-08-19;31603.59
2024-08-20;16519.17
2024-08-21;14568.01
2024-08-22;23595.67
2024-08-23;17607.81
2024-08-24;10870.05
2024-08-25;5239.2
2024-08-26;43664.92
2024-08-27;15445.42
2024-08-28;18644.83
2024-08-29;19388.32
2024-08-30;17453.05
2024-08-31;12796.4
2024-09-01;5468.2
2024-09-02;14151.27
2024-09-03;17076.78
2024-09-04;29941.23
2024-09-05;21235.75
2024-09-06;21066.2
2024-09-07;17976.9
2024-09-08;10081.95
2024-09-09;40618.3
2024-09-10;17026.73
2024-09-11;30117.79
2024-09-12;20076.29
2024-09-13;20709.56
2024-09-14;21613.32
2024-09-15;12217.8
2024-09-16;52869.96
2024-09-17;15892.48
2024-09-18;24565.83
2024-09-19;24674.71
2024-09-20;26603.52
2024-09-21;17732.6
2024-09-22;10916.9
2024-09-23;33165.84
2024-09-24;24419.56
2024-09-25;16877.73
2024-09-26;16144.47
2024-09-27;23781.59
2024-09-28;19917.35
2024-09-29;8921.3
2024-09-30;35673.81
2024-10-01;22695.96
2024-10-02;19732.44
2024-10-03;20375.85
2024-10-04;23151.88
2024-10-05;27497.75
2024-10-06;7727.85
2024-10-07;36621.46
2024-10-08;16266.73
2024-10-09;14297.88
2024-10-10;16942.43
2024-10-11;30410.62
2024-10-12;23236.45
2024-10-13;10694.35
2024-10-14;27235.58
2024-10-15;23100.19
2024-10-16;20684.7
2024-10-17;26412.88
2024-10-18;24688.61
2024-10-19;21084.3
2024-10-20;9548.05
2024-10-21;29524.83
2024-10-22;19221.61
2024-10-23;15538.22
2024-10-24;21474.14
2024-10-25;22861.24
2024-10-26;21071.65
2024-10-27;9346.3
2024-10-28;30928.6
2024-10-29;14685.65
2024-10-30;14369.66
2024-10-31;18584.49
2024-11-01;20334.95
2024-11-02;15837.5
2024-11-03;7985.8
2024-11-04;43456.98
2024-11-05;18587.81
2024-11-06;34631.1
2024-11-07;21270.78
2024-11-08;34857.95
2024-11-09;26166.71
2024-11-10;8161.75
2024-11-11;48069.99
2024-11-12;23920.66
2024-11-13;27883.68
2024-11-14;43446.8
2024-11-15;15070.55
2024-11-16;16243.5
2024-11-17;10154.45
2024-11-18;70390.13
2024-11-19;19609.93
2024-11-20;10921.13
2024-11-21;50114.23
2024-11-22;33233.13
2024-11-23;22735.07
2024-11-24;9262.68
2024-11-25;43182.39
2024-11-26;40459.72
2024-11-27;40982.08
2024-11-28;85178.8
2024-11-29;56871.44
2024-11-30;60873.55
2024-12-01;20492.44
2024-12-02;38048.19
2024-12-03;91849.48
2024-12-04;75514.9
2024-12-05;39031.51
2024-12-06;35436.21
2024-12-07;26797.77
2024-12-08;24075.17
2024-12-09;50650.87
2024-12-10;37173.9
2024-12-11;43816.04
2024-12-12;44956.45
2024-12-13;55115.05
2024-12-14;46816.15
2024-12-15;25370.25
2024-12-16;69297.6
2024-12-17;49836.79
2024-12-18;87547.6
2024-12-19;81802.27
2024-12-20;84523.74
2024-12-21;78307.66
2024-12-22;58799.64
2024-12-23;122124.53
2024-12-24;50978.95
2024-12-26;76056.49
2024-12-27;39447.63
2024-12-28;27320.11
2024-12-29;13571.79
2024-12-30;67160.19
2024-12-31;11149.54
2025-01-02;41662.98
2025-01-03;36449.99
2025-01-04;16036.29
2025-01-05;12222.31
2025-01-06;53173.82
2025-01-07;20841.18
2025-01-08;37049.67
2025-01-09;34512.16
2025-01-10;25426.0
2025-01-11;22085.9
2025-01-12;13273.85
2025-01-13;48985.56
2025-01-14;23522.15
2025-01-15;32734.96
2025-01-16;61748.34
2025-01-17;28461.12
2025-01-18;24735.36
2025-01-19;7136.96
2025-01-20;45202.54
2025-01-21;25521.8
2025-01-22;22927.2
2025-01-23;24954.21
2025-01-24;24544.41
2025-01-25;21861.15
2025-01-26;9102.6
2025-01-27;45355.83
2025-01-28;30325.95
2025-01-29;16681.44
2025-01-30;16651.9
2025-01-31;22382.24
2025-02-01;15007.98
2025-02-02;5569.49
2025-02-03;50192.42
2025-02-04;20653.75
2025-02-05;13246.91
2025-02-06;16434.33
2025-02-07;22670.98
2025-02-08;9754.7
2025-02-09;5192.1
2025-02-10;30129.31
2025-02-11;16565.7
2025-02-12;11336.91
2025-02-13;14472.63
2025-02-14;17852.35
2025-02-15;13069.55
2025-02-16;4179.0
2025-02-17;27643.27
