data;Empresa;vendas
2023-10-08;013;696.0
2023-10-08;011;1203.55
2023-10-08;010;4523.45
2023-10-09;012;1917.5
2023-10-09;013;582.8
2023-10-09;011;982.8
2023-10-09;002;9476.79
2023-10-09;005;4269.7
2023-10-09;003;-102.98
2023-10-09;010;2868.48
2023-10-10;010;3454.55
2023-10-10;011;1726.75
2023-10-10;012;2448.2
2023-10-10;002;2655.29
2023-10-10;013;2057.85
2023-10-10;005;1177.72
2023-10-11;010;6588.9
2023-10-11;004;163.2
2023-10-11;011;2675.85
2023-10-11;012;3894.33
2023-10-11;013;1862.75
2023-10-11;002;5762.3
2023-10-12;010;4752.0
2023-10-12;012;1086.35
2023-10-12;013;1826.4
2023-10-12;011;1600.2
2023-10-13;013;3292.2
2023-10-13;010;9391.1
2023-10-13;005;3220.22
2023-10-13;011;3169.1
2023-10-13;012;1620.53
2023-10-13;002;8679.26
2023-10-14;013;2070.2
2023-10-14;011;2648.0
2023-10-14;010;8115.6
2023-10-14;012;2649.45
2023-10-15;013;1587.3
2023-10-15;011;2431.2
2023-10-15;010;3211.7
2023-10-16;005;5122.36
2023-10-16;003;-142.4
2023-10-16;002;8512.41
2023-10-17;012;1026.57
2023-10-17;013;1610.3
2023-10-17;011;3646.25
2023-10-17;010;4388.6
2023-10-17;005;1438.99
2023-10-17;002;3970.1
2023-10-18;013;585.0
2023-10-18;011;2890.9
2023-10-18;005;104.75
2023-10-18;002;6946.44
2023-10-18;010;4642.01
2023-10-18;012;2443.2
2023-10-19;013;1531.2
2023-10-19;005;1115.29
2023-10-19;011;3275.4
2023-10-19;012;2458.3
2023-10-19;010;3077.5
2023-10-19;002;5521.33
2023-10-20;010;7250.65
2023-10-20;012;3842.01
2023-10-20;013;1940.65
2023-10-20;011;2164.67
2023-10-20;002;6410.89
2023-10-21;010;7635.35
2023-10-21;013;1295.3
2023-10-21;011;5075.2
2023-10-21;012;4870.81
2023-10-22;011;1733.1
2023-10-22;010;2004.0
2023-10-22;013;550.05
2023-10-23;011;1776.0
2023-10-23;012;5181.86
2023-10-23;002;12102.79
2023-10-23;013;2245.34
2023-10-23;010;2753.0
2023-10-24;012;2768.13
2023-10-24;011;1238.0
2023-10-24;005;-80.1
2023-10-24;002;11521.97
2023-10-24;013;384.15
2023-10-24;010;828.1
2023-10-25;001;129.0
2023-10-25;013;2019.06
2023-10-25;011;1379.1
2023-10-25;002;6349.66
2023-10-25;012;2160.02
2023-10-25;010;3755.7
2023-10-26;013;2066.03
2023-10-26;011;1476.3
2023-10-26;012;1363.59
2023-10-26;010;3491.28
2023-10-26;005;-339.0
2023-10-26;002;4498.96
2023-10-27;011;2675.85
2023-10-27;010;6150.02
2023-10-27;012;4120.4
2023-10-27;002;5413.46
2023-10-27;013;2620.06
2023-10-28;013;2116.75
2023-10-28;011;2189.35
2023-10-28;012;5148.05
2023-10-28;010;7463.73
2023-10-29;013;740.3
2023-10-29;012;852.96
2023-10-29;011;485.0
2023-10-29;010;2652.34
2023-10-30;013;2632.21
2023-10-30;011;2622.2
2023-10-30;002;17390.57
2023-10-30;012;1356.45
2023-10-30;010;2293.12
2023-10-31;011;-274.25
2023-10-31;013;1359.3
2023-10-31;002;14951.26
2023-10-31;012;2091.16
2023-10-31;010;2470.99
2023-11-01;012;3133.41
2023-11-01;011;2142.2
2023-11-01;013;1405.55
2023-11-01;002;1250.98
2023-11-01;010;3093.0
2023-11-02;011;2683.0
2023-11-02;013;1167.0
2023-11-02;010;5134.9
2023-11-03;012;3455.12
2023-11-03;011;1793.06
2023-11-03;013;4024.92
2023-11-03;002;15717.51
2023-11-03;010;4602.6
2023-11-04;012;2929.65
2023-11-04;010;5685.31
2023-11-04;011;1465.56
2023-11-04;013;1569.2
2023-11-05;013;308.0
2023-11-05;011;1109.0
2023-11-05;010;2065.05
2023-11-06;002;22511.79
2023-11-06;012;883.0
2023-11-06;011;613.0
2023-11-06;010;1337.4
2023-11-06;013;1585.45
2023-11-07;013;3009.01
2023-11-07;011;2196.6
2023-11-07;010;2095.2
2023-11-07;012;1683.76
2023-11-07;002;10808.88
2023-11-08;011;2314.3
2023-11-08;010;2593.0
2023-11-08;002;3279.22
2023-11-08;012;2856.21
2023-11-08;013;951.11
2023-11-09;012;2053.1
2023-11-09;011;1787.43
2023-11-09;013;2710.02
2023-11-09;002;14515.6
2023-11-09;010;2836.6
2023-11-10;012;3373.5
2023-11-10;005;-252.43
2023-11-10;011;2741.25
2023-11-10;010;6745.2
2023-11-10;002;9066.36
2023-11-10;013;3142.3
2023-11-11;012;5004.37
2023-11-11;011;4056.4
2023-11-11;013;3059.2
2023-11-11;010;8919.53
2023-11-12;011;1555.9
2023-11-12;010;2212.3
2023-11-12;013;896.85
2023-11-13;012;1810.39
2023-11-13;011;1705.35
2023-11-13;010;2116.95
2023-11-13;002;24846.8
2023-11-13;013;928.19
2023-11-14;013;738.6
2023-11-14;012;1748.3
2023-11-14;011;3209.92
2023-11-14;001;6159.2
2023-11-14;010;4341.07
2023-11-14;002;16967.76
2023-11-15;013;808.5
2023-11-15;011;2350.85
2023-11-15;010;2134.0
2023-11-15;012;1106.32
2023-11-16;013;543.2
2023-11-16;011;1530.1
2023-11-16;012;1221.85
2023-11-16;002;22172.28
2023-11-16;010;5153.12
2023-11-17;011;3311.62
2023-11-17;002;5632.71
2023-11-17;012;3545.99
2023-11-17;010;5490.88
2023-11-17;013;1828.2
2023-11-18;011;3662.8
2023-11-18;012;2105.7
2023-11-18;010;6165.45
2023-11-18;013;1513.25
2023-11-19;011;1839.25
2023-11-19;010;7611.42
2023-11-19;013;2297.52
2023-11-20;012;1727.35
2023-11-20;013;2762.1
2023-11-20;011;2078.05
2023-11-20;010;4278.1
2023-11-21;012;666.25
2023-11-21;011;1006.85
2023-11-21;010;3877.31
2023-11-21;002;44459.64
2023-11-21;013;1251.1
2023-11-22;013;2406.33
2023-11-22;012;1599.15
2023-11-22;002;52383.64
2023-11-22;010;9791.88
2023-11-22;011;4322.31
2023-11-23;002;26495.52
2023-11-23;001;-119.0
2023-11-23;013;1988.32
2023-11-23;011;2296.25
2023-11-23;010;-408.66
2023-11-23;012;11210.89
2023-11-24;013;3129.21
2023-11-24;011;7532.12
2023-11-24;012;1798.22
2023-11-24;010;11775.79
2023-11-24;002;61178.33
2023-11-25;010;15953.81
2023-11-25;011;5174.69
2023-11-25;002;49744.95
2023-11-25;012;6278.12
2023-11-25;013;2327.98
2023-11-26;011;820.6
2023-11-26;010;11447.0
2023-11-26;002;20673.52
2023-11-26;013;1876.87
2023-11-27;012;2033.1
2023-11-27;011;1458.36
2023-11-27;013;3155.19
2023-11-27;010;2765.1
2023-11-27;002;51820.25
2023-11-28;011;2608.68
2023-11-28;013;1524.66
2023-11-28;012;1274.65
2023-11-28;002;24101.78
2023-11-28;010;3640.69
2023-11-29;010;4530.45
2023-11-29;011;1525.65
2023-11-29;012;1538.86
2023-11-29;002;20088.61
2023-11-29;013;3037.86
2023-11-30;013;1590.5
2023-11-30;012;3902.34
2023-11-30;011;3168.07
2023-11-30;010;4497.79
2023-11-30;002;41410.77
2023-12-01;010;5641.4
2023-12-01;012;3975.9
2023-12-01;002;21417.8
2023-12-01;011;3747.6
2023-12-01;013;1469.65
2023-12-02;010;8550.85
2023-12-02;013;2597.8
2023-12-02;011;2945.2
2023-12-02;012;4627.05
2023-12-03;011;1140.1
2023-12-03;010;2698.0
2023-12-03;013;594.28
2023-12-04;002;25919.68
2023-12-04;012;1948.1
2023-12-04;011;2196.5
2023-12-04;010;4452.3
2023-12-04;005;-161.1
2023-12-04;013;284.65
2023-12-05;012;5186.46
2023-12-05;011;1826.1
2023-12-05;002;16364.9
2023-12-05;010;3609.25
2023-12-05;013;2098.95
2023-12-06;011;1598.25
2023-12-06;013;2281.5
2023-12-06;012;3270.2
2023-12-06;010;5507.95
2023-12-06;002;30360.97
2023-12-07;010;5442.65
2023-12-07;011;2904.85
2023-12-07;012;3870.7
2023-12-07;002;7633.09
2023-12-07;013;1746.7
2023-12-07;004;109.0
2023-12-08;013;2112.8
2023-12-08;012;3279.35
2023-12-08;011;1493.65
2023-12-08;010;6529.85
2023-12-08;002;8243.7
2023-12-09;013;6767.2
2023-12-09;012;3000.15
2023-12-09;010;11792.8
2023-12-09;011;4136.45
2023-12-10;013;2856.2
2023-12-10;010;7697.3
2023-12-10;012;288.0
2023-12-10;011;1723.6
2023-12-11;013;3733.75
2023-12-11;012;2485.4
2023-12-11;010;4333.75
2023-12-11;011;6463.55
2023-12-11;002;26731.79
2023-12-12;002;21080.34
2023-12-12;010;12894.05
2023-12-12;011;1566.3
2023-12-12;012;2292.97
2023-12-12;013;2811.45
2023-12-13;012;4492.5
2023-12-13;011;5355.45
2023-12-13;013;2590.25
2023-12-13;002;22884.44
2023-12-13;010;9979.0
2023-12-14;012;5140.7
2023-12-14;010;8937.05
2023-12-14;011;3660.7
2023-12-14;013;2929.0
2023-12-14;002;23288.87
2023-12-15;012;7093.25
2023-12-15;011;6285.4
2023-12-15;013;5141.0
2023-12-15;010;10522.4
2023-12-15;002;4646.54
2023-12-16;012;6617.15
2023-12-16;013;3757.48
2023-12-16;011;9018.2
2023-12-16;010;15155.75
2023-12-17;012;983.0
2023-12-17;011;5902.55
2023-12-17;013;2930.35
2023-12-17;010;9140.85
2023-12-18;010;13652.1
2023-12-18;012;7688.55
2023-12-18;011;5463.15
2023-12-18;013;3441.15
2023-12-18;002;41564.65
2023-12-19;013;4827.66
2023-12-19;011;6392.45
2023-12-19;002;30889.65
2023-12-19;012;8775.35
2023-12-19;010;19090.6
2023-12-20;011;11404.1
2023-12-20;010;24393.75
2023-12-20;002;12514.33
2023-12-20;012;8339.09
2023-12-20;013;6294.2
2023-12-21;012;10619.25
2023-12-21;011;10958.1
2023-12-21;010;24274.1
2023-12-21;002;25936.64
2023-12-21;013;6904.71
2023-12-22;012;17382.6
2023-12-22;013;6944.45
2023-12-22;011;14177.1
2023-12-22;010;27419.25
2023-12-22;002;5912.47
2023-12-23;012;21962.16
2023-12-23;011;16816.75
2023-12-23;013;9210.55
2023-12-23;010;42021.95
2023-12-24;012;9051.95
2023-12-24;013;3532.7
2023-12-24;011;6598.01
2023-12-24;010;19139.35
2023-12-26;012;3802.85
2023-12-26;011;3676.7
2023-12-26;013;3482.25
2023-12-26;010;16485.6
2023-12-26;002;27287.47
2023-12-27;013;4059.85
2023-12-27;011;4625.6
2023-12-27;010;8743.65
2023-12-27;012;7921.45
2023-12-27;002;6194.2
2023-12-28;011;3506.9
2023-12-28;013;5174.86
2023-12-28;002;8402.88
2023-12-28;012;3969.85
2023-12-28;010;10228.3
2023-12-29;012;5267.13
2023-12-29;011;4251.3
2023-12-29;013;2265.45
2023-12-29;002;4519.1
2023-12-29;010;6587.9
2023-12-30;012;3352.57
2023-12-30;013;3204.35
2023-12-30;011;6640.25
2023-12-30;010;15879.9
2023-12-31;012;1903.75
2023-12-31;011;4115.85
2023-12-31;013;814.1
2023-12-31;010;5107.96
2024-01-02;012;3718.7
2024-01-02;011;3108.49
2024-01-02;013;2117.6
2024-01-02;002;25030.04
2024-01-02;010;4932.0
2024-01-03;013;675.5
2024-01-03;012;1418.2
2024-01-03;011;2666.35
2024-01-03;010;6733.3
2024-01-03;002;24691.34
2024-01-04;010;6911.1
2024-01-04;012;3276.95
2024-01-04;013;3232.1
2024-01-04;011;2980.6
2024-01-04;002;20475.6
2024-01-05;002;10080.61
2024-01-05;013;1174.5
2024-01-05;011;3882.75
2024-01-05;012;3734.09
2024-01-05;010;4110.6
2024-01-06;013;1095.5
2024-01-06;011;2440.4
2024-01-06;010;6030.31
2024-01-06;012;4761.0
2024-01-07;013;955.9
2024-01-07;011;1708.45
2024-01-07;010;4002.54
2024-01-08;012;1657.0
2024-01-08;011;1533.1
2024-01-08;010;1611.5
2024-01-08;013;998.25
2024-01-08;002;30641.65
2024-01-09;011;1499.5
2024-01-09;013;1202.95
2024-01-09;012;1060.2
2024-01-09;002;7865.03
2024-01-09;010;4732.6
2024-01-10;013;1712.2
2024-01-10;011;2001.17
2024-01-10;012;1157.9
2024-01-10;002;4207.82
2024-01-10;010;3773.4
2024-01-11;010;4914.3
2024-01-11;012;918.05
2024-01-11;011;1936.1
2024-01-11;013;1894.1
2024-01-11;002;8682.66
2024-01-12;002;7404.22
2024-01-12;012;1035.7
2024-01-12;013;2339.1
2024-01-12;011;2197.3
2024-01-12;010;4948.2
2024-01-13;010;7353.25
2024-01-13;013;2088.3
2024-01-13;011;4012.0
2024-01-13;012;2198.79
2024-01-14;011;1463.18
2024-01-14;010;2482.4
2024-01-14;013;129.0
2024-01-15;011;2407.0
2024-01-15;012;1856.6
2024-01-15;002;29317.13
2024-01-15;013;774.35
2024-01-15;010;1577.95
2024-01-16;012;2836.2
2024-01-16;011;1399.0
2024-01-16;002;8722.05
2024-01-16;010;2416.98
2024-01-16;013;1683.35
2024-01-17;011;854.74
2024-01-17;013;716.16
2024-01-17;012;1038.99
2024-01-17;002;14590.79
2024-01-17;001;3506.4
2024-01-17;010;2508.57
2024-01-18;012;996.04
2024-01-18;002;9842.86
2024-01-18;013;1171.15
2024-01-18;010;5866.38
2024-01-19;010;5908.4
2024-01-19;012;2879.49
2024-01-19;002;10694.61
2024-01-20;010;4178.95
2024-01-20;012;2155.52
2024-01-21;010;5045.0
2024-01-22;010;1486.9
2024-01-22;012;2442.51
2024-01-22;002;26662.46
2024-01-23;002;9138.65
2024-01-23;010;3205.37
2024-01-23;012;2594.76
2024-01-24;012;2190.97
2024-01-24;002;6142.43
2024-01-24;010;3700.08
2024-01-25;011;29.3
2024-01-25;010;5641.04
2024-01-25;012;1918.89
2024-01-26;002;19779.31
2024-01-26;012;2128.51
2024-01-26;010;11054.07
2024-01-27;012;3167.9
2024-01-27;010;4040.04
2024-01-28;010;2948.32
2024-01-29;010;3150.6
2024-01-29;012;747.5
2024-01-29;002;21614.3
2024-01-30;002;4966.51
2024-01-30;012;1815.0
2024-01-30;010;2125.05
2024-01-31;002;11115.84
2024-01-31;010;2585.35
2024-01-31;012;1579.28
2024-02-01;012;2597.83
2024-02-01;010;4458.2
2024-02-01;002;12447.0
2024-02-02;012;1282.97
2024-02-02;010;5428.78
2024-02-02;002;17218.99
2024-02-03;012;2379.02
2024-02-03;010;3165.74
2024-02-03;002;-2036.72
2024-02-04;010;2576.7
2024-02-05;010;1433.25
2024-02-05;002;35510.04
2024-02-05;012;986.15
2024-02-06;002;5716.01
2024-02-06;012;713.4
2024-02-06;010;3389.1
2024-02-07;002;6173.0
2024-02-07;012;2616.8
2024-02-07;010;2949.2
2024-02-08;002;9064.28
2024-02-08;010;6830.3
2024-02-08;012;5165.8
2024-02-09;012;4645.4
2024-02-09;010;5111.15
2024-02-09;002;7669.68
2024-02-10;012;1161.45
2024-02-10;010;2993.2
2024-02-11;010;1955.2
2024-02-14;012;1624.95
2024-02-14;002;33068.33
2024-02-14;010;6639.8
2024-02-15;002;3269.24
2024-02-15;012;1971.95
2024-02-15;010;3796.2
2024-02-16;002;8037.45
2024-02-16;010;7667.1
2024-02-16;012;2662.1
2024-02-17;012;2473.14
2024-02-17;010;7348.05
2024-02-18;010;2320.5
2024-02-19;012;2648.8
2024-02-19;002;25301.21
2024-02-19;010;6710.8
2024-02-20;012;769.05
2024-02-20;010;5377.4
2024-02-20;002;6753.61
2024-02-21;010;440.1
2024-02-21;002;7888.37
2024-02-21;012;2347.55
2024-02-22;010;5858.45
2024-02-22;001;18690.0
2024-02-22;002;9527.64
2024-02-22;012;1386.45
2024-02-23;012;3709.15
2024-02-23;010;5077.9
2024-02-23;011;91.74
2024-02-23;002;1620.25
2024-02-23;001;6040.0
2024-02-24;012;2380.1
2024-02-24;010;4976.05
2024-02-25;010;3886.6
2024-02-26;011;42.0
2024-02-26;012;1152.25
2024-02-26;002;18213.82
2024-02-26;010;3335.2
2024-02-27;012;2101.45
2024-02-27;013;0.0
2024-02-27;002;8801.44
2024-02-27;010;2549.85
2024-02-28;012;805.55
2024-02-28;010;3247.35
2024-02-28;002;5523.5
2024-02-29;013;0.0
2024-02-29;011;0.0
2024-02-29;012;2233.4
2024-02-29;002;8348.52
2024-02-29;010;3143.0
2024-03-01;010;4427.45
2024-03-01;012;1353.7
2024-03-01;002;9878.02
2024-03-02;010;8361.63
2024-03-02;012;2927.6
2024-03-03;010;1792.65
2024-03-04;010;3192.47
2024-03-04;011;45.0
2024-03-04;002;23418.23
2024-03-04;012;1207.9
2024-03-05;010;4765.22
2024-03-05;002;6916.98
2024-03-05;012;2297.09
2024-03-06;012;873.95
2024-03-06;002;8921.0
2024-03-06;010;4117.15
2024-03-07;012;1228.59
2024-03-07;010;3837.4
2024-03-07;002;15297.32
2024-03-08;010;9014.58
2024-03-08;002;9733.99
2024-03-08;012;2839.91
2024-03-08;013;0.0
2024-03-09;010;9190.33
2024-03-09;012;5077.66
2024-03-10;010;4283.8
2024-03-11;002;29053.59
2024-03-11;013;0.0
2024-03-11;010;4032.0
2024-03-11;012;960.6
2024-03-12;012;2022.1
2024-03-12;013;0.0
2024-03-12;002;12166.46
2024-03-12;010;3126.9
2024-03-13;002;10436.3
2024-03-13;012;1791.1
2024-03-13;010;3255.35
2024-03-14;012;948.65
2024-03-14;002;5746.62
2024-03-14;010;4227.05
2024-03-14;013;0.0
2024-03-15;012;2443.44
2024-03-15;010;5342.69
2024-03-15;002;7165.74
2024-03-16;012;3654.1
2024-03-16;010;7057.85
2024-03-17;010;3925.6
2024-03-18;010;2881.95
2024-03-18;002;39250.12
2024-03-18;012;571.63
2024-03-19;010;3844.0
2024-03-19;012;795.15
2024-03-19;002;8012.07
2024-03-20;010;4358.05
2024-03-20;012;829.45
2024-03-20;002;6144.79
2024-03-21;002;8837.93
2024-03-21;010;4800.8
2024-03-21;012;2236.1
2024-03-22;012;1446.15
2024-03-22;010;4096.1
2024-03-22;002;7877.81
2024-03-23;012;3800.36
2024-03-23;010;8863.1
2024-03-24;010;5852.1
2024-03-25;012;1885.3
2024-03-25;010;2099.35
2024-03-25;002;23143.17
2024-03-26;010;3628.85
2024-03-26;002;9999.52
2024-03-26;012;1872.55
2024-03-27;002;9445.32
2024-03-27;012;2785.8
2024-03-27;011;15.75
2024-03-27;010;9035.27
2024-03-28;002;7360.89
2024-03-28;012;3452.58
2024-03-28;010;3847.0
2024-03-29;010;6540.55
2024-03-29;012;318.24
2024-03-30;012;4953.41
2024-03-30;010;11010.31
2024-03-31;010;3322.1
2024-04-01;012;656.2
2024-04-01;010;3084.55
2024-04-01;013;0.0
2024-04-01;002;41263.89
2024-04-02;012;1606.6
2024-04-02;010;3974.0
2024-04-02;002;11010.21
2024-04-03;010;3408.0
2024-04-03;002;4609.28
2024-04-03;012;1530.0
2024-04-04;002;8971.34
2024-04-04;012;1539.1
2024-04-04;010;5449.3
2024-04-05;010;7466.55
2024-04-05;012;2301.45
2024-04-05;002;7688.15
2024-04-06;010;7541.95
2024-04-06;012;4703.7
2024-04-07;010;2136.3
2024-04-08;002;28604.17
2024-04-08;012;1287.3
2024-04-08;010;3153.95
2024-04-09;012;2137.3
2024-04-09;002;9950.72
2024-04-09;010;2881.1
2024-04-10;012;3228.0
2024-04-10;002;9888.64
2024-04-10;010;3866.5
2024-04-11;010;6418.75
2024-04-11;002;7483.66
2024-04-11;012;770.35
2024-04-12;010;5862.0
2024-04-12;012;3880.15
2024-04-12;002;7167.7
2024-04-13;010;8769.15
