data;Quantidade
2023-09-29;151
2023-09-30;167
2023-10-01;31
2023-10-02;200
2023-10-03;83
2023-10-04;216
2023-10-05;148
2023-10-06;259
2023-10-07;137
2023-10-08;52
2023-10-09;206
2023-10-10;154
2023-10-11;198
2023-10-12;78
2023-10-13;293
2023-10-14;131
2023-10-15;57
2023-10-16;156
2023-10-17;171
2023-10-18;164
2023-10-19;172
2023-10-20;219
2023-10-21;166
2023-10-22;36
2023-10-23;269
2023-10-24;181
2023-10-25;154
2023-10-26;127
2023-10-27;199
2023-10-28;157
2023-10-29;50
2023-10-30;263
2023-10-31;212
2023-11-01;109
2023-11-02;81
2023-11-03;337
2023-11-04;103
2023-11-05;33
2023-11-06;356
2023-11-07;197
2023-11-08;124
2023-11-09;264
2023-11-10;289
2023-11-11;215
2023-11-12;49
2023-11-13;377
2023-11-14;379
2023-11-15;62
2023-11-16;422
2023-11-17;224
2023-11-18;140
2023-11-19;129
2023-11-20;102
2023-11-21;713
2023-11-22;989
2023-11-23;560
2023-11-24;1069
2023-11-25;939
2023-11-26;399
2023-11-27;796
2023-11-28;432
2023-11-29;434
2023-11-30;783
2023-12-01;439
2023-12-02;164
2023-12-03;36
2023-12-04;437
2023-12-05;309
2023-12-06;438
2023-12-07;205
2023-12-08;236
2023-12-09;209
2023-12-10;100
2023-12-11;483
2023-12-12;459
2023-12-13;501
2023-12-14;458
2023-12-15;274
2023-12-16;257
2023-12-17;151
2023-12-18;739
2023-12-19;633
2023-12-20;515
2023-12-21;682
2023-12-22;573
2023-12-23;669
2023-12-24;288
2023-12-26;534
2023-12-27;260
2023-12-28;275
2023-12-29;189
2023-12-30;221
2023-12-31;88
2024-01-02;384
2024-01-03;373
2024-01-04;369
2024-01-05;252
2024-01-06;120
2024-01-07;57
2024-01-08;424
2024-01-09;173
2024-01-10;138
2024-01-11;225
2024-01-12;185
2024-01-13;118
2024-01-14;34
2024-01-15;413
2024-01-16;186
2024-01-17;283
2024-01-18;184
2024-01-19;220
2024-01-20;53
2024-01-21;40
2024-01-22;353
2024-01-23;175
2024-01-24;138
2024-01-25;71
2024-01-26;391
2024-01-27;62
2024-01-28;22
2024-01-29;326
2024-01-30;122
2024-01-31;223
2024-02-01;238
2024-02-02;286
2024-02-03;33
2024-02-04;23
2024-02-05;525
2024-02-06;120
2024-02-07;155
2024-02-08;216
2024-02-09;198
2024-02-10;36
2024-02-11;16
2024-02-14;496
2024-02-15;104
2024-02-16;189
2024-02-17;78
2024-02-18;21
2024-02-19;415
2024-02-20;132
2024-02-21;129
2024-02-22;455
2024-02-23;185
2024-02-24;65
2024-02-25;30
2024-02-26;284
2024-02-27;146
2024-02-28;118
2024-02-29;135
2024-03-01;172
2024-03-02;107
2024-03-03;21
2024-03-04;346
2024-03-05;170
2024-03-06;164
2024-03-07;233
2024-03-08;223
2024-03-09;128
2024-03-10;35
2024-03-11;388
2024-03-12;192
2024-03-13;160
2024-03-14;122
2024-03-15;167
2024-03-16;103
2024-03-17;39
2024-03-18;573
2024-03-19;131
2024-03-20;147
2024-03-21;162
2024-03-22;155
2024-03-23;121
2024-03-24;54
2024-03-25;311
2024-03-26;190
2024-03-27;202
2024-03-28;152
2024-03-29;62
2024-03-30;149
2024-03-31;30
2024-04-01;534
2024-04-02;185
2024-04-03;104
2024-04-04;162
2024-04-05;173
2024-04-06;100
2024-04-07;18
2024-04-08;378
2024-04-09;164
2024-04-10;181
2024-04-11;151
2024-04-12;151
2024-04-13;115
2024-04-14;35
2024-04-15;251
2024-04-16;105
2024-04-17;170
2024-04-18;129
2024-04-19;168
2024-04-20;97
2024-04-21;16
2024-04-22;229
2024-04-23;152
2024-04-24;172
2024-04-25;1137
2024-04-26;1628
2024-04-27;88
2024-04-28;54
2024-04-29;330
2024-04-30;229
2024-05-01;38
2024-05-02;975
2024-05-03;227
2024-05-04;84
2024-05-05;23
2024-05-06;406
2024-05-07;179
2024-05-08;276
2024-05-09;226
2024-05-10;322
2024-05-11;349
2024-05-12;36
2024-05-13;339
2024-05-14;117
2024-05-15;250
2024-05-16;142
2024-05-17;179
2024-05-18;134
2024-05-19;27
2024-05-20;333
2024-05-21;185
2024-05-22;196
2024-05-23;53
2024-05-24;230
2024-05-25;146
2024-05-26;76
2024-05-27;290
2024-05-28;162
2024-05-29;130
2024-05-30;52
2024-05-31;332
2024-06-01;60
2024-06-02;27
2024-06-03;427
2024-06-04;255
2024-06-05;164
2024-06-06;221
2024-06-07;272
2024-06-08;102
2024-06-09;52
2024-06-10;411
2024-06-11;230
2024-06-12;176
2024-06-13;182
2024-06-14;210
2024-06-15;66
2024-06-16;19
2024-06-17;352
2024-06-18;224
2024-06-19;182
2024-06-20;200
2024-06-21;194
2024-06-22;77
2024-06-23;36
2024-06-24;302
2024-06-25;155
2024-06-26;176
2024-06-27;181
2024-06-28;180
2024-06-29;81
2024-06-30;33
2024-07-01;540
2024-07-02;128
2024-07-03;196
2024-07-04;202
2024-07-05;187
2024-07-06;112
2024-07-07;49
2024-07-08;330
2024-07-09;59
2024-07-10;286
2024-07-11;180
2024-07-12;129
2024-07-13;97
2024-07-14;32
2024-07-15;376
2024-07-16;95
2024-07-17;180
2024-07-18;231
2024-07-19;63
2024-07-20;61
2024-07-21;40
2024-07-22;375
2024-07-23;208
2024-07-24;201
2024-07-25;189
2024-07-26;198
2024-07-27;89
2024-07-28;34
2024-07-29;349
2024-07-30;224
2024-07-31;49
2024-08-01;227
2024-08-02;251
2024-08-03;93
2024-08-04;33
2024-08-05;413
2024-08-06;181
2024-08-07;286
2024-08-08;195
2024-08-09;155
2024-08-10;92
2024-08-11;16
2024-08-12;366
2024-08-13;182
2024-08-14;136
2024-08-15;194
2024-08-16;115
2024-08-17;91
2024-08-18;36
2024-08-19;345
2024-08-20;156
2024-08-21;136
2024-08-22;235
2024-08-23;134
2024-08-24;82
2024-08-25;36
2024-08-26;439
2024-08-27;142
2024-08-28;168
2024-08-29;180
2024-08-30;148
2024-08-31;97
2024-09-01;37
2024-09-02;209
2024-09-03;167
2024-09-04;274
2024-09-05;199
2024-09-06;185
2024-09-07;139
2024-09-08;69
2024-09-09;428
2024-09-10;191
2024-09-11;310
2024-09-12;171
2024-09-13;152
2024-09-14;168
2024-09-15;91
2024-09-16;558
2024-09-17;162
2024-09-18;222
2024-09-19;225
2024-09-20;216
2024-09-21;128
2024-09-22;80
2024-09-23;363
2024-09-24;209
2024-09-25;158
2024-09-26;168
2024-09-27;195
2024-09-28;135
2024-09-29;59
2024-09-30;356
2024-10-01;212
2024-10-02;178
2024-10-03;175
2024-10-04;179
2024-10-05;199
2024-10-06;53
2024-10-07;370
2024-10-08;145
2024-10-09;122
2024-10-10;149
2024-10-11;246
2024-10-12;169
2024-10-13;69
2024-10-14;273
2024-10-15;194
2024-10-16;181
2024-10-17;238
2024-10-18;182
2024-10-19;143
2024-10-20;68
2024-10-21;300
2024-10-22;153
2024-10-23;130
2024-10-24;183
2024-10-25;179
2024-10-26;136
2024-10-27;69
2024-10-28;265
2024-10-29;145
2024-10-30;110
2024-10-31;159
2024-11-01;171
2024-11-02;128
2024-11-03;60
2024-11-04;495
2024-11-05;175
2024-11-06;364
2024-11-07;201
2024-11-08;341
2024-11-09;176
2024-11-10;56
2024-11-11;495
2024-11-12;239
2024-11-13;279
2024-11-14;437
2024-11-15;130
2024-11-16;130
2024-11-17;80
2024-11-18;799
2024-11-19;213
2024-11-20;76
2024-11-21;564
2024-11-22;327
2024-11-23;169
2024-11-24;65
2024-11-25;499
2024-11-26;472
2024-11-27;457
2024-11-28;922
2024-11-29;648
2024-11-30;601
2024-12-01;178
2024-12-02;382
2024-12-03;1086
2024-12-04;881
2024-12-05;364
2024-12-06;317
2024-12-07;173
2024-12-08;154
2024-12-09;521
2024-12-10;328
2024-12-11;382
2024-12-12;412
2024-12-13;515
2024-12-14;309
2024-12-15;170
2024-12-16;688
2024-12-17;441
2024-12-18;709
2024-12-19;694
2024-12-20;639
2024-12-21;562
2024-12-22;390
2024-12-23;978
2024-12-24;326
2024-12-26;653
2024-12-27;312
2024-12-28;190
2024-12-29;98
2024-12-30;617
2024-12-31;78
2025-01-02;432
2025-01-03;359
2025-01-04;110
2025-01-05;80
2025-01-06;516
2025-01-07;195
2025-01-08;365
2025-01-09;333
2025-01-10;241
2025-01-11;153
2025-01-12;94
2025-01-13;539
2025-01-14;235
2025-01-15;317
2025-01-16;582
2025-01-17;288
2025-01-18;175
2025-01-19;57
2025-01-20;497
2025-01-21;282
2025-01-22;200
2025-01-23;250
2025-01-24;219
2025-01-25;156
2025-01-26;68
2025-01-27;502
2025-01-28;255
2025-01-29;172
2025-01-30;217
2025-01-31;195
2025-02-01;109
2025-02-02;44
2025-02-03;577
2025-02-04;200
2025-02-05;146
2025-02-06;141
2025-02-07;193
2025-02-08;75
2025-02-09;34
2025-02-10;291
2025-02-11;197
2025-02-12;102
2025-02-13;124
2025-02-14;129
2025-02-15;83
2025-02-16;31
2025-02-17;279
2025-02-18;159
2025-02-19;153
2025-02-20;152
2025-02-21;189
2025-02-22;155
2025-02-23;71
2025-02-24;269
2025-02-25;183
2025-02-26;184
2025-02-27;157
2025-02-28;129
2025-03-01;76
2025-03-02;44
2025-03-03;25
2025-03-04;18
2025-03-05;333
2025-03-06;113
2025-03-07;212
2025-03-08;106
2025-03-09;67
2025-03-10;320
2025-03-11;242
2025-03-12;272
2025-03-13;199
2025-03-14;319
2025-03-15;213
2025-03-16;131
2025-03-17;485
2025-03-18;198
2025-03-19;333
2025-03-20;202
2025-03-21;246
2025-03-22;200
2025-03-23;100
2025-03-24;452
2025-03-25;213
2025-03-26;204
2025-03-27;256
2025-03-28;170
2025-03-29;186
2025-03-30;69
2025-03-31;477
2025-04-01;190
2025-04-02;218
2025-04-03;195
2025-04-04;239
2025-04-05;202
2025-04-06;75
2025-04-07;392
2025-04-08;198
2025-04-09;200
2025-04-10;195
2025-04-11;259
2025-04-12;213
2025-04-13;69
2025-04-14;342
2025-04-15;172
2025-04-16;176
2025-04-17;148
2025-04-18;116
2025-04-19;144
2025-04-20;51
2025-04-21;72
2025-04-22;449
2025-04-23;181
2025-04-24;195
2025-04-25;197
2025-04-26;181
2025-04-27;51
