data;Empresa;vendas
2023-09-30;002;89800.0
2023-10-02;001;2780.0
2023-10-02;002;76595.0
2023-10-03;001;-6699.8
2023-10-03;003;66426.0
2023-10-03;002;279286.0
2023-10-04;002;73570.0
2023-10-04;001;23824.0
2023-10-04;003;88460.0
2023-10-05;002;59259.0
2023-10-06;002;23770.0
2023-10-06;001;-17582.58
2023-10-06;003;7580.0
2023-10-09;001;-3980.0
2023-10-09;002;206795.5
2023-10-10;001;7610.0
2023-10-10;002;91630.5
2023-10-11;001;-17790.0
2023-10-11;002;9682.58
2023-10-13;001;-335.88
2023-10-16;002;584530.0
2023-10-16;001;-214090.74
2023-10-17;002;29770.54
2023-10-17;001;-14690.54
2023-10-18;002;87560.0
2023-10-18;003;18130.0
2023-10-19;003;25880.0
2023-10-19;002;221924.0
2023-10-20;002;413680.0
2023-10-20;003;33199.74
2023-10-23;002;116300.0
2023-10-23;001;-30315.0
2023-10-24;002;130700.0
2023-10-25;001;2470.51
2023-10-25;002;801076.66
2023-10-26;001;-13707.34
2023-10-26;002;5980.0
2023-10-27;001;-11900.0
2023-10-27;002;165530.0
2023-10-27;003;204290.0
2023-10-30;002;158670.0
2023-10-31;002;132920.0
2023-11-01;002;19600.0
2023-11-03;002;19970.0
2023-11-06;002;27402.0
2023-11-07;002;34340.0
2023-11-07;001;-14900.0
2023-11-08;002;4170.0
2023-11-08;001;820.0
2023-11-09;003;70124.0
2023-11-09;001;-1770.0
2023-11-09;002;48544.0
2023-11-10;002;54630.0
2023-11-11;001;-6980.0
2023-11-11;002;92924.0
2023-11-11;003;22140.0
2023-11-13;003;41780.0
2023-11-13;002;352340.0
2023-11-14;002;185390.0
2023-11-16;001;-13131.2
2023-11-16;002;412140.0
2023-11-17;002;195360.0
2023-11-20;002;798.0
2023-11-21;001;7977.1
2023-11-21;002;36260.0
2023-11-21;003;141900.0
2023-11-22;001;-49460.0
2023-11-22;003;63118.0
2023-11-22;002;100083.0
2023-11-23;002;403355.0
2023-11-23;001;307280.0
2023-11-24;002;239700.0
2023-11-25;002;397950.0
2023-11-25;001;-10710.0
2023-11-25;003;15960.0
2023-11-27;001;-13541.86
2023-11-27;002;105195.0
2023-11-28;002;102200.0
2023-11-29;001;-1840.2
2023-11-29;002;53760.0
2023-11-29;003;13900.0
2023-11-30;001;-88700.0
2023-11-30;002;635741.96
2023-12-01;002;177556.0
2023-12-01;001;1086.93
2023-12-01;003;21830.0
2023-12-02;002;247800.0
2023-12-02;003;167830.0
2023-12-04;002;231289.99
2023-12-05;002;73590.0
2023-12-05;001;264000.0
2023-12-06;002;732408.18
2023-12-06;001;-19651.14
2023-12-06;003;22630.0
2023-12-07;001;-53405.87
2023-12-07;002;130660.0
