data;Empresa;vendas
2023-09-29;001;40051.04
2023-09-29;003;16843.98
2023-09-29;002;21614.11
2023-10-02;003;8655.12
2023-10-02;001;29237.38
2023-10-02;002;397.85
2023-10-03;001;85264.33
2023-10-03;003;14527.63
2023-10-03;002;1869.0
2023-10-04;003;239.1
2023-10-04;001;17261.34
2023-10-05;001;16634.26
2023-10-05;003;7523.04
2023-10-05;002;56598.0
2023-10-06;002;4098.34
2023-10-06;001;72214.34
2023-10-06;003;13640.77
2023-10-09;001;32613.69
2023-10-09;003;3092.62
2023-10-09;002;3453.1
2023-10-10;001;31184.23
2023-10-10;002;3135.6
2023-10-10;003;59863.52
2023-10-11;001;30993.22
2023-10-11;003;6736.51
2023-10-11;002;10346.23
2023-10-13;002;995.5
2023-10-13;001;21501.56
2023-10-16;003;6029.7
2023-10-16;001;11587.96
2023-10-16;002;15977.51
2023-10-17;001;19165.72
2023-10-17;002;7074.6
2023-10-17;003;339.0
2023-10-18;001;16682.78
2023-10-18;002;18641.14
2023-10-19;001;14676.89
2023-10-19;002;34097.45
2023-10-20;002;56187.42
2023-10-20;001;44083.17
2023-10-20;003;1394.28
2023-10-23;001;14832.43
2023-10-23;003;36705.59
2023-10-23;002;6911.48
2023-10-24;003;31421.48
2023-10-24;001;10828.4
2023-10-25;003;6792.06
2023-10-25;001;19359.58
2023-10-26;001;6218.56
2023-10-26;003;25734.6
2023-10-26;002;2484.02
2023-10-27;001;67785.95
2023-10-27;002;7657.09
2023-10-27;003;81801.28
2023-10-30;003;12777.85
2023-10-30;001;25291.11
2023-10-31;003;18904.65
2023-10-31;001;122630.28
2023-10-31;002;5568.7
2023-11-01;003;27303.62
2023-11-01;001;11294.26
2023-11-03;001;91751.61
2023-11-03;003;57315.47
2023-11-03;002;133.19
2023-11-06;001;33406.22
2023-11-06;003;23505.0
2023-11-06;002;562.0
2023-11-07;003;19124.33
2023-11-07;001;31454.06
2023-11-08;003;33629.33
2023-11-08;001;8209.6
2023-11-09;003;29248.82
2023-11-09;001;57763.67
2023-11-09;002;1407.7
2023-11-10;001;31480.95
2023-11-10;003;31319.98
2023-11-10;002;9657.25
2023-11-13;003;5826.19
2023-11-13;001;25223.72
2023-11-13;002;8092.29
2023-11-14;001;17062.55
2023-11-14;003;684.41
2023-11-14;002;33582.57
2023-11-15;002;4136.7
2023-11-15;001;10132.39
2023-11-16;003;1091.24
2023-11-16;001;20451.28
2023-11-16;002;43177.21
2023-11-17;003;4549.19
2023-11-17;001;24946.54
2023-11-17;002;54616.09
2023-11-20;001;4345.71
2023-11-20;003;804.12
2023-11-21;001;47309.54
2023-11-21;002;98710.65
2023-11-21;003;8903.9
2023-11-22;001;29777.34
2023-11-22;003;29948.79
