data;Quantidade
2023-10-05;1959
2023-10-06;2072
2023-10-09;902
2023-10-10;1130
2023-10-11;916
2023-10-13;347
2023-10-16;553
2023-10-17;576
2023-10-18;794
2023-10-19;1146
2023-10-20;2336
2023-10-23;1069
2023-10-24;1077
2023-10-25;783
2023-10-26;785
2023-10-27;3662
2023-10-30;598
2023-10-31;1957
2023-11-01;1172
2023-11-03;3463
2023-11-06;1663
2023-11-07;1537
2023-11-08;1044
2023-11-09;3551
2023-11-10;1459
2023-11-13;729
2023-11-14;1240
2023-11-15;256
2023-11-16;1517
2023-11-17;1618
2023-11-20;127
2023-11-21;4154
2023-11-22;2009
2023-11-23;2297
2023-11-24;1880
2023-11-27;3846
2023-11-28;1759
2023-11-29;1268
2023-11-30;1536
2023-12-01;2478
2023-12-04;812
2023-12-05;2876
2023-12-06;2440
2023-12-07;989
2023-12-08;3326
2023-12-11;1380
2023-12-12;3434
2023-12-13;1999
2023-12-14;1842
2023-12-15;3037
2023-12-18;2437
2023-12-19;4092
2023-12-20;795
2023-12-28;241
2023-12-29;4
2024-01-03;5
2024-01-04;409
2024-01-08;42
2024-01-09;152
2024-01-10;68
2024-01-12;77
2024-01-16;34
2024-01-17;16
2024-01-18;93
2024-01-19;193
2024-01-20;3
2024-01-22;284
2024-01-23;649
2024-01-24;537
2024-01-25;522
2024-01-26;647
2024-01-29;436
2024-01-30;1017
2024-01-31;1442
2024-02-01;509
2024-02-02;528
2024-02-03;201
2024-02-05;581
2024-02-06;2498
2024-02-07;1003
2024-02-08;1840
2024-02-09;886
2024-02-14;866
2024-02-15;1386
2024-02-16;1053
2024-02-17;388
2024-02-19;2628
2024-02-20;673
2024-02-21;2690
2024-02-22;1757
2024-02-23;1690
2024-02-26;962
2024-02-27;1061
2024-02-28;2709
2024-02-29;648
2024-03-01;1052
2024-03-04;-328
2024-03-05;1767
2024-03-06;2608
2024-03-07;842
2024-03-08;1664
2024-03-11;642
2024-03-12;917
2024-03-13;490
2024-03-14;1354
2024-03-15;1009
2024-03-18;814
2024-03-19;1212
2024-03-20;1033
2024-03-21;2390
2024-03-22;1542
2024-03-25;1415
2024-03-26;775
2024-03-27;1462
2024-03-28;729
2024-03-30;1346
2024-04-01;500
2024-04-02;1375
2024-04-03;1437
2024-04-04;1245
2024-04-05;2501
2024-04-08;-110
2024-04-09;1099
2024-04-10;2884
2024-04-11;1218
2024-04-12;1604
2024-04-15;475
2024-04-16;411
2024-04-17;2336
2024-04-18;533
2024-04-19;1888
2024-04-22;2219
2024-04-23;1211
2024-04-24;1468
2024-04-25;1054
2024-04-26;502
2024-04-29;796
2024-04-30;5215
2024-05-02;1810
2024-05-03;2062
2024-05-04;925
2024-05-06;1864
2024-05-07;1852
2024-05-08;3717
2024-05-09;2154
2024-05-10;6571
2024-05-13;711
2024-05-14;2795
2024-05-15;1401
2024-05-16;472
2024-05-17;1347
2024-05-20;1117
2024-05-21;3284
2024-05-22;1185
