data;Empresa;vendas
2023-10-09;I3C;15650.0
2023-10-10;I3C;62937.0
2023-10-11;I3C;135.0
2023-10-13;I3C;209458.97
2023-10-14;I3C;3537.0
2023-10-15;I3C;363981.0
2023-10-16;I3C;989.0
2023-10-17;I3C;29034.0
2023-10-18;I3C;118527.03
2023-10-19;I3C;43370.85
2023-10-20;I3C;1473872.53
2023-10-21;I3C;7796.54
2023-10-22;I3C;1795.0
2023-10-23;I3C;377500.0
2023-10-24;I3C;311558.9
2023-10-25;I3C;93859.0
2023-10-26;I3C;53819.1
2023-10-27;I3C;45827.85
2023-10-28;I3C;168896.94
2023-10-29;I3C;270.0
2023-10-30;I3C;24563.75
2023-10-31;I3C;63783.0
2023-11-01;I3C;382161.6
2023-11-02;I3C;11000.0
2023-11-03;I3C;150442.0
2023-11-06;I3C;1245.0
2023-11-07;I3C;27572.0
2023-11-08;I3C;8557.9
2023-11-09;I3C;82892.2
2023-11-10;I3C;245312.0
2023-11-11;I3C;44254.0
2023-11-12;I3C;19444.0
2023-11-13;I3C;727.2
2023-11-14;I3C;78982.05
2023-11-16;I3C;1083370.0
2023-11-17;I3C;34402.0
2023-11-18;I3C;81104.0
2023-11-19;I3C;16140.6
2023-11-20;I3C;135.0
2023-11-21;I3C;5326.0
2023-11-22;I3C;110486.0
2023-11-23;I3C;596064.0
2023-11-24;I3C;270.0
2023-11-25;I3C;170913.0
2023-11-26;I3C;18297.0
2023-11-27;I3C;7028.0
2023-11-28;I3C;84795.8
2023-12-01;I3C;78538.0
2023-12-02;I3C;110000.0
2023-12-03;I3C;2980.77
2023-12-04;I3C;220803.6
2023-12-05;I3C;615462.2
2023-12-06;I3C;261590.0
2023-12-07;I3C;1120276.0
2023-12-08;I3C;87366.6
2023-12-09;I3C;192991.2
2023-12-10;I3C;417070.0
2023-12-11;I3C;37277.4
2023-12-12;I3C;118475.0
2023-12-13;I3C;3470088.0
2023-12-14;I3C;241033.0
2023-12-15;I3C;31037.0
2023-12-16;I3C;127045.0
2023-12-17;I3C;839651.8
2023-12-18;I3C;1735543.08
2023-12-19;I3C;106161.6
2023-12-20;I3C;796455.24
2023-12-21;I3C;450458.5
2023-12-22;I3C;242916.81
2023-12-23;I3C;891708.0
2023-12-24;I3C;208166.0
2023-12-26;I3C;135147.0
2023-12-27;I3C;22042.05
2023-12-28;I3C;1283874.2
2023-12-29;I3C;60942.0
2023-12-30;I3C;227072.11
2024-01-02;I3C;147870.0
2024-01-03;I3C;97732.5
2024-01-04;I3C;8222.48
2024-01-05;I3C;135.0
2024-01-06;I3C;101722.0
2024-01-07;I3C;30992.52
2024-01-08;I3C;290714.41
2024-01-09;I3C;5167.54
2024-01-11;I3C;5885.0
2024-01-12;I3C;115965.0
2024-01-13;I3C;11563.1
2024-01-15;I3C;41207.0
2024-01-17;I3C;7551.0
2024-01-18;I3C;158413.3
2024-01-19;I3C;198411.0
2024-01-20;I3C;908651.91
2024-01-21;I3C;18798.58
2024-01-22;I3C;55083.8
2024-01-23;I3C;38235.6
2024-01-24;I3C;27458.94
2024-01-25;I3C;56089.53
2024-01-26;I3C;196237.0
2024-01-27;I3C;42840.0
2024-01-29;I3C;17753.0
2024-01-30;I3C;67645.0
2024-01-31;I3C;265.0
2024-02-01;I3C;135.0
2024-02-02;I3C;51454.6
2024-02-03;I3C;7272.1
2024-02-04;I3C;60155.0
2024-02-05;I3C;19905.2
2024-02-06;I3C;230.0
2024-02-07;I3C;20199.84
2024-02-08;I3C;7445.0
2024-02-09;I3C;30204.0
2024-02-10;I3C;18422.1
2024-02-12;I3C;61831.0
2024-02-13;I3C;12888.0
2024-02-14;I3C;120.0
2024-02-15;I3C;180694.51
2024-02-16;I3C;102277.85
2024-02-17;I3C;85321.0
2024-02-19;I3C;361625.61
2024-02-21;I3C;22415.0
2024-02-22;I3C;6515.0
2024-02-23;I3C;7826.62
2024-02-24;I3C;417016.0
2024-02-25;I3C;24255.0
2024-02-26;I3C;165578.0
2024-02-27;I3C;369.0
2024-02-28;I3C;303400.0
2024-02-29;I3C;18060.5
2024-03-01;I3C;92745.16
2024-03-02;I3C;2163.0
2024-03-03;I3C;5700.0
2024-03-04;I3C;128447.2
2024-03-05;I3C;81428.0
2024-03-06;I3C;16648.27
2024-03-07;I3C;144059.4
2024-03-08;I3C;90162.8
2024-03-10;I3C;26925.38
2024-03-11;I3C;81038.0
2024-03-12;I3C;28100.0
2024-03-13;I3C;135352.0
2024-03-15;I3C;460.0
2024-03-16;I3C;173625.0
2024-03-17;I3C;426.3
2024-03-18;I3C;266283.14
2024-03-19;I3C;5435.0
2024-03-20;I3C;120.0
2024-03-21;I3C;80860.0
2024-03-22;I3C;11507.0
2024-03-23;I3C;61956.0
2024-03-24;I3C;38968.0
2024-03-25;I3C;2801.0
2024-03-26;I3C;15280.0
2024-03-27;I3C;90079.78
2024-03-28;I3C;73816.88
2024-03-29;I3C;67938.0
2024-03-30;I3C;85275.0
2024-04-01;I3C;122552.92
2024-04-02;I3C;38670.0
2024-04-03;I3C;84091.3
2024-04-04;I3C;105.0
2024-04-05;I3C;77422.0
2024-04-06;I3C;200490.0
2024-04-07;I3C;5467.0
2024-04-08;I3C;24604.0
2024-04-09;I3C;183495.0
2024-04-10;I3C;656407.0
2024-04-12;I3C;39407.52
2024-04-13;I3C;174340.0
2024-04-14;I3C;18521.16
2024-04-15;I3C;294980.0
2024-04-16;I3C;27268.0
2024-04-17;I3C;43216.3
2024-04-18;I3C;87247.25
2024-04-19;I3C;151784.61
2024-04-20;I3C;1837011.0
