data;Empresa;vendas
2025-01-10;001;60.0
2025-01-13;001;0.0
2025-01-14;001;215.0
2025-01-17;001;280.0
2025-01-20;001;12385.0
2025-01-22;001;990.0
2025-01-23;001;110.0
2025-01-24;001;0.0
2025-01-27;001;0.0
2025-01-29;001;95.1
2025-01-30;001;186372.9
2025-01-31;001;3311.25
2025-02-03;001;20.0
2025-02-04;001;37549.52
2025-02-06;001;13389.3
2025-02-07;001;16624.08
2025-02-10;001;10725.11
2025-02-11;001;590030.88
2025-02-12;001;7156868.13
2025-02-13;001;6008116.63
2025-02-14;001;7244.95
2025-02-17;001;3019.56
2025-02-18;001;79.05
2025-02-19;001;97129.11
2025-02-20;001;84987.29
2025-02-21;001;5346.31
2025-02-24;001;19535.8
2025-02-25;001;102580.61
2025-02-26;001;80.0
2025-02-27;001;959.4
2025-02-28;001;2527.18
2025-03-05;001;5794.14
2025-03-06;001;30896.87
2025-03-07;001;5399.21
2025-03-10;001;14454.63
2025-03-11;001;80041.2
2025-03-12;001;31974.74
2025-03-13;001;51054.08
2025-03-14;001;140713.41
2025-03-17;001;5300.19
2025-03-18;001;44745.14
2025-03-20;001;3638.46
2025-03-21;001;44186.65
2025-03-24;001;117755.87
2025-03-25;001;51401.03
2025-03-26;001;86334.38
2025-03-27;001;141920.23
2025-03-28;001;6.6
2025-03-31;001;961.76
2025-04-01;001;308029.54
2025-04-02;001;105455.66
2025-04-03;001;200908.32
2025-04-04;001;2097.21
2025-04-07;001;216814.38
2025-04-08;001;127383.16
2025-04-09;001;189824.74
2025-04-10;001;2728.25
2025-04-11;001;116629.9
2025-04-14;001;55110.11
2025-04-15;001;96158.4
2025-04-16;001;81767.23
2025-04-17;001;64112.98
2025-04-22;001;182117.78
2025-04-23;001;86632.09
2025-04-24;001;169166.43
2025-04-25;001;41806.3
2025-04-28;001;105551.14
2025-04-29;001;128257.51
2025-04-30;001;81895.42
2025-05-02;001;121097.65
2025-05-05;001;205824.32
2025-05-06;001;175141.81
2025-05-07;001;31561.11
2025-05-08;001;85642.17
2025-05-09;001;44310.9
2025-05-12;001;20826.94
2025-05-13;001;82929.28
2025-05-14;001;25486.16
2025-05-15;001;-2062.41
2025-05-16;001;50444.66
2025-05-19;001;9226.23
2025-05-20;001;39593.49
2025-05-21;001;99070.27
2025-05-22;001;48814.27
2025-05-23;001;-499.62
2025-05-26;001;2745.49
2025-05-27;001;19580.83
2025-05-28;001;13794.24
2025-05-29;001;1998.45
2025-05-30;001;81571.51
2025-06-02;001;152306.54
2025-06-03;001;15849.12
2025-06-04;001;82364.13
2025-06-05;001;2514.94
2025-06-06;001;4180.03
2025-06-09;001;17450.32
2025-06-10;001;12053.83
2025-06-11;001;22150.92
2025-06-12;001;17245.91
2025-06-13;001;5343.64
2025-06-16;001;24974.1
2025-06-17;001;3389.03
2025-06-18;001;4302.48
2025-06-20;001;76506.09
2025-06-23;001;9286.9
2025-06-24;001;10136.13
2025-06-25;001;4532.95
2025-06-26;001;150623.22
2025-06-27;001;7250.45
2025-06-30;001;0.0
2025-07-01;001;135097.68
2025-07-02;001;636.41
2025-07-03;001;102255.53
2025-07-04;001;11911.68
2025-07-07;001;886.0
2025-07-08;001;128971.85
2025-07-10;001;40198.04
2025-07-11;001;29411.31
2025-07-14;001;22871.99
2025-07-15;001;29013.17
2025-07-16;001;383.5
2025-07-17;001;7407.42
2025-07-18;001;5892.89
2025-07-31;001;0.0
2025-08-01;001;105454.11
2025-08-04;001;1604.8
2025-08-05;001;4289.08
2025-08-06;001;11381.1
2025-08-07;001;11144.25
2025-08-08;001;18376.99
2025-08-11;001;158511.56
2025-08-12;001;45572.51
2025-08-13;001;36240.78
2025-08-14;001;85460.16
2025-08-15;001;1404.8
2025-08-18;001;42002.29
2025-08-19;001;1693.96
2025-08-20;001;246.79
2025-08-21;001;2331.5
2025-08-22;001;3783.0
2025-08-25;001;3607.6
2025-08-26;001;75182.52
2025-08-27;001;9042.28
2025-08-28;001;45300.45
2025-08-29;001;8204.98
2025-09-01;001;4601.1
2025-09-02;001;56481.13
2025-09-03;001;17029.53
2025-09-04;001;279.1
2025-09-05;001;-49436.78
2025-09-08;001;423.07
2025-09-09;001;123338.1
2025-09-10;001;267416.6
2025-09-11;001;123274.35
2025-09-12;001;139195.8
2025-09-15;001;191739.25
2025-09-16;001;179799.13
2025-09-17;001;44732.43
2025-09-18;001;49997.38
2025-09-19;001;161021.98
2025-09-22;001;268598.45
2025-09-23;001;61099.59
2025-09-24;001;36105.63
2025-09-25;001;122797.96
2025-09-26;001;94338.47
2025-09-29;001;29651.37
2025-09-30;001;176219.86
2025-10-01;001;36618.07
2025-10-02;001;121817.27
2025-10-03;001;14742.0
2025-10-06;001;84690.09
