data;Quantidade
2025-01-10;8
2025-01-13;1
2025-01-14;14
2025-01-17;2
2025-01-20;5
2025-01-22;8
2025-01-23;10
2025-01-24;1
2025-01-27;1
2025-01-29;6
2025-01-30;128
2025-01-31;8
2025-02-03;3
2025-02-04;13
2025-02-06;14
2025-02-07;19
2025-02-10;23
2025-02-11;77
2025-02-12;28
2025-02-13;38
2025-02-14;9
2025-02-17;39
2025-02-18;8
2025-02-19;40
2025-02-20;473
2025-02-21;74
2025-02-24;6
2025-02-25;60
2025-02-26;11
2025-02-27;4
2025-02-28;-68
2025-03-05;143
2025-03-06;189
2025-03-07;47
2025-03-10;11
2025-03-11;160
2025-03-12;36
2025-03-13;49
2025-03-14;13
2025-03-17;18
2025-03-18;28
2025-03-20;3
2025-03-21;44
2025-03-24;75
2025-03-25;39
2025-03-26;52
2025-03-27;91
2025-03-28;13
2025-03-31;8
2025-04-01;150
2025-04-02;591
2025-04-03;840
2025-04-04;7
2025-04-07;103
2025-04-08;61
2025-04-09;69
2025-04-10;5
2025-04-11;56
2025-04-14;212
2025-04-15;43
2025-04-16;41
2025-04-17;30
2025-04-22;87
2025-04-23;56
2025-04-24;131
2025-04-25;44
2025-04-28;45
2025-04-29;105
2025-04-30;24
2025-05-02;42
2025-05-05;256
2025-05-06;143
2025-05-07;22
2025-05-08;48
2025-05-09;21
2025-05-12;85
2025-05-13;143
2025-05-14;27
2025-05-15;-86
2025-05-16;33
2025-05-19;-1
2025-05-20;81
2025-05-21;33
2025-05-22;33
2025-05-23;6
2025-05-26;-56
2025-05-27;28
2025-05-28;101
2025-05-29;10
2025-05-30;29
2025-06-02;81
2025-06-03;9
2025-06-04;155
2025-06-05;25
2025-06-06;4
2025-06-09;94
2025-06-10;152
2025-06-11;83
2025-06-12;7
2025-06-13;7
2025-06-16;119
2025-06-17;7
2025-06-18;7
2025-06-20;68
2025-06-23;3
2025-06-24;12
2025-06-25;29
2025-06-26;48
2025-06-27;7
2025-06-30;3
2025-07-01;49
2025-07-02;8
2025-07-03;76
2025-07-04;4
2025-07-07;5
2025-07-08;54
2025-07-10;45
2025-07-11;60
2025-07-14;113
2025-07-15;87
2025-07-16;2
2025-07-17;64
2025-07-18;14
2025-07-31;-22
2025-08-01;54
2025-08-04;2
2025-08-05;5
2025-08-06;6
2025-08-07;2
2025-08-08;8
2025-08-11;168
2025-08-12;17
2025-08-13;23
2025-08-14;67
2025-08-15;12
2025-08-18;47
2025-08-19;11
2025-08-20;3
2025-08-21;14
2025-08-22;8
2025-08-25;2
2025-08-26;16
2025-08-27;9
2025-08-28;31
2025-08-29;13
2025-09-01;46
2025-09-02;47
2025-09-03;8
2025-09-04;3
2025-09-05;-11
2025-09-08;9
2025-09-09;88
2025-09-10;71
2025-09-11;51
2025-09-12;93
2025-09-15;80
2025-09-16;74
2025-09-17;36
2025-09-18;37
2025-09-19;87
2025-09-22;148
2025-09-23;71
2025-09-24;21
2025-09-25;50
2025-09-26;35
2025-09-29;18
2025-09-30;72
2025-10-01;41
2025-10-02;69
2025-10-03;9
