data;Empresa;vendas
2023-09-30;005;390.2
2023-09-30;002;28747.0
2023-09-30;001;2157.0
2023-10-01;001;1190.0
2023-10-01;002;1610.7
2023-10-01;005;135.2
2023-10-02;002;367040.0
2023-10-02;005;4200.0
2023-10-03;002;50747.0
2023-10-03;001;6634.6
2023-10-03;005;840.6
2023-10-04;001;535.2
2023-10-04;005;4446.0
2023-10-05;001;3735.4
2023-10-05;002;80600.0
2023-10-06;002;5261.0
2023-10-06;001;8203.1
2023-10-06;008;756.0
2023-10-06;005;8650.0
2023-10-07;005;4515.5
2023-10-07;001;3690.6
2023-10-07;002;6800.0
2023-10-08;002;662.0
2023-10-08;001;135.2
2023-10-09;002;115672.6
2023-10-09;001;420.0
2023-10-09;005;4200.0
2023-10-10;001;3776.0
2023-10-10;008;38388.48
2023-10-10;002;9215.0
2023-10-11;001;1500.2
2023-10-11;002;3920.0
2023-10-12;001;8055.0
2023-10-13;005;2415.4
2023-10-13;001;1100.0
2023-10-13;002;88757.0
2023-10-14;001;4980.8
2023-10-14;005;2710.5
2023-10-15;005;270.4
2023-10-15;001;135.2
2023-10-15;002;270.0
2023-10-16;009;470000.0
2023-10-16;001;2989.5
2023-10-16;002;135.0
2023-10-16;005;3050.0
2023-10-17;002;1210.0
2023-10-17;001;9135.2
2023-10-18;001;18559.6
2023-10-18;005;29496.36
2023-10-18;002;36650.0
2023-10-19;001;135.2
2023-10-19;008;8032.72
2023-10-19;005;2642.0
2023-10-19;002;31387.0
2023-10-20;002;152740.0
2023-10-20;001;5220.99
2023-10-20;005;3200.2
2023-10-21;001;2331.7
2023-10-21;005;1500.2
2023-10-21;002;1662.0
2023-10-22;002;2926.71
2023-10-23;001;2645.5
2023-10-23;005;2878.2
2023-10-23;002;153038.0
2023-10-24;002;59037.0
2023-10-24;001;7601.1
2023-10-25;008;4318.6
2023-10-25;005;2686.2
2023-10-25;002;3051.0
2023-10-25;001;1085.19
2023-10-26;001;3976.65
2023-10-26;005;3940.6
2023-10-26;002;92876.0
2023-10-27;001;10190.2
2023-10-27;002;8236.3
2023-10-27;005;10053.0
2023-10-28;001;145.0
2023-10-28;005;2960.5
2023-10-28;002;89835.0
2023-10-29;001;969.5
2023-10-29;005;110.0
2023-10-30;005;3386.5
2023-10-30;002;462229.0
2023-10-30;001;13480.2
2023-10-31;005;9612.5
2023-10-31;002;114999.0
2023-10-31;001;2073.1
2023-11-01;002;253193.5
2023-11-01;005;57493.2
2023-11-01;001;280.2
2023-11-02;002;78512.0
2023-11-02;001;3586.7
2023-11-02;005;7378.5
2023-11-03;005;3180.7
2023-11-03;002;5807.0
2023-11-03;001;0.0
2023-11-04;001;190.2
2023-11-04;002;108374.0
2023-11-04;005;4190.2
2023-11-05;005;5711.9
2023-11-06;003;0.0
2023-11-06;001;1921.0
2023-11-06;002;6198.2
2023-11-06;005;1635.4
2023-11-07;001;525.4
2023-11-07;002;5062.0
2023-11-07;005;12031.1
2023-11-07;008;206762.26
2023-11-08;001;55.0
2023-11-08;005;10415.5
2023-11-08;002;126762.0
2023-11-09;002;11386.5
2023-11-09;005;3116.0
2023-11-10;002;29512.2
2023-11-10;001;2032.6
2023-11-10;005;12547.0
2023-11-10;008;8556.8
2023-11-11;005;7818.4
2023-11-11;001;6417.3
2023-11-11;002;3930.5
2023-11-12;005;18085.0
2023-11-12;002;6500.0
2023-11-13;005;3863.75
2023-11-13;001;17710.65
2023-11-13;002;95576.0
2023-11-14;001;18340.0
2023-11-14;002;27070.0
2023-11-16;001;54443.05
2023-11-16;002;246860.5
2023-11-17;002;192604.81
2023-11-17;001;7445.04
2023-11-18;002;9428.3
2023-11-18;001;25841.35
2023-11-19;002;3632.2
2023-11-19;001;8075.55
2023-11-20;002;230425.0
2023-11-20;001;8408.8
2023-11-21;001;21411.36
2023-11-21;002;198875.49
2023-11-22;001;17559.3
2023-11-22;002;6086.0
2023-11-23;002;9660.0
2023-11-23;001;3905.3
2023-11-23;008;5120.0
2023-11-24;001;4526.0
2023-11-24;002;16868.0
2023-11-25;002;16455.0
2023-11-25;001;15676.75
2023-11-26;002;135.0
