data;Empresa;vendas
2024-11-25;OF;3068.8
2024-12-02;OF;5499.4
2024-12-03;OF;1889.85
2024-12-21;OF;5810.3
2024-12-26;OF;11617.73
2025-01-02;OF;2100.3
2025-01-04;OF;3350.3
2025-01-05;OF;1250.3
2025-01-06;OF;1660.6
2025-01-10;OF;25864.05
2025-01-13;OF;5831.2
2025-01-14;OF;4470.3
2025-01-15;OF;3544.3
2025-01-17;OF;23116.2
2025-01-19;OF;4396.48
2025-01-20;OF;9816.2
2025-01-21;OF;12947.0
2025-01-22;OF;850.3
2025-01-23;OF;263.4
2025-01-24;OF;1320.3
2025-01-25;OF;5392.6
2025-01-26;OF;2066.6
2025-01-27;OF;8350.9
2025-01-28;OF;13827.77
2025-01-29;OF;13201.9
2025-01-30;OF;11092.4
2025-01-31;OF;8696.6
2025-02-01;MRB;9690.0
2025-02-01;OF;6938.8
2025-02-02;OF;11091.5
2025-02-02;MRB;3340.0
2025-02-03;ZBT;31220.0
2025-02-03;OF;35420.4
2025-02-03;MRB;2840.0
2025-02-04;OF;68489.95
2025-02-05;MRB;2392.5
2025-02-05;OF;51011.76
2025-02-06;MRB;-2980.0
2025-02-06;AF;650.0
2025-02-06;OF;66596.15
2025-02-06;ZBT;-1360.0
2025-02-06;RIO;4190.0
2025-02-07;OF;30870.6
2025-02-07;RIO;1830.0
2025-02-07;MRB;1080.0
2025-02-08;AF;1980.0
2025-02-08;OF;16428.3
2025-02-09;AF;931.0
2025-02-09;OF;1628.5
2025-02-09;MRB;1300.0
2025-02-10;OF;27781.35
2025-02-10;MRB;1300.0
2025-02-11;AF;3050.45
2025-02-11;OF;33976.55
2025-02-12;MRB;18543.25
2025-02-12;OF;21966.15
2025-02-12;ZBT;2330.0
2025-02-13;ZEC;14364.0
2025-02-13;OF;42537.9
2025-02-13;MRB;7926.9
2025-02-13;RIO;268.0
2025-02-13;ZBT;-1881.0
2025-02-14;ZEC;1630.95
2025-02-14;AF;4146.0
2025-02-14;OF;79553.9
2025-02-14;MRB;567.0
2025-02-14;ZBT;3846.55
2025-02-15;AF;4599.0
2025-02-15;MRB;1845.0
2025-02-15;OF;47429.92
2025-02-16;MRB;1800.0
2025-02-16;OF;19964.25
2025-02-17;OF;46727.58
