metrica;valor;forecast_horizon
MAPE;12.888062870133217;30
MAE;0.1449563017967005;30
RMSE;0.289426748676119;30
sMAPE;84.75249929008802;30
Bias;0.0495906361349999;30
R2;0.4692813273965547;30
forecast_horizon;30.0;30
MAPE;16.75448173117318;60
MAE;0.1884431923357107;60
RMSE;0.3762547732789548;60
sMAPE;110.17824907711444;60
Bias;0.0495906361349999;60
R2;0.3284969291775882;60
forecast_horizon;60.0;60
MAPE;20.620900592213147;90
MAE;0.2319300828747209;90
RMSE;0.4630827978817905;90
sMAPE;135.60399886414083;90
Bias;0.0495906361349999;90
R2;0.1877125309586219;90
forecast_horizon;90.0;90
