data;vendas_previstas;forecast_horizon
2025-10-07;34303.283056014596;60
2025-10-08;33296.33192048287;60
2025-10-09;33643.96063375551;60
2025-10-10;22855.39998588519;60
2025-10-11;0.0;60
2025-10-12;0.0;60
2025-10-13;22812.36248543926;60
2025-10-14;58584.22369594663;60
2025-10-15;107394.05523892847;60
2025-10-16;29720.74550098383;60
2025-10-17;13843.029055936844;60
2025-10-18;0.0;60
2025-10-19;0.0;60
2025-10-20;17023.653291739938;60
2025-10-21;103146.30779349974;60
2025-10-22;59953.840017203285;60
2025-10-23;43457.23358208004;60
2025-10-24;1736.4522680813884;60
2025-10-25;0.0;60
2025-10-26;0.0;60
2025-10-27;250358.5568331832;60
2025-10-28;42494.72098005158;60
2025-10-29;40429.918046336956;60
2025-10-30;44827.619578754086;60
2025-10-31;12847.419789376028;60
2025-11-01;0.0;60
2025-11-02;0.0;60
2025-11-03;47937.306368631405;60
2025-11-04;65407.71563077818;60
2025-11-05;57383.42957172837;60
2025-11-06;86556.70310032027;60
2025-11-07;31568.474047275206;60
2025-11-08;0.0;60
2025-11-09;0.0;60
2025-11-10;106399.80905097295;60
2025-11-11;95365.17277233173;60
2025-11-12;51167.65858142353;60
2025-11-13;41140.39313835849;60
2025-11-14;52897.50810727182;60
2025-11-15;0.0;60
2025-11-16;0.0;60
2025-11-17;46686.27273849334;60
2025-11-18;29414.727093588874;60
2025-11-19;35623.87588460612;60
2025-11-20;22244.426568452775;60
2025-11-21;20871.701254442713;60
2025-11-22;0.0;60
2025-11-23;0.0;60
2025-11-24;31950.64895800748;60
2025-11-25;59192.833758271205;60
2025-11-26;38960.08243159119;60
2025-11-27;119546.61071300365;60
2025-11-28;9306.207480190722;60
2025-11-29;0.0;60
2025-11-30;0.0;60
2025-12-01;81600.37596053597;60
2025-12-02;46489.55276923883;60
2025-12-03;27509.43750544569;60
2025-12-04;18681.849393101733;60
2025-12-05;28862.10562219937;60
