data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-03;12649.04;historico;0;12649.04
2025-09-04;223700.51;historico;0;236349.55000000002
2025-09-05;278639.93;historico;0;514989.48
2025-09-06;0.0;historico;0;514989.48
2025-09-07;0.0;historico;0;514989.48
2025-09-08;31805.37;historico;0;546794.85
2025-09-09;423253.38;historico;0;970048.23
2025-09-10;89686.53;historico;0;1059734.76
2025-09-11;70659.78;historico;0;1130394.54
2025-09-12;299511.73;historico;0;1429906.27
2025-09-13;79298.18;historico;0;1509204.45
2025-09-14;13007.79;historico;0;1522212.24
2025-09-15;0.0;historico;0;1522212.24
2025-09-16;243523.22;historico;0;1765735.46
2025-09-17;148756.37;historico;0;1914491.83
2025-09-18;130071.25;historico;0;2044563.08
2025-09-19;124143.16;historico;0;2168706.24
2025-09-20;0.0;historico;0;2168706.24
2025-09-21;0.0;historico;0;2168706.24
2025-09-22;321856.06;historico;0;2490562.3000000003
2025-09-23;18935.51;historico;0;2509497.81
2025-09-24;0.0;historico;0;2509497.81
2025-09-25;52859.49;historico;0;2562357.3000000003
2025-09-26;254921.46;historico;0;2817278.7600000002
2025-09-27;277078.19;historico;0;3094356.95
2025-09-28;0.0;historico;0;3094356.95
2025-09-29;0.0;historico;0;3094356.95
2025-09-30;174440.21;historico;0;3268797.16
2025-10-01;2369.87;historico;0;3271167.0300000003
2025-10-02;55751.24;historico;0;3326918.2700000005
2025-10-03;970.36;historico;0;3327888.6300000004
2025-10-04;0.0;previsao;30;3327888.6300000004
2025-10-04;0.0;previsao;90;3327888.6300000004
2025-10-04;0.0;previsao;60;3327888.6300000004
2025-10-05;0.0;previsao;30;3327888.6300000004
2025-10-05;0.0;previsao;90;3327888.6300000004
2025-10-05;0.0;previsao;60;3327888.6300000004
2025-10-06;104737.0212290684;previsao;90;3432625.6512290686
2025-10-06;104737.0212290684;previsao;30;3432625.6512290686
2025-10-06;104737.0212290684;previsao;60;3432625.6512290686
2025-10-07;43752.5671486653;previsao;60;3476378.218377734
2025-10-07;43752.5671486653;previsao;30;3476378.218377734
2025-10-07;43752.5671486653;previsao;90;3476378.218377734
2025-10-08;42828.8289497745;previsao;60;3519207.0473275087
2025-10-08;42828.8289497745;previsao;90;3519207.0473275087
2025-10-08;42828.8289497745;previsao;30;3519207.0473275087
2025-10-09;35055.56920974033;previsao;30;3554262.616537249
2025-10-09;35055.56920974033;previsao;60;3554262.616537249
2025-10-09;35055.56920974033;previsao;90;3554262.616537249
2025-10-10;17693.617962719723;previsao;60;3571956.234499969
2025-10-10;17693.617962719723;previsao;90;3571956.234499969
2025-10-10;17693.617962719723;previsao;30;3571956.234499969
2025-10-11;0.0;previsao;60;3571956.234499969
2025-10-11;0.0;previsao;30;3571956.234499969
2025-10-11;0.0;previsao;90;3571956.234499969
2025-10-12;0.0;previsao;90;3571956.234499969
2025-10-12;0.0;previsao;60;3571956.234499969
2025-10-12;0.0;previsao;30;3571956.234499969
2025-10-13;36622.90698153892;previsao;90;3608579.141481508
