data;vendas_historicas
2024-01-16;0.0
2024-01-17;76351.28
2024-01-18;0.0
2024-01-19;0.0
2024-01-20;0.0
2024-01-21;0.0
2024-01-22;38306.18
2024-01-23;51412.38
2024-01-24;80403.46
2024-01-25;74527.98
2024-01-26;69834.85
2024-01-27;0.0
2024-01-28;0.0
2024-01-29;5633.17
2024-01-30;199185.69
2024-01-31;2629.48
2024-02-01;69846.62
2024-02-02;79554.34
2024-02-03;41139.9
2024-02-04;0.0
2024-02-05;0.0
2024-02-06;417.96
2024-02-07;0.0
2024-02-08;8146.61
2024-02-09;0.0
2024-02-10;0.0
2024-02-11;0.0
2024-02-12;0.0
2024-02-13;174556.2
2024-02-14;104508.32
2024-02-15;50109.64
2024-02-16;0.0
2024-02-17;0.0
2024-02-18;0.0
2024-02-19;3910.66
2024-02-20;2093.0
2024-02-21;33861.21
2024-02-22;25183.62
2024-02-23;1391.04
2024-02-24;0.0
2024-02-25;0.0
2024-02-26;71535.52
2024-02-27;332524.03
2024-02-28;889251.53
2024-02-29;108397.7
2024-03-01;599.85
2024-03-02;0.0
2024-03-03;0.0
2024-03-04;126100.8
2024-03-05;136779.77
2024-03-06;0.0
2024-03-07;44444.13
2024-03-08;216159.96
2024-03-09;0.0
2024-03-10;0.0
2024-03-11;62260.74
2024-03-12;0.0
2024-03-13;66589.78
2024-03-14;175193.61
2024-03-15;122578.8
2024-03-16;18977.43
2024-03-17;0.0
2024-03-18;301.89
2024-03-19;0.0
2024-03-20;853.62
2024-03-21;119408.82
2024-03-22;40709.39
2024-03-23;0.0
2024-03-24;0.0
2024-03-25;3978.21
2024-03-26;347737.47
2024-03-27;377223.7
2024-03-28;81031.44
2024-03-29;0.0
2024-03-30;0.0
2024-03-31;0.0
2024-04-01;284174.4
2024-04-02;309035.75
2024-04-03;63673.49
2024-04-04;166631.83
2024-04-05;401432.64
2024-04-06;0.0
2024-04-07;0.0
2024-04-08;2171.41
2024-04-09;1383.35
2024-04-10;82517.08
2024-04-11;70265.12
2024-04-12;0.0
2024-04-13;0.0
2024-04-14;0.0
2024-04-15;198653.0
2024-04-16;231413.47
2024-04-17;243364.95
2024-04-18;155413.34
2024-04-19;153884.99
2024-04-20;0.0
2024-04-21;0.0
2024-04-22;263560.37
2024-04-23;459.23
2024-04-24;562847.49
2024-04-25;74797.66
2024-04-26;84652.03
2024-04-27;0.0
2024-04-28;0.0
2024-04-29;498872.63
2024-04-30;449502.7
2024-05-01;173735.88
2024-05-02;218769.6
2024-05-03;555021.6
2024-05-04;0.0
2024-05-05;0.0
2024-05-06;357571.46
2024-05-07;108160.0
2024-05-08;0.0
2024-05-09;6936.13
2024-05-10;0.0
2024-05-11;0.0
2024-05-12;0.0
2024-05-13;35018.04
2024-05-14;34466.12
2024-05-15;96552.43
2024-05-16;7322.75
2024-05-17;2842.11
2024-05-18;0.0
2024-05-19;0.0
2024-05-20;0.0
2024-05-21;87134.35
2024-05-22;85472.48
2024-05-23;898.32
2024-05-24;22698.34
2024-05-25;0.0
2024-05-26;0.0
2024-05-27;175325.15
2024-05-28;18338.11
2024-05-29;79935.61
2024-05-30;0.0
2024-05-31;0.0
2024-06-01;0.0
2024-06-02;0.0
2024-06-03;0.0
2024-06-04;0.0
2024-06-05;23330.75
2024-06-06;23332.07
2024-06-07;39692.52
2024-06-08;0.0
2024-06-09;0.0
2024-06-10;49751.58
2024-06-11;39504.76
2024-06-12;190.96
2024-06-13;88606.92
2024-06-14;37991.97
2024-06-15;0.0
2024-06-16;0.0
2024-06-17;64011.63
2024-06-18;110303.07
2024-06-19;28120.54
2024-06-20;20783.23
2024-06-21;109490.06
2024-06-22;0.0
2024-06-23;0.0
2024-06-24;78780.96
2024-06-25;0.0
2024-06-26;0.0
2024-06-27;67340.81
2024-06-28;178137.67
2024-06-29;0.0
2024-06-30;0.0
2024-07-01;4216.85
2024-07-02;24909.63
2024-07-03;34527.26
2024-07-04;186803.89
2024-07-05;123634.8
2024-07-06;0.0
2024-07-07;0.0
2024-07-08;48644.63
