data;vendas_forecast;Empresa;Database
2025-05-26;19716.528939653137;GER;005ATS_ERP_BI
2025-05-27;3842.06027151616;GER;005ATS_ERP_BI
2025-05-28;100205.42804297473;GER;005ATS_ERP_BI
2025-05-29;36414.40405656867;GER;005ATS_ERP_BI
2025-05-30;12289.069822924173;GER;005ATS_ERP_BI
2025-05-31;17450.040136512744;GER;005ATS_ERP_BI
2025-06-01;125918.8053033978;GER;005ATS_ERP_BI
2025-06-02;96879.95175511276;GER;005ATS_ERP_BI
2025-06-03;5711.161521022159;GER;005ATS_ERP_BI
2025-06-04;20488.339748570666;GER;005ATS_ERP_BI
2025-06-05;35713.11048741862;GER;005ATS_ERP_BI
2025-06-06;129328.92063696079;GER;005ATS_ERP_BI
2025-06-07;21576.63952944967;GER;005ATS_ERP_BI
2025-06-08;12473.114308155158;GER;005ATS_ERP_BI
2025-06-09;28675.707606874763;GER;005ATS_ERP_BI
2025-06-10;78970.27411511786;GER;005ATS_ERP_BI
2025-06-11;23958.108011378485;GER;005ATS_ERP_BI
2025-06-12;13861.399601128804;GER;005ATS_ERP_BI
2025-06-13;26781.412949455866;GER;005ATS_ERP_BI
2025-06-14;30821.088158669867;GER;005ATS_ERP_BI
2025-06-15;605.9356384397341;GER;005ATS_ERP_BI
2025-06-16;5483.416456165924;GER;005ATS_ERP_BI
2025-06-17;9449.034476897014;GER;005ATS_ERP_BI
2025-06-18;459.99353134624545;GER;005ATS_ERP_BI
2025-06-19;2152.088857078947;GER;005ATS_ERP_BI
2025-06-20;2358.7706918909344;GER;005ATS_ERP_BI
2025-06-21;38042.113854519084;GER;005ATS_ERP_BI
2025-06-22;67092.0519647223;GER;005ATS_ERP_BI
2025-06-23;52291.19134942449;GER;005ATS_ERP_BI
2025-06-24;84234.41741178551;GER;005ATS_ERP_BI
