data;volume_historico
2024-01-16;0.0
2024-01-17;114.0
2024-01-18;
2024-01-19;-116.0
2024-01-20;
2024-01-21;
2024-01-22;168.0
2024-01-23;160.0
2024-01-24;195.0
2024-01-25;277.0
2024-01-26;357.0
2024-01-27;
2024-01-28;
2024-01-29;33.0
2024-01-30;411.0
2024-01-31;6.0
2024-02-01;195.0
2024-02-02;521.0
2024-02-03;241.0
2024-02-04;
2024-02-05;-25.0
2024-02-06;1.0
2024-02-07;-1.0
2024-02-08;19.0
2024-02-09;
2024-02-10;
2024-02-11;
2024-02-12;
2024-02-13;591.0
2024-02-14;427.0
2024-02-15;136.0
2024-02-16;
2024-02-17;
2024-02-18;
2024-02-19;11.0
2024-02-20;2.0
2024-02-21;63.0
2024-02-22;17.0
2024-02-23;2.0
2024-02-24;
2024-02-25;
2024-02-26;239.0
2024-02-27;995.0999999999998
2024-02-28;995.0999999999998
2024-02-29;312.0
2024-03-01;3.0
2024-03-02;
2024-03-03;
2024-03-04;387.0
2024-03-05;576.0
2024-03-06;
2024-03-07;131.0
2024-03-08;922.0
2024-03-09;
2024-03-10;
2024-03-11;151.0
2024-03-12;-61.0
2024-03-13;226.0
2024-03-14;749.0
2024-03-15;296.0
2024-03-16;32.0
2024-03-17;
2024-03-18;1.0
2024-03-19;
2024-03-20;-1.0
2024-03-21;392.0
2024-03-22;128.0
2024-03-23;
2024-03-24;
2024-03-25;10.0
2024-03-26;995.0999999999998
2024-03-27;995.0999999999998
2024-03-28;183.0
2024-03-29;
2024-03-30;
2024-03-31;
2024-04-01;719.0
2024-04-02;995.0999999999998
2024-04-03;104.0
2024-04-04;458.0
2024-04-05;878.0
2024-04-06;
2024-04-07;
2024-04-08;11.0
2024-04-09;4.0
2024-04-10;152.0
2024-04-11;140.0
2024-04-12;
2024-04-13;
2024-04-14;
2024-04-15;351.0
2024-04-16;668.0
2024-04-17;471.0
2024-04-18;542.0
2024-04-19;280.0
2024-04-20;
2024-04-21;
2024-04-22;681.0
2024-04-23;1.0
2024-04-24;995.0999999999998
2024-04-25;206.0
2024-04-26;208.0
2024-04-27;
2024-04-28;
2024-04-29;995.0999999999998
2024-04-30;995.0999999999998
2024-05-01;387.0
2024-05-02;544.0
2024-05-03;995.0999999999998
2024-05-04;
2024-05-05;
2024-05-06;637.0
2024-05-07;220.0
2024-05-08;0.0
2024-05-09;34.0
2024-05-10;
2024-05-11;
2024-05-12;
2024-05-13;121.0
2024-05-14;61.0
2024-05-15;995.0999999999998
2024-05-16;23.0
2024-05-17;23.0
2024-05-18;
2024-05-19;
2024-05-20;-14.0
2024-05-21;279.0
2024-05-22;173.0
2024-05-23;2.0
2024-05-24;24.0
2024-05-25;
2024-05-26;
2024-05-27;577.0
2024-05-28;124.0
2024-05-29;200.0
2024-05-30;
2024-05-31;
2024-06-01;
2024-06-02;
2024-06-03;-12.0
2024-06-04;-76.0
2024-06-05;57.0
2024-06-06;81.0
2024-06-07;125.0
2024-06-08;
2024-06-09;
2024-06-10;140.0
2024-06-11;98.0
2024-06-12;1.0
2024-06-13;108.0
2024-06-14;79.0
2024-06-15;
2024-06-16;
2024-06-17;134.0
2024-06-18;370.0
2024-06-19;72.0
2024-06-20;56.0
2024-06-21;255.0
2024-06-22;
2024-06-23;
2024-06-24;191.0
2024-06-25;-17.0
2024-06-26;
2024-06-27;631.0
2024-06-28;995.0999999999998
2024-06-29;
2024-06-30;
2024-07-01;0.0
2024-07-02;70.0
2024-07-03;185.0
2024-07-04;602.0
2024-07-05;251.0
2024-07-06;
2024-07-07;
2024-07-08;350.0
2024-07-09;
2024-07-10;432.0
2024-07-11;39.0
2024-07-12;72.0
2024-07-13;
2024-07-14;
2024-07-15;995.0999999999998
2024-07-16;101.0
2024-07-17;247.0
2024-07-18;72.0
2024-07-19;
2024-07-20;
2024-07-21;
2024-07-22;-35.0
2024-07-23;345.0
2024-07-24;202.0
2024-07-25;5.0
2024-07-26;
2024-07-27;
2024-07-28;
2024-07-29;509.0
2024-07-30;125.0
2024-07-31;490.0
2024-08-01;58.0
2024-08-02;141.0
2024-08-03;64.0
2024-08-04;
2024-08-05;50.0
2024-08-06;19.0
2024-08-07;42.0
2024-08-08;59.0
2024-08-09;6.0
2024-08-10;
2024-08-11;
2024-08-12;-172.0
2024-08-13;120.0
2024-08-14;88.0
2024-08-15;21.0
2024-08-16;-18.0
2024-08-17;
2024-08-18;
2024-08-19;289.0
2024-08-20;194.0
2024-08-21;87.0
2024-08-22;244.0
2024-08-23;249.0
2024-08-24;
2024-08-25;
2024-08-26;38.0
2024-08-27;2.0
2024-08-28;344.0
2024-08-29;937.0
2024-08-30;995.0999999999998
2024-08-31;
2024-09-01;
2024-09-02;150.0
2024-09-03;-69.0
2024-09-04;5.0
2024-09-05;247.0
2024-09-06;2.0
2024-09-07;
2024-09-08;
2024-09-09;1.0
2024-09-10;4.0
2024-09-11;21.0
2024-09-12;155.0
2024-09-13;235.0
2024-09-14;7.0
2024-09-15;
2024-09-16;11.0
2024-09-17;484.0
2024-09-18;138.0
2024-09-19;-12.0
2024-09-20;169.0
2024-09-21;
2024-09-22;
2024-09-23;558.0
2024-09-24;-192.0
2024-09-25;180.0
2024-09-26;995.0999999999998
2024-09-27;403.0
2024-09-28;
2024-09-29;
2024-09-30;995.0999999999998
2024-10-01;
2024-10-02;62.0
2024-10-03;665.0
2024-10-04;14.0
2024-10-05;
2024-10-06;
2024-10-07;324.0
2024-10-08;141.0
2024-10-09;169.0
2024-10-10;772.0
2024-10-11;995.0999999999998
2024-10-12;
2024-10-13;
2024-10-14;-24.0
2024-10-15;455.0
2024-10-16;609.0
2024-10-17;-1.0
2024-10-18;119.0
2024-10-19;
2024-10-20;
2024-10-21;865.0
2024-10-22;448.0
2024-10-23;604.0
2024-10-24;300.0
2024-10-25;95.0
2024-10-26;
2024-10-27;
2024-10-28;41.0
2024-10-29;246.0
2024-10-30;174.0
2024-10-31;168.0
2024-11-01;-51.0
2024-11-02;
2024-11-03;
2024-11-04;661.0
2024-11-05;29.0
2024-11-06;89.0
2024-11-07;241.0
2024-11-08;99.0
2024-11-09;
2024-11-10;
2024-11-11;109.0
2024-11-12;417.0
2024-11-13;333.0
2024-11-14;313.0
2024-11-15;
2024-11-16;
2024-11-17;
2024-11-18;
2024-11-19;686.0
2024-11-20;167.0
2024-11-21;96.0
2024-11-22;290.0
2024-11-23;1.0
2024-11-24;
2024-11-25;967.0
2024-11-26;750.0
2024-11-27;216.0
2024-11-28;261.0
2024-11-29;15.0
2024-11-30;
2024-12-01;
2024-12-02;249.0
2024-12-03;409.0
2024-12-04;206.0
2024-12-05;820.0
2024-12-06;
2024-12-07;
2024-12-08;
2024-12-09;421.0
2024-12-10;699.0
2024-12-11;-2.0
2024-12-12;108.0
2024-12-13;406.0
2024-12-14;
2024-12-15;
2024-12-16;3.0
2024-12-17;44.0
2024-12-18;6.0
2024-12-19;
2024-12-20;4.0
2024-12-21;
2024-12-22;
2024-12-23;
2024-12-24;
2024-12-25;
2024-12-26;
2024-12-27;
2024-12-28;
2024-12-29;
2024-12-30;
2024-12-31;
2025-01-01;
2025-01-02;
2025-01-03;
2025-01-04;
2025-01-05;
2025-01-06;
2025-01-07;
2025-01-08;56.0
2025-01-09;3.0
2025-01-10;1.0
2025-01-11;
2025-01-12;
2025-01-13;10.0
2025-01-14;3.0
2025-01-15;
2025-01-16;-7.0
2025-01-17;123.0
2025-01-18;
2025-01-19;
2025-01-20;265.0
2025-01-21;46.0
2025-01-22;284.0
2025-01-23;4.0
2025-01-24;
2025-01-25;
2025-01-26;
2025-01-27;43.0
2025-01-28;362.0
2025-01-29;128.0
2025-01-30;179.0
2025-01-31;
2025-02-01;
2025-02-02;
2025-02-03;39.0
2025-02-04;10.0
2025-02-05;796.0
2025-02-06;370.0
2025-02-07;20.0
2025-02-08;1.0
2025-02-09;
2025-02-10;7.0
2025-02-11;348.0
2025-02-12;9.0
2025-02-13;80.0
2025-02-14;10.0
2025-02-15;
2025-02-16;
2025-02-17;285.0
2025-02-18;-15.0
2025-02-19;-60.0
2025-02-20;585.0
2025-02-21;-7.0
2025-02-22;
2025-02-23;
2025-02-24;-17.0
2025-02-25;107.0
2025-02-26;57.0
2025-02-27;995.0999999999998
2025-02-28;995.0999999999998
2025-03-01;
2025-03-02;
2025-03-03;
2025-03-04;
2025-03-05;317.0
2025-03-06;18.0
2025-03-07;2.0
2025-03-08;
2025-03-09;
2025-03-10;226.0
2025-03-11;283.0
2025-03-12;601.0
2025-03-13;-57.0
2025-03-14;-2.0
2025-03-15;
2025-03-16;
2025-03-17;2.0
2025-03-18;29.0
2025-03-19;446.0
2025-03-20;300.0
2025-03-21;69.0
2025-03-22;60.0
2025-03-23;
2025-03-24;995.0999999999998
2025-03-25;231.0
2025-03-26;969.0
2025-03-27;682.0
2025-03-28;328.0
2025-03-29;
2025-03-30;
2025-03-31;855.0
2025-04-01;451.0
2025-04-02;14.0
2025-04-03;164.0
2025-04-04;21.0
2025-04-05;
2025-04-06;
2025-04-07;441.0
2025-04-08;-72.0
2025-04-09;209.0
2025-04-10;91.0
2025-04-11;149.0
2025-04-12;
2025-04-13;
2025-04-14;313.0
2025-04-15;31.0
2025-04-16;31.0
2025-04-17;13.0
2025-04-18;
2025-04-19;
2025-04-20;
2025-04-21;
2025-04-22;990.0
2025-04-23;235.0
2025-04-24;
2025-04-25;
2025-04-26;
2025-04-27;
2025-04-28;-189.0
2025-04-29;116.0
2025-04-30;883.0
2025-05-01;-57.0
2025-05-02;
2025-05-03;
2025-05-04;
2025-05-05;317.0
2025-05-06;0.0
2025-05-07;319.0
2025-05-08;995.0999999999998
2025-05-09;248.0
2025-05-10;
2025-05-11;
2025-05-12;-13.0
2025-05-13;131.0
2025-05-14;249.0
2025-05-15;264.0
2025-05-16;40.0
2025-05-17;
2025-05-18;
2025-05-19;358.0
2025-05-20;12.0
2025-05-21;63.0
2025-05-22;7.0
2025-05-23;44.0
2025-05-24;
2025-05-25;
2025-05-26;215.0
2025-05-27;
2025-05-28;84.0
2025-05-29;126.0
2025-05-30;14.0
2025-05-31;
2025-06-01;
2025-06-02;28.0
2025-06-03;-94.0
2025-06-04;-5.0
2025-06-05;263.0
2025-06-06;
2025-06-07;
2025-06-08;
2025-06-09;33.0
2025-06-10;35.0
2025-06-11;39.0
2025-06-12;121.0
2025-06-13;146.0
2025-06-14;
2025-06-15;
2025-06-16;72.0
2025-06-17;110.0
2025-06-18;448.0
2025-06-19;
2025-06-20;
2025-06-21;
2025-06-22;
2025-06-23;47.0
2025-06-24;995.0999999999998
2025-06-25;93.0
2025-06-26;30.0
2025-06-27;1.0
2025-06-28;
2025-06-29;
2025-06-30;162.0
2025-07-01;53.0
2025-07-02;282.0
2025-07-03;257.0
2025-07-04;11.0
2025-07-05;0.0
2025-07-06;
2025-07-07;3.0
2025-07-08;32.0
2025-07-09;778.0
2025-07-10;11.0
2025-07-11;
2025-07-12;
2025-07-13;
2025-07-14;
2025-07-15;45.0
2025-07-16;863.0
2025-07-17;13.0
2025-07-18;-91.0
2025-07-19;
2025-07-20;
2025-07-21;266.0
2025-07-22;117.0
2025-07-23;55.0
2025-07-24;124.0
2025-07-25;2.0
2025-07-26;
2025-07-27;
2025-07-28;65.0
2025-07-29;64.0
2025-07-30;
2025-07-31;1.0
2025-08-01;38.0
2025-08-02;
2025-08-03;
2025-08-04;980.0
2025-08-05;6.0
2025-08-06;634.0
2025-08-07;165.0
2025-08-08;25.0
2025-08-09;
2025-08-10;
2025-08-11;61.0
