metrica;valor;forecast_horizon
MAPE;3.9274556537319696;30
MAE;0.0474194977593646;30
RMSE;0.1258620182833149;30
sMAPE;7.741700702129228;30
Bias;0.0085290702096911;30
R2;0.1819125412760376;30
forecast_horizon;30.0;30
MAPE;5.1056923498515605;60
MAE;0.0616453470871739;60
RMSE;0.1636206237683094;60
sMAPE;10.064210912767996;60
Bias;0.0085290702096911;60
R2;0.1273387788932263;60
forecast_horizon;60.0;60
MAPE;6.283929045971152;90
MAE;0.0758711964149833;90
RMSE;0.2013792292533039;90
sMAPE;12.386721123406764;90
Bias;0.0085290702096911;90
R2;0.072765016510415;90
forecast_horizon;90.0;90
