data;vendas_previstas;forecast_horizon
2025-09-28;6347.699125603103;30
2025-09-29;35892.33243601158;30
2025-09-30;36222.228959109234;30
2025-10-01;30008.481730561292;30
2025-10-02;50919.34699419331;30
2025-10-03;43796.561157269956;30
2025-10-04;33616.489562473296;30
2025-10-05;8886.085529699409;30
2025-10-06;50884.66116953146;30
2025-10-07;56725.18591168539;30
2025-10-08;57729.83836000982;30
2025-10-09;58041.79462008539;30
2025-10-10;43044.949320828484;30
2025-10-11;43782.38937332645;30
2025-10-12;8849.904915924506;30
2025-10-13;75884.36885955847;30
2025-10-14;50291.27956320203;30
2025-10-15;51988.81438504468;30
2025-10-16;63386.49045771061;30
2025-10-17;54571.05187200153;30
2025-10-18;32077.413801826133;30
2025-10-19;10341.82724603462;30
2025-10-20;55050.91003168903;30
2025-10-21;32788.33661367841;30
2025-10-22;44505.96528680472;30
2025-10-23;54369.84132824687;30
2025-10-24;65367.926865839145;30
2025-10-25;47728.89175495519;30
2025-10-26;8927.276621760651;30
2025-10-27;53685.564087806284;30
