data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-03;29366.9;historico;0;29366.9
2025-09-04;59275.54;historico;0;88642.44
2025-09-05;64366.97;historico;0;153009.41
2025-09-06;18027.75;historico;0;171037.16
2025-09-07;5876.0;historico;0;176913.16
2025-09-08;39156.51;historico;0;216069.67
2025-09-09;41705.5;historico;0;257775.17
2025-09-10;55928.11;historico;0;313703.28
2025-09-11;23501.89;historico;0;337205.17000000004
2025-09-12;0.0;historico;0;337205.17000000004
2025-09-13;68868.96;historico;0;406074.13000000006
2025-09-14;17627.05;historico;0;423701.18000000005
2025-09-15;40308.91;historico;0;464010.0900000001
2025-09-16;139094.55;historico;0;603104.6400000001
2025-09-17;434033.71;historico;0;1037138.3500000001
2025-09-18;52617.38;historico;0;1089755.73
2025-09-19;42522.43;historico;0;1132278.16
2025-09-20;35447.16;historico;0;1167725.3199999998
2025-09-21;10684.2;historico;0;1178409.5199999998
2025-09-22;48581.91;historico;0;1226991.4299999997
2025-09-23;25295.61;historico;0;1252287.0399999998
2025-09-24;8780.17;historico;0;1261067.2099999997
2025-09-25;165756.3;historico;0;1426823.5099999998
2025-09-26;23704.65;historico;0;1450528.1599999997
2025-09-27;20680.15;historico;0;1471208.3099999996
2025-09-28;19483.65;historico;0;1490691.9599999995
2025-09-29;83851.86;historico;0;1574543.8199999996
2025-09-30;125640.91;historico;0;1700184.7299999995
2025-10-01;10088.4;historico;0;1710273.1299999994
2025-10-02;22278.14;historico;0;1732551.2699999993
2025-10-03;34240.6;historico;0;1766791.8699999994
2025-10-04;40534.1157485732;previsao;30;1807325.9857485725
2025-10-04;40534.1157485732;previsao;90;1807325.9857485725
2025-10-04;40534.1157485732;previsao;60;1807325.9857485725
2025-10-05;9688.531029783497;previsao;30;1817014.516778356
2025-10-05;9688.531029783497;previsao;90;1817014.516778356
2025-10-05;9688.531029783497;previsao;60;1817014.516778356
2025-10-06;59198.36036409695;previsao;90;1876212.8771424529
2025-10-06;59198.36036409695;previsao;30;1876212.8771424529
2025-10-06;59198.36036409695;previsao;60;1876212.8771424529
2025-10-07;52207.05154400096;previsao;60;1928419.9286864537
2025-10-07;52207.05154400096;previsao;30;1928419.9286864537
2025-10-07;52207.05154400096;previsao;90;1928419.9286864537
2025-10-08;55942.06611585521;previsao;60;1984361.994802309
2025-10-08;55942.06611585521;previsao;90;1984361.994802309
2025-10-08;55942.06611585521;previsao;30;1984361.994802309
2025-10-09;50829.44296370654;previsao;30;2035191.4377660155
2025-10-09;50829.44296370654;previsao;60;2035191.4377660155
2025-10-09;50829.44296370654;previsao;90;2035191.4377660155
2025-10-10;54035.83790501265;previsao;60;2089227.275671028
2025-10-10;54035.83790501265;previsao;90;2089227.275671028
2025-10-10;54035.83790501265;previsao;30;2089227.275671028
2025-10-11;43988.747658596025;previsao;60;2133216.023329624
2025-10-11;43988.747658596025;previsao;30;2133216.023329624
2025-10-11;43988.747658596025;previsao;90;2133216.023329624
2025-10-12;10245.173072471503;previsao;90;2143461.1964020953
2025-10-12;10245.173072471503;previsao;60;2143461.1964020953
2025-10-12;10245.173072471503;previsao;30;2143461.1964020953
2025-10-13;66786.60922958955;previsao;90;2210247.8056316846
2025-10-13;66786.60922958955;previsao;30;2210247.8056316846
2025-10-13;66786.60922958955;previsao;60;2210247.8056316846
2025-10-14;52983.01753019768;previsao;30;2263230.8231618823
2025-10-14;52983.01753019768;previsao;90;2263230.8231618823
2025-10-14;52983.01753019768;previsao;60;2263230.8231618823
2025-10-15;47055.87202412862;previsao;90;2310286.695186011
2025-10-15;47055.87202412862;previsao;30;2310286.695186011
2025-10-15;47055.87202412862;previsao;60;2310286.695186011
2025-10-16;68596.59314825342;previsao;90;2378883.2883342644
2025-10-16;68596.59314825342;previsao;30;2378883.2883342644
2025-10-16;68596.59314825342;previsao;60;2378883.2883342644
2025-10-17;43437.77872725664;previsao;90;2422321.067061521
2025-10-17;43437.77872725664;previsao;60;2422321.067061521
2025-10-17;43437.77872725664;previsao;30;2422321.067061521
2025-10-18;33151.78906104932;previsao;30;2455472.8561225706
2025-10-18;33151.78906104932;previsao;60;2455472.8561225706
2025-10-18;33151.78906104932;previsao;90;2455472.8561225706
2025-10-19;9713.854795699506;previsao;60;2465186.71091827
2025-10-19;9713.854795699506;previsao;30;2465186.71091827
2025-10-19;9713.854795699506;previsao;90;2465186.71091827
2025-10-20;46595.47528467199;previsao;30;2511782.186202942
2025-10-20;46595.47528467199;previsao;60;2511782.186202942
2025-10-20;46595.47528467199;previsao;90;2511782.186202942
2025-10-21;32278.63336179613;previsao;30;2544060.819564738
2025-10-21;32278.63336179613;previsao;60;2544060.819564738
2025-10-21;32278.63336179613;previsao;90;2544060.819564738
2025-10-22;36531.88655033602;previsao;60;2580592.706115074
2025-10-22;36531.88655033602;previsao;90;2580592.706115074
2025-10-22;36531.88655033602;previsao;30;2580592.706115074
2025-10-23;51808.473545189045;previsao;30;2632401.179660263
2025-10-23;51808.473545189045;previsao;60;2632401.179660263
2025-10-23;51808.473545189045;previsao;90;2632401.179660263
2025-10-24;64900.32810848955;previsao;30;2697301.5077687525
2025-10-24;64900.32810848955;previsao;90;2697301.5077687525
2025-10-24;64900.32810848955;previsao;60;2697301.5077687525
2025-10-25;54531.281957515705;previsao;60;2751832.789726268
2025-10-25;54531.281957515705;previsao;90;2751832.789726268
2025-10-25;54531.281957515705;previsao;30;2751832.789726268
2025-10-26;7982.411178054709;previsao;90;2759815.200904323
2025-10-26;7982.411178054709;previsao;30;2759815.200904323
2025-10-26;7982.411178054709;previsao;60;2759815.200904323
2025-10-27;54330.35649966965;previsao;90;2814145.5574039924
2025-10-27;54330.35649966965;previsao;60;2814145.5574039924
2025-10-27;54330.35649966965;previsao;30;2814145.5574039924
2025-10-28;48402.52583748034;previsao;90;2862548.083241473
2025-10-28;48402.52583748034;previsao;60;2862548.083241473
2025-10-28;48402.52583748034;previsao;30;2862548.083241473
2025-10-29;29768.089626559617;previsao;60;2892316.1728680325
2025-10-29;29768.089626559617;previsao;30;2892316.1728680325
2025-10-29;29768.089626559617;previsao;90;2892316.1728680325
2025-10-30;53823.457039449175;previsao;30;2946139.629907482
2025-10-30;53823.457039449175;previsao;60;2946139.629907482
2025-10-30;53823.457039449175;previsao;90;2946139.629907482
2025-10-31;42626.94010276221;previsao;60;2988766.570010244
2025-10-31;42626.94010276221;previsao;90;2988766.570010244
2025-10-31;42626.94010276221;previsao;30;2988766.570010244
2025-11-01;35466.06509890324;previsao;30;3024232.635109147
2025-11-01;35466.06509890324;previsao;90;3024232.635109147
2025-11-01;35466.06509890324;previsao;60;3024232.635109147
2025-11-02;11630.259161293296;previsao;90;3035862.8942704406
2025-11-02;11630.259161293296;previsao;60;3035862.8942704406
2025-11-02;11630.259161293296;previsao;30;3035862.8942704406
2025-11-03;40985.71487690887;previsao;90;3076848.6091473494
2025-11-03;40985.71487690887;previsao;60;3076848.6091473494
2025-11-04;46158.78465247767;previsao;90;3123007.393799827
2025-11-04;46158.78465247767;previsao;60;3123007.393799827
2025-11-05;40663.88350664459;previsao;60;3163671.2773064715
2025-11-05;40663.88350664459;previsao;90;3163671.2773064715
2025-11-06;60304.546746344;previsao;60;3223975.8240528153
2025-11-06;60304.546746344;previsao;90;3223975.8240528153
2025-11-07;70640.48617890361;previsao;90;3294616.310231719
2025-11-07;70640.48617890361;previsao;60;3294616.310231719
2025-11-08;48856.3547391709;previsao;90;3343472.66497089
2025-11-08;48856.3547391709;previsao;60;3343472.66497089
2025-11-09;9666.690716551033;previsao;90;3353139.3556874413
2025-11-09;9666.690716551033;previsao;60;3353139.3556874413
2025-11-10;56971.43528512898;previsao;90;3410110.7909725704
2025-11-10;56971.43528512898;previsao;60;3410110.7909725704
2025-11-11;62516.442980814565;previsao;60;3472627.233953385
2025-11-11;62516.442980814565;previsao;90;3472627.233953385
2025-11-12;62554.14586087093;previsao;90;3535181.379814256
2025-11-12;62554.14586087093;previsao;60;3535181.379814256
2025-11-13;81965.36273704396;previsao;60;3617146.7425512997
2025-11-13;81965.36273704396;previsao;90;3617146.7425512997
2025-11-14;93778.37359328783;previsao;60;3710925.1161445878
2025-11-14;93778.37359328783;previsao;90;3710925.1161445878
2025-11-15;45110.1136728542;previsao;90;3756035.229817442
2025-11-15;45110.1136728542;previsao;60;3756035.229817442
2025-11-16;8474.075040026695;previsao;60;3764509.3048574687
2025-11-16;8474.075040026695;previsao;90;3764509.3048574687
2025-11-17;49472.872824843216;previsao;90;3813982.1776823117
2025-11-17;49472.872824843216;previsao;60;3813982.1776823117
2025-11-18;38543.24853936936;previsao;60;3852525.4262216813
2025-11-18;38543.24853936936;previsao;90;3852525.4262216813
2025-11-19;49347.1671575096;previsao;90;3901872.593379191
2025-11-19;49347.1671575096;previsao;60;3901872.593379191
2025-11-20;48238.99271334648;previsao;90;3950111.5860925377
2025-11-20;48238.99271334648;previsao;60;3950111.5860925377
2025-11-21;55946.65575605227;previsao;90;4006058.24184859
2025-11-21;55946.65575605227;previsao;60;4006058.24184859
2025-11-22;48218.24394785803;previsao;60;4054276.485796448
2025-11-22;48218.24394785803;previsao;90;4054276.485796448
