data;vendas_forecast;Empresa;Database
2025-05-04;726.7009259908025;001;005NO_ERP_BI
2025-05-05;863.9129747460465;001;005NO_ERP_BI
2025-05-06;729.0007427404261;001;005NO_ERP_BI
2025-05-07;951.3217940920506;001;005NO_ERP_BI
2025-05-08;2249.9274789878373;001;005NO_ERP_BI
2025-05-09;1320.1977582166294;001;005NO_ERP_BI
2025-05-10;3191.870788623214;001;005NO_ERP_BI
2025-05-11;4574.134528174692;001;005NO_ERP_BI
2025-05-12;3072.765829222494;001;005NO_ERP_BI
2025-05-13;3764.9020577750703;001;005NO_ERP_BI
2025-05-14;4653.66436421527;001;005NO_ERP_BI
2025-05-15;4688.865603516358;001;005NO_ERP_BI
2025-05-16;2947.158546798966;001;005NO_ERP_BI
2025-05-17;1891.2877133408977;001;005NO_ERP_BI
2025-05-18;3006.2914413443;001;005NO_ERP_BI
2025-05-19;3084.9352312488636;001;005NO_ERP_BI
2025-05-20;1326.2645411674675;001;005NO_ERP_BI
2025-05-21;3757.029108804877;001;005NO_ERP_BI
2025-05-22;3883.724531432877;001;005NO_ERP_BI
2025-05-23;2295.2113163103554;001;005NO_ERP_BI
2025-05-24;7166.867674909814;001;005NO_ERP_BI
2025-05-25;1968.4616513168257;001;005NO_ERP_BI
2025-05-26;3665.410333999746;001;005NO_ERP_BI
2025-05-27;3834.7265859106337;001;005NO_ERP_BI
2025-05-28;7992.4711784848905;001;005NO_ERP_BI
2025-05-29;6673.2703348774;001;005NO_ERP_BI
2025-05-30;2550.611354525995;001;005NO_ERP_BI
2025-05-31;972.103157886786;001;005NO_ERP_BI
2025-06-01;2146.919243942587;001;005NO_ERP_BI
2025-06-02;2523.8429742354924;001;005NO_ERP_BI
2025-05-05;7018.610680832317;003;005NO_ERP_BI
2025-05-06;15942.041269597705;003;005NO_ERP_BI
2025-05-07;26709.912370049664;003;005NO_ERP_BI
2025-05-08;25258.745796594976;003;005NO_ERP_BI
2025-05-09;989.5793674475718;003;005NO_ERP_BI
2025-05-10;3745.0119883716134;003;005NO_ERP_BI
2025-05-11;6245.117777269815;003;005NO_ERP_BI
2025-05-12;13055.200207274469;003;005NO_ERP_BI
2025-05-13;35425.20600178743;003;005NO_ERP_BI
2025-05-14;15574.76329224382;003;005NO_ERP_BI
2025-05-15;2794.9613873482954;003;005NO_ERP_BI
2025-05-16;10147.075610456119;003;005NO_ERP_BI
2025-05-17;13140.173754040927;003;005NO_ERP_BI
2025-05-18;14902.769063542404;003;005NO_ERP_BI
2025-05-19;7909.342282583024;003;005NO_ERP_BI
2025-05-20;10697.322675493175;003;005NO_ERP_BI
2025-05-21;5578.93795383784;003;005NO_ERP_BI
2025-05-22;13799.274613479447;003;005NO_ERP_BI
2025-05-23;11498.929905673707;003;005NO_ERP_BI
2025-05-24;32314.87763186992;003;005NO_ERP_BI
2025-05-25;10621.849908663087;003;005NO_ERP_BI
2025-05-26;57245.59426905249;003;005NO_ERP_BI
2025-05-27;51781.5430328276;003;005NO_ERP_BI
2025-05-28;11049.669306872722;003;005NO_ERP_BI
2025-05-29;9014.659736999514;003;005NO_ERP_BI
2025-05-30;6476.044624556952;003;005NO_ERP_BI
2025-05-31;5234.418817578707;003;005NO_ERP_BI
2025-06-01;38000.59038089496;003;005NO_ERP_BI
2025-06-02;19193.76249193506;003;005NO_ERP_BI
2025-06-03;4825.3092721331695;003;005NO_ERP_BI
2025-05-05;4677.314038818047;032;005NO_ERP_BI
2025-05-06;3998.996055030861;032;005NO_ERP_BI
2025-05-07;3489.3639411573677;032;005NO_ERP_BI
2025-05-08;3669.8865602756514;032;005NO_ERP_BI
2025-05-09;8796.049178739004;032;005NO_ERP_BI
2025-05-10;4538.000153323921;032;005NO_ERP_BI
2025-05-11;8076.315521554972;032;005NO_ERP_BI
2025-05-12;3636.2157136851038;032;005NO_ERP_BI
2025-05-13;6203.935421765001;032;005NO_ERP_BI
2025-05-14;8247.90171235398;032;005NO_ERP_BI
2025-05-15;4197.757286664622;032;005NO_ERP_BI
2025-05-16;6016.483298385523;032;005NO_ERP_BI
2025-05-17;2175.7502435720558;032;005NO_ERP_BI
2025-05-18;1524.6009947578116;032;005NO_ERP_BI
2025-05-19;4361.640844119248;032;005NO_ERP_BI
2025-05-20;1086.869514159298;032;005NO_ERP_BI
2025-05-21;2832.310855590483;032;005NO_ERP_BI
2025-05-22;4010.8007903128605;032;005NO_ERP_BI
2025-05-23;1634.5778520227254;032;005NO_ERP_BI
2025-05-24;3752.5614358153557;032;005NO_ERP_BI
2025-05-25;3339.963573039435;032;005NO_ERP_BI
2025-05-26;4131.380350858053;032;005NO_ERP_BI
2025-05-27;4455.737991767962;032;005NO_ERP_BI
2025-05-28;6933.905152733871;032;005NO_ERP_BI
2025-05-29;9423.030739471369;032;005NO_ERP_BI
2025-05-30;12938.439305428874;032;005NO_ERP_BI
2025-05-31;3530.558143106964;032;005NO_ERP_BI
2025-06-01;5069.910150172107;032;005NO_ERP_BI
2025-06-02;11373.315773531669;032;005NO_ERP_BI
2025-06-03;5245.356698324714;032;005NO_ERP_BI
2025-05-05;5153.692913254001;040;005NO_ERP_BI
2025-05-06;4705.32351162953;040;005NO_ERP_BI
2025-05-07;10352.70078804285;040;005NO_ERP_BI
2025-05-08;7523.026437603339;040;005NO_ERP_BI
2025-05-09;5869.817555792586;040;005NO_ERP_BI
2025-05-10;7408.969157481014;040;005NO_ERP_BI
2025-05-11;2928.6706426861274;040;005NO_ERP_BI
2025-05-12;3996.251483960787;040;005NO_ERP_BI
2025-05-13;5974.840971318265;040;005NO_ERP_BI
2025-05-14;6361.544195560904;040;005NO_ERP_BI
2025-05-15;6027.8434098242615;040;005NO_ERP_BI
2025-05-16;5485.457266280804;040;005NO_ERP_BI
2025-05-17;8874.751937636673;040;005NO_ERP_BI
2025-05-18;6047.369990099217;040;005NO_ERP_BI
2025-05-19;5182.44356973691;040;005NO_ERP_BI
2025-05-20;6356.22015380246;040;005NO_ERP_BI
2025-05-21;15420.249192746864;040;005NO_ERP_BI
2025-05-22;7490.795037748181;040;005NO_ERP_BI
2025-05-23;5571.938937277182;040;005NO_ERP_BI
2025-05-24;11405.240917148185;040;005NO_ERP_BI
2025-05-25;9507.985880303475;040;005NO_ERP_BI
2025-05-26;6953.99670474153;040;005NO_ERP_BI
2025-05-27;3341.954177905872;040;005NO_ERP_BI
2025-05-28;11761.123529907723;040;005NO_ERP_BI
2025-05-29;11642.093504336832;040;005NO_ERP_BI
2025-05-30;7760.324621969827;040;005NO_ERP_BI
2025-05-31;7366.149092607163;040;005NO_ERP_BI
2025-06-01;6141.057076239481;040;005NO_ERP_BI
2025-06-02;6343.6228914360045;040;005NO_ERP_BI
2025-06-03;4103.62005067191;040;005NO_ERP_BI
2025-05-04;2592.959006232096;052;005NO_ERP_BI
2025-05-05;1844.2225719682085;052;005NO_ERP_BI
2025-05-06;9774.772723769907;052;005NO_ERP_BI
2025-05-07;3084.7130295428296;052;005NO_ERP_BI
2025-05-08;650.8124326830226;052;005NO_ERP_BI
2025-05-09;3115.7637969598954;052;005NO_ERP_BI
2025-05-10;1396.0352731970916;052;005NO_ERP_BI
2025-05-11;2744.22640345438;052;005NO_ERP_BI
2025-05-12;2896.5160218188767;052;005NO_ERP_BI
2025-05-13;5870.95789235727;052;005NO_ERP_BI
2025-05-14;2516.6121581721827;052;005NO_ERP_BI
2025-05-15;1714.7700214266724;052;005NO_ERP_BI
2025-05-16;1818.6418525666215;052;005NO_ERP_BI
2025-05-17;1638.838836335288;052;005NO_ERP_BI
2025-05-18;4205.025978182573;052;005NO_ERP_BI
2025-05-19;858.9054706408253;052;005NO_ERP_BI
2025-05-20;2139.1891926098083;052;005NO_ERP_BI
2025-05-21;3637.6713967193555;052;005NO_ERP_BI
2025-05-22;2642.2096985371463;052;005NO_ERP_BI
2025-05-23;2775.3484312546225;052;005NO_ERP_BI
2025-05-24;7445.667905713633;052;005NO_ERP_BI
2025-05-25;10864.346440747111;052;005NO_ERP_BI
2025-05-26;11467.593325884534;052;005NO_ERP_BI
2025-05-27;6343.52133694978;052;005NO_ERP_BI
2025-05-28;3067.0345318093614;052;005NO_ERP_BI
2025-05-29;5590.095790356574;052;005NO_ERP_BI
2025-05-30;11006.829927759714;052;005NO_ERP_BI
2025-05-31;1945.8195856837644;052;005NO_ERP_BI
2025-06-01;726.0050364196921;052;005NO_ERP_BI
2025-06-02;805.6352542139009;052;005NO_ERP_BI
