metrica;valor;forecast_horizon
MAPE;4.3286444247907765;30
MAE;0.0736800183650881;30
RMSE;0.2199496021505864;30
sMAPE;70.55985358210908;30
Bias;0.0514440554156789;30
R2;0.7122769731947476;30
forecast_horizon;30.0;30
MAPE;5.62723775222801;60
MAE;0.0957840238746145;60
RMSE;0.2859344827957623;60
sMAPE;91.7278096567418;60
Bias;0.0514440554156789;60
R2;0.4985938812363232;60
forecast_horizon;60.0;60
MAPE;6.925831079665243;90
MAE;0.117888029384141;90
RMSE;0.3519193634409382;90
sMAPE;112.89576573137454;90
Bias;0.0514440554156789;90
R2;0.284910789277899;90
forecast_horizon;90.0;90
