data;vendas_previstas;forecast_horizon
2025-10-07;712269.7958547521;30
2025-10-08;374362.4802403942;30
2025-10-09;351565.6897635638;30
2025-10-10;274188.1322083127;30
2025-10-11;0.0;30
2025-10-12;0.0;30
2025-10-13;659953.5459086609;30
2025-10-14;682115.4818076459;30
2025-10-15;807919.8025489838;30
2025-10-16;421054.1748108369;30
2025-10-17;360794.7363839367;30
2025-10-18;0.0;30
2025-10-19;0.0;30
2025-10-20;689589.2052762931;30
2025-10-21;333250.73202202877;30
2025-10-22;435466.2909044802;30
2025-10-23;503136.3933174501;30
2025-10-24;286892.49614729534;30
2025-10-25;0.0;30
2025-10-26;0.0;30
2025-10-27;424874.5933258071;30
2025-10-28;389815.8341494036;30
2025-10-29;327363.48217227357;30
2025-10-30;422154.5719138198;30
2025-10-31;234188.47292982234;30
2025-11-01;0.0;30
2025-11-02;0.0;30
2025-11-03;362581.72621756326;30
2025-11-04;599940.623947323;30
2025-11-05;488397.39760505984;30
