data;vendas_forecast;Empresa;Database
2025-10-04;250890.55215058732;GER;005RG_ERP_BI
2025-10-05;378143.99722324417;GER;005RG_ERP_BI
2025-10-06;160082.84446747307;GER;005RG_ERP_BI
2025-10-07;158800.9041584229;GER;005RG_ERP_BI
2025-10-08;128414.43688657666;GER;005RG_ERP_BI
2025-10-09;114711.56747498909;GER;005RG_ERP_BI
2025-10-10;518902.33174526383;GER;005RG_ERP_BI
2025-10-11;314530.8599362686;GER;005RG_ERP_BI
2025-10-12;552128.5874739824;GER;005RG_ERP_BI
2025-10-13;830409.1640881782;GER;005RG_ERP_BI
2025-10-14;620420.78422124;GER;005RG_ERP_BI
2025-10-15;581883.351776629;GER;005RG_ERP_BI
2025-10-16;780890.6155111578;GER;005RG_ERP_BI
2025-10-17;399018.2836184132;GER;005RG_ERP_BI
2025-10-18;416983.9401744057;GER;005RG_ERP_BI
2025-10-19;14102.280739888007;GER;005RG_ERP_BI
2025-10-20;131529.27140052643;GER;005RG_ERP_BI
2025-10-21;55720.6290950304;GER;005RG_ERP_BI
2025-10-22;111563.44008455999;GER;005RG_ERP_BI
2025-10-23;1182022.2896900948;GER;005RG_ERP_BI
2025-10-24;296488.0027163969;GER;005RG_ERP_BI
2025-10-25;336335.0624576198;GER;005RG_ERP_BI
2025-10-26;105927.4271985575;GER;005RG_ERP_BI
2025-10-27;334791.2240345495;GER;005RG_ERP_BI
2025-10-28;628599.4885037926;GER;005RG_ERP_BI
2025-10-29;947210.2023359644;GER;005RG_ERP_BI
2025-10-30;708200.052891931;GER;005RG_ERP_BI
2025-10-31;226494.8941395166;GER;005RG_ERP_BI
2025-11-01;262476.7380510601;GER;005RG_ERP_BI
2025-11-02;59298.322988309315;GER;005RG_ERP_BI
