data;volume_historico
2023-10-05;359.0
2023-10-06;5231.399999999998
2023-10-07;
2023-10-08;
2023-10-09;2582.0
2023-10-10;570.0
2023-10-11;401.0
2023-10-12;
2023-10-13;4145.0
2023-10-14;
2023-10-15;
2023-10-16;218.0
2023-10-17;230.0
2023-10-18;353.0
2023-10-19;4619.0
2023-10-20;280.0
2023-10-21;
2023-10-22;
2023-10-23;341.0
2023-10-24;121.0
2023-10-25;592.0
2023-10-26;174.0
2023-10-27;362.0
2023-10-28;
2023-10-29;
2023-10-30;5231.399999999998
2023-10-31;2493.0
2023-11-01;508.0
2023-11-02;
2023-11-03;285.0
2023-11-04;
2023-11-05;
2023-11-06;108.0
2023-11-07;1404.0
2023-11-08;505.0
2023-11-09;2699.0
2023-11-10;335.0
2023-11-11;
2023-11-12;
2023-11-13;619.0
2023-11-14;614.0
2023-11-15;
2023-11-16;5231.399999999998
2023-11-17;468.0
2023-11-18;
2023-11-19;
2023-11-20;
2023-11-21;5231.399999999998
2023-11-22;1174.0
2023-11-23;5231.399999999998
2023-11-24;5231.399999999998
2023-11-25;8.0
2023-11-26;
2023-11-27;787.0
2023-11-28;664.0
2023-11-29;4702.0
2023-11-30;3050.0
2023-12-01;915.0
2023-12-02;
2023-12-03;
2023-12-04;759.0
2023-12-05;162.0
2023-12-06;117.0
2023-12-07;928.0
2023-12-08;436.0
2023-12-09;
2023-12-10;
2023-12-11;362.0
2023-12-12;726.0
2023-12-13;875.0
2023-12-14;5231.399999999998
2023-12-15;469.0
2023-12-16;
2023-12-17;
2023-12-18;9.0
2023-12-19;13.0
2023-12-20;11.0
2023-12-21;
2023-12-22;
2023-12-23;
2023-12-24;
2023-12-25;
2023-12-26;
2023-12-27;
2023-12-28;
2023-12-29;
2023-12-30;
2023-12-31;
2024-01-01;
2024-01-02;
2024-01-03;
2024-01-04;1.0
2024-01-05;
2024-01-06;
2024-01-07;
2024-01-08;-3.0
2024-01-09;5.0
2024-01-10;1.0
2024-01-11;89.0
2024-01-12;183.0
2024-01-13;
2024-01-14;
2024-01-15;83.0
2024-01-16;93.0
2024-01-17;88.0
2024-01-18;20.0
2024-01-19;77.0
2024-01-20;
2024-01-21;
2024-01-22;66.0
2024-01-23;24.0
2024-01-24;2.0
2024-01-25;194.0
2024-01-26;14.0
2024-01-27;
2024-01-28;
2024-01-29;1044.0
2024-01-30;185.0
2024-01-31;602.0
2024-02-01;145.0
2024-02-02;464.0
2024-02-03;
2024-02-04;
2024-02-05;217.0
2024-02-06;420.0
2024-02-07;111.0
2024-02-08;508.0
2024-02-09;43.0
2024-02-10;
2024-02-11;
2024-02-12;
2024-02-13;
2024-02-14;495.0
2024-02-15;1029.0
2024-02-16;1090.0
2024-02-17;-2.0
2024-02-18;
2024-02-19;103.0
2024-02-20;1822.0
2024-02-21;224.0
2024-02-22;227.0
2024-02-23;239.0
2024-02-24;
2024-02-25;
2024-02-26;137.0
2024-02-27;151.0
2024-02-28;530.0
2024-02-29;3084.0
2024-03-01;37.0
2024-03-02;
2024-03-03;
2024-03-04;251.0
2024-03-05;520.0
2024-03-06;61.0
2024-03-07;338.0
2024-03-08;149.0
2024-03-09;
2024-03-10;
2024-03-11;352.0
2024-03-12;238.0
2024-03-13;275.0
2024-03-14;135.0
2024-03-15;424.0
2024-03-16;
2024-03-17;
2024-03-18;251.0
2024-03-19;334.0
2024-03-20;337.0
2024-03-21;111.0
2024-03-22;1899.0
2024-03-23;
2024-03-24;
2024-03-25;214.0
2024-03-26;477.0
2024-03-27;764.0
2024-03-28;1539.0
2024-03-29;
2024-03-30;
2024-03-31;
2024-04-01;135.0
2024-04-02;438.0
2024-04-03;193.0
2024-04-04;3115.0
2024-04-05;314.0
2024-04-06;
2024-04-07;
2024-04-08;501.0
2024-04-09;762.0
2024-04-10;1389.0
2024-04-11;195.0
2024-04-12;70.0
2024-04-13;
2024-04-14;
2024-04-15;492.0
2024-04-16;900.0
2024-04-17;473.0
2024-04-18;275.0
2024-04-19;307.0
2024-04-20;
2024-04-21;
2024-04-22;139.0
2024-04-23;599.0
2024-04-24;1141.0
2024-04-25;1397.0
2024-04-26;379.0
2024-04-27;
2024-04-28;
2024-04-29;229.0
2024-04-30;3146.0
2024-05-01;
2024-05-02;458.0
2024-05-03;535.0
2024-05-04;755.0
2024-05-05;
2024-05-06;765.0
2024-05-07;1099.0
2024-05-08;997.0
2024-05-09;409.0
2024-05-10;244.0
2024-05-11;
2024-05-12;
2024-05-13;2626.0
2024-05-14;668.0
2024-05-15;577.0
2024-05-16;158.0
2024-05-17;516.0
2024-05-18;
2024-05-19;
2024-05-20;351.0
