metrica;valor;forecast_horizon
MAPE;2.6721013054290434;30
MAE;0.0228388657432725;30
RMSE;0.0405075459780483;30
sMAPE;2.650674991529121;30
Bias;-0.0084317786791795;30
R2;0.757910296221336;30
forecast_horizon;30.0;30
MAPE;3.4737316970577568;60
MAE;0.0296905254662542;60
RMSE;0.0526598097714628;60
sMAPE;3.4458774889878567;60
Bias;-0.0084317786791795;60
R2;0.5305372073549351;60
forecast_horizon;60.0;60
MAPE;4.27536208868647;90
MAE;0.036542185189236;90
RMSE;0.0648120735648773;90
sMAPE;4.241079986446593;90
Bias;-0.0084317786791795;90
R2;0.3031641184885344;90
forecast_horizon;90.0;90
