data;vendas_previstas;forecast_horizon
2025-10-04;74697.14721504145;30
2025-10-05;13128.69520507828;30
2025-10-06;102380.37144834505;30
2025-10-07;76447.18820830612;30
2025-10-08;71593.2499633977;30
2025-10-09;74437.5738615926;30
2025-10-10;92794.3277506484;30
2025-10-11;73382.06292386344;30
2025-10-12;11750.788039925608;30
2025-10-13;83268.4742149819;30
2025-10-14;71432.86344221629;30
2025-10-15;61501.8677402655;30
2025-10-16;68538.7073978136;30
2025-10-17;89999.12764881681;30
2025-10-18;62767.98411214796;30
2025-10-19;10613.880315675326;30
2025-10-20;64773.35165524967;30
2025-10-21;68144.13540543504;30
2025-10-22;60206.10033885996;30
2025-10-23;67154.05288861522;30
2025-10-24;79560.36405376488;30
2025-10-25;62192.51185120463;30
2025-10-26;11760.837863252178;30
2025-10-27;72038.62940316764;30
2025-10-28;65534.3872729183;30
2025-10-29;63996.351947619776;30
2025-10-30;71136.32814833558;30
2025-10-31;83866.15198288296;30
2025-11-01;63442.92978880768;30
2025-11-02;9691.570565020504;30
2025-10-04;74697.14721504145;60
2025-10-05;13128.69520507828;60
2025-10-06;102380.37144834505;60
2025-10-07;76447.18820830612;60
2025-10-08;71593.2499633977;60
2025-10-09;74437.5738615926;60
2025-10-10;92794.3277506484;60
2025-10-11;73382.06292386344;60
2025-10-12;11750.788039925608;60
2025-10-13;83268.4742149819;60
2025-10-14;71432.86344221629;60
2025-10-15;61501.8677402655;60
2025-10-16;68538.7073978136;60
2025-10-17;89999.12764881681;60
2025-10-18;62767.98411214796;60
2025-10-19;10613.880315675326;60
2025-10-20;64773.35165524967;60
2025-10-21;68144.13540543504;60
2025-10-22;60206.10033885996;60
2025-10-23;67154.05288861522;60
2025-10-24;79560.36405376488;60
2025-10-25;62192.51185120463;60
2025-10-26;11760.837863252178;60
2025-10-27;72038.62940316764;60
2025-10-28;65534.3872729183;60
2025-10-29;63996.351947619776;60
2025-10-30;71136.32814833558;60
2025-10-31;83866.15198288296;60
2025-11-01;63442.92978880768;60
2025-11-02;9691.570565020504;60
2025-11-03;71166.61731011947;60
2025-11-04;64154.64532711987;60
2025-11-05;61184.56183785144;60
2025-11-06;78530.73949853542;60
2025-11-07;88080.83571242726;60
2025-11-08;68401.67997740774;60
2025-11-09;11979.717813786585;60
2025-11-10;75412.65140368094;60
2025-11-11;78794.56683568138;60
2025-11-12;69857.6321238221;60
2025-11-13;78806.50106495687;60
2025-11-14;70806.37962305706;60
2025-11-15;69943.2038474313;60
2025-11-16;11125.12726786056;60
2025-11-17;84608.62412488816;60
2025-11-18;85117.87539703402;60
2025-11-19;78182.96976363807;60
2025-11-20;93417.34189259248;60
2025-11-21;102533.56640101582;60
2025-11-22;85881.66526764851;60
2025-11-23;13195.905021939576;60
2025-11-24;83946.73255848598;60
2025-11-25;91796.6752588549;60
2025-11-26;82187.15892407611;60
2025-11-27;93385.1598561008;60
2025-11-28;112654.15793674084;60
2025-11-29;97684.9649770678;60
2025-11-30;13738.181531049042;60
2025-12-01;88712.41066844485;60
2025-12-02;92779.85846306104;60
2025-10-04;74697.14721504145;90
2025-10-05;13128.69520507828;90
2025-10-06;102380.37144834505;90
2025-10-07;76447.18820830612;90
2025-10-08;71593.2499633977;90
2025-10-09;74437.5738615926;90
2025-10-10;92794.3277506484;90
2025-10-11;73382.06292386344;90
2025-10-12;11750.788039925608;90
2025-10-13;83268.4742149819;90
2025-10-14;71432.86344221629;90
2025-10-15;61501.8677402655;90
2025-10-16;68538.7073978136;90
2025-10-17;89999.12764881681;90
2025-10-18;62767.98411214796;90
2025-10-19;10613.880315675326;90
2025-10-20;64773.35165524967;90
2025-10-21;68144.13540543504;90
2025-10-22;60206.10033885996;90
2025-10-23;67154.05288861522;90
2025-10-24;79560.36405376488;90
2025-10-25;62192.51185120463;90
2025-10-26;11760.837863252178;90
2025-10-27;72038.62940316764;90
2025-10-28;65534.3872729183;90
2025-10-29;63996.351947619776;90
2025-10-30;71136.32814833558;90
2025-10-31;83866.15198288296;90
2025-11-01;63442.92978880768;90
2025-11-02;9691.570565020504;90
2025-11-03;71166.61731011947;90
2025-11-04;64154.64532711987;90
2025-11-05;61184.56183785144;90
2025-11-06;78530.73949853542;90
2025-11-07;88080.83571242726;90
2025-11-08;68401.67997740774;90
2025-11-09;11979.717813786585;90
2025-11-10;75412.65140368094;90
2025-11-11;78794.56683568138;90
2025-11-12;69857.6321238221;90
2025-11-13;78806.50106495687;90
2025-11-14;70806.37962305706;90
2025-11-15;69943.2038474313;90
2025-11-16;11125.12726786056;90
2025-11-17;84608.62412488816;90
2025-11-18;85117.87539703402;90
2025-11-19;78182.96976363807;90
2025-11-20;93417.34189259248;90
2025-11-21;102533.56640101582;90
2025-11-22;85881.66526764851;90
2025-11-23;13195.905021939576;90
2025-11-24;83946.73255848598;90
2025-11-25;91796.6752588549;90
2025-11-26;82187.15892407611;90
2025-11-27;93385.1598561008;90
2025-11-28;112654.15793674084;90
2025-11-29;97684.9649770678;90
2025-11-30;13738.181531049042;90
2025-12-01;88712.41066844485;90
2025-12-02;92779.85846306104;90
2025-12-03;78110.0204812154;90
2025-12-04;81791.62979809742;90
2025-12-05;103588.47714078469;90
2025-12-06;101856.4144716823;90
2025-12-07;13397.237374085986;90
2025-12-08;106287.22455861964;90
2025-12-09;116008.36667589148;90
2025-12-10;121303.60499660304;90
2025-12-11;124728.19954974108;90
2025-12-12;118356.26395532212;90
2025-12-13;119680.3766141496;90
2025-12-14;17841.25083327435;90
2025-12-15;107360.609732219;90
2025-12-16;125056.5407404782;90
2025-12-17;112513.20998954467;90
2025-12-18;119539.50074613954;90
2025-12-19;116072.64433877468;90
2025-12-20;124412.6897316202;90
2025-12-21;18978.813978951777;90
2025-12-22;106909.7440858888;90
2025-12-23;129408.58525107852;90
2025-12-24;109429.14338840883;90
2025-12-25;99243.16736607104;90
2025-12-26;106369.55308388604;90
2025-12-27;101407.12597546657;90
2025-12-28;15787.37922200492;90
2025-12-29;89816.84628910807;90
2025-12-30;91519.47635189438;90
2025-12-31;74156.43089555528;90
2026-01-01;73124.53548058252;90
