data;vendas_previstas;forecast_horizon
2025-10-07;72432.15499944684;90
2025-10-08;73833.85884514559;90
2025-10-09;72786.47259472303;90
2025-10-10;88731.43601346703;90
2025-10-11;76260.07053719695;90
2025-10-12;12283.750296094397;90
2025-10-13;81859.50761538088;90
2025-10-14;71839.15594681648;90
2025-10-15;60248.08902835731;90
2025-10-16;66563.01554085134;90
2025-10-17;74838.71011565799;90
2025-10-18;68999.29994786132;90
2025-10-19;10198.670844643078;90
2025-10-20;66640.97073341679;90
2025-10-21;64452.166852807706;90
2025-10-22;60276.95271158837;90
2025-10-23;69567.85409659444;90
2025-10-24;80099.43498634653;90
2025-10-25;61527.62643834251;90
2025-10-26;11661.675580145096;90
2025-10-27;71341.63509228089;90
2025-10-28;67031.05221098327;90
2025-10-29;62687.318906271474;90
2025-10-30;70485.8854917721;90
2025-10-31;81062.97570728476;90
2025-11-01;63684.244711598905;90
2025-11-02;10365.278749547073;90
2025-11-03;69643.20454967735;90
2025-11-04;65086.00805773657;90
2025-11-05;64567.551324093845;90
2025-11-06;68571.80178653402;90
2025-11-07;83464.81215431761;90
2025-11-08;70092.83506512872;90
2025-11-09;11679.544622117548;90
2025-11-10;79761.14437827196;90
2025-11-11;75609.30699637247;90
2025-11-12;71779.86065010991;90
2025-11-13;79293.43057582303;90
2025-11-14;73606.88655263254;90
2025-11-15;69974.37222448476;90
2025-11-16;10808.12797938738;90
2025-11-17;83679.7819583655;90
2025-11-18;87000.42122378138;90
2025-11-19;78571.17073978887;90
2025-11-20;91274.87951653017;90
2025-11-21;106929.49137526608;90
2025-11-22;84830.43375258791;90
2025-11-23;13383.277283449905;90
2025-11-24;87715.22991517103;90
2025-11-25;92872.43103277704;90
2025-11-26;84293.69719955848;90
2025-11-27;92741.45611767989;90
2025-11-28;119979.7251608924;90
2025-11-29;96769.60965451557;90
2025-11-30;14372.379890030126;90
2025-12-01;89231.8547081192;90
2025-12-02;93868.20485912773;90
2025-12-03;77796.33702298373;90
2025-12-04;87591.2947202489;90
2025-12-05;116102.9560692825;90
2025-12-06;94588.03502407426;90
2025-12-07;14038.837905471042;90
2025-12-08;111058.33669644101;90
2025-12-09;117290.469764461;90
2025-12-10;119160.12454710616;90
2025-12-11;127656.40275998005;90
2025-12-12;124893.57329301655;90
2025-12-13;130784.48683592519;90
2025-12-14;17316.97814701609;90
2025-12-15;112062.89781225804;90
2025-12-16;123104.18337444031;90
2025-12-17;107874.09594477956;90
2025-12-18;120292.48771140237;90
2025-12-19;123715.6040434816;90
2025-12-20;121649.32383053853;90
2025-12-21;20046.80149722458;90
2025-12-22;102040.83002076542;90
2025-12-23;129396.98809858211;90
2025-12-24;101343.3591741742;90
2025-12-25;95459.7435401187;90
2025-12-26;111356.02938556347;90
2025-12-27;108134.55219397673;90
2025-12-28;16527.627623821663;90
2025-12-29;86974.47555140223;90
2025-12-30;80451.59528058945;90
2025-12-31;74048.43544514521;90
2026-01-01;72669.13888987651;90
2026-01-02;85037.51043914961;90
2026-01-03;79419.591160179;90
2026-01-04;12048.30269996425;90
