data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-08-28;193017.91;historico;0;193017.91
2025-08-29;255188.04;historico;0;448205.95
2025-08-30;200841.74;historico;0;649047.69
2025-08-31;35148.52;historico;0;684196.21
2025-09-01;353667.18;historico;0;1037863.3899999999
2025-09-02;385543.23;historico;0;1423406.6199999999
2025-09-03;287922.32;historico;0;1711328.94
2025-09-04;303734.99;historico;0;2015063.93
2025-09-05;261368.12;historico;0;2276432.05
2025-09-06;335878.38;historico;0;2612310.4299999997
2025-09-07;227885.04;historico;0;2840195.4699999997
2025-09-08;277654.41;historico;0;3117849.88
2025-09-09;415860.6;historico;0;3533710.48
2025-09-10;737417.92;historico;0;4271128.4
2025-09-11;274358.2;historico;0;4545486.600000001
2025-09-12;202655.85;historico;0;4748142.45
2025-09-13;184498.07;historico;0;4932640.5200000005
2025-09-14;26494.64;historico;0;4959135.16
2025-09-15;255083.75;historico;0;5214218.91
2025-09-16;201754.01;historico;0;5415972.92
2025-09-17;228795.98;historico;0;5644768.9
2025-09-18;137879.02;historico;0;5782647.92
2025-09-19;121361.68;historico;0;5904009.6
2025-09-20;200975.57;historico;0;6104985.17
2025-09-21;30659.44;historico;0;6135644.61
2025-09-22;180676.13;historico;0;6316320.74
2025-09-23;149175.44;historico;0;6465496.180000001
2025-09-24;196035.44;historico;0;6661531.620000001
2025-09-25;263108.31;historico;0;6924639.930000001
2025-09-26;176479.47;historico;0;7101119.4
2025-09-27;127516.4;historico;0;7228635.800000001
2025-09-28;25228.73166973869;previsao;30;7253864.53166974
2025-09-28;25228.73166973869;previsao;90;7253864.53166974
2025-09-28;25228.73166973869;previsao;60;7253864.53166974
2025-09-29;161495.42493381578;previsao;30;7415359.956603555
2025-09-29;161495.42493381578;previsao;90;7415359.956603555
2025-09-29;161495.42493381578;previsao;60;7415359.956603555
2025-09-30;165112.20679255645;previsao;90;7580472.163396112
2025-09-30;165112.20679255645;previsao;30;7580472.163396112
2025-09-30;165112.20679255645;previsao;60;7580472.163396112
2025-10-01;123312.46706250764;previsao;60;7703784.630458619
2025-10-01;123312.46706250764;previsao;30;7703784.630458619
2025-10-01;123312.46706250764;previsao;90;7703784.630458619
2025-10-02;100622.60386394052;previsao;60;7804407.23432256
2025-10-02;100622.60386394052;previsao;90;7804407.23432256
2025-10-02;100622.60386394052;previsao;30;7804407.23432256
2025-10-03;94644.08179317672;previsao;30;7899051.316115737
2025-10-03;94644.08179317672;previsao;60;7899051.316115737
2025-10-03;94644.08179317672;previsao;90;7899051.316115737
2025-10-04;76197.28424997332;previsao;60;7975248.60036571
2025-10-04;76197.28424997332;previsao;90;7975248.60036571
2025-10-04;76197.28424997332;previsao;30;7975248.60036571
2025-10-05;11656.691122552247;previsao;60;7986905.291488263
2025-10-05;11656.691122552247;previsao;30;7986905.291488263
2025-10-05;11656.691122552247;previsao;90;7986905.291488263
2025-10-06;90848.4647737077;previsao;90;8077753.756261971
2025-10-06;90848.4647737077;previsao;60;8077753.756261971
2025-10-06;90848.4647737077;previsao;30;8077753.756261971
2025-10-07;80558.97827718194;previsao;90;8158312.734539153
2025-10-07;80558.97827718194;previsao;30;8158312.734539153
2025-10-07;80558.97827718194;previsao;60;8158312.734539153
2025-10-08;71628.26287709642;previsao;30;8229940.9974162495
2025-10-08;71628.26287709642;previsao;90;8229940.9974162495
2025-10-08;71628.26287709642;previsao;60;8229940.9974162495
2025-10-09;72251.10173061713;previsao;90;8302192.099146866
2025-10-09;72251.10173061713;previsao;30;8302192.099146866
2025-10-09;72251.10173061713;previsao;60;8302192.099146866
2025-10-10;102830.85106821691;previsao;90;8405022.950215083
2025-10-10;102830.85106821691;previsao;30;8405022.950215083
2025-10-10;102830.85106821691;previsao;60;8405022.950215083
2025-10-11;74771.55205903499;previsao;90;8479794.502274118
2025-10-11;74771.55205903499;previsao;60;8479794.502274118
2025-10-11;74771.55205903499;previsao;30;8479794.502274118
2025-10-12;12066.519448492936;previsao;30;8491861.021722611
2025-10-12;12066.519448492936;previsao;60;8491861.021722611
2025-10-12;12066.519448492936;previsao;90;8491861.021722611
2025-10-13;84508.78993802486;previsao;60;8576369.811660636
2025-10-13;84508.78993802486;previsao;30;8576369.811660636
