data;volume_historico
2023-09-29;284.0
2023-09-30;335.0
2023-10-01;44.0
2023-10-02;192.0
2023-10-03;355.0
2023-10-04;223.0
2023-10-05;169.0
2023-10-06;227.0
2023-10-07;247.0
2023-10-08;29.0
2023-10-09;198.0
2023-10-10;311.0
2023-10-11;212.0
2023-10-12;33.0
2023-10-13;270.0
2023-10-14;165.0
2023-10-15;14.0
2023-10-16;251.0
2023-10-17;254.0
2023-10-18;220.0
2023-10-19;156.0
2023-10-20;244.0
2023-10-21;289.0
2023-10-22;29.0
2023-10-23;265.0
2023-10-24;212.0
2023-10-25;170.0
2023-10-26;241.0
2023-10-27;232.0
2023-10-28;204.0
2023-10-29;30.0
2023-10-30;225.0
2023-10-31;313.0
2023-11-01;222.0
2023-11-02;12.0
2023-11-03;263.0
2023-11-04;201.0
2023-11-05;6.0
2023-11-06;187.0
2023-11-07;212.0
2023-11-08;304.0
2023-11-09;230.0
2023-11-10;263.0
2023-11-11;309.0
2023-11-12;25.0
2023-11-13;266.0
2023-11-14;184.0
2023-11-15;29.0
2023-11-16;228.0
2023-11-17;187.0
2023-11-18;232.0
2023-11-19;23.0
2023-11-20;24.0
2023-11-21;189.0
2023-11-22;178.0
2023-11-23;193.0
2023-11-24;225.0
2023-11-25;279.0
2023-11-26;24.0
2023-11-27;156.0
2023-11-28;149.0
2023-11-29;231.0
2023-11-30;279.0
2023-12-01;240.0
2023-12-02;175.0
2023-12-03;21.0
2023-12-04;192.0
2023-12-05;211.0
2023-12-06;235.0
2023-12-07;202.0
2023-12-08;263.0
2023-12-09;219.0
2023-12-10;29.0
2023-12-11;307.0
2023-12-12;234.0
2023-12-13;295.0
2023-12-14;318.0
2023-12-15;304.0
2023-12-16;371.0
2023-12-17;56.0
2023-12-18;343.0
2023-12-19;373.79999999999995
2023-12-20;373.79999999999995
2023-12-21;373.79999999999995
2023-12-22;373.79999999999995
2023-12-23;373.79999999999995
2023-12-24;373.79999999999995
2023-12-25;
2023-12-26;138.0
2023-12-27;213.0
2023-12-28;175.0
2023-12-29;217.0
2023-12-30;172.0
2023-12-31;12.0
2024-01-01;
2024-01-02;134.0
2024-01-03;107.0
2024-01-04;177.0
2024-01-05;136.0
2024-01-06;156.0
2024-01-07;14.0
2024-01-08;175.0
2024-01-09;142.0
2024-01-10;157.0
2024-01-11;134.0
2024-01-12;152.0
2024-01-13;154.0
2024-01-14;27.0
2024-01-15;227.0
2024-01-16;129.0
2024-01-17;199.0
2024-01-18;187.0
2024-01-19;146.0
2024-01-20;147.0
2024-01-21;11.0
2024-01-22;168.0
2024-01-23;130.0
2024-01-24;157.0
2024-01-25;104.0
2024-01-26;206.0
2024-01-27;177.0
2024-01-28;17.0
2024-01-29;151.0
2024-01-30;129.0
2024-01-31;261.0
2024-02-01;134.0
2024-02-02;146.0
2024-02-03;117.0
2024-02-04;33.0
2024-02-05;126.0
2024-02-06;165.0
2024-02-07;117.0
2024-02-08;162.0
2024-02-09;175.0
2024-02-10;144.0
2024-02-11;25.0
2024-02-12;29.0
2024-02-13;11.0
2024-02-14;69.0
2024-02-15;127.0
2024-02-16;171.0
2024-02-17;145.0
2024-02-18;25.0
2024-02-19;128.0
2024-02-20;192.0
2024-02-21;126.0
2024-02-22;203.0
2024-02-23;150.0
2024-02-24;173.0
2024-02-25;20.0
2024-02-26;145.0
2024-02-27;115.0
2024-02-28;161.0
2024-02-29;201.0
2024-03-01;209.0
2024-03-02;168.0
2024-03-03;27.0
2024-03-04;278.0
2024-03-05;285.0
2024-03-06;282.0
2024-03-07;236.0
2024-03-08;283.0
2024-03-09;255.0
2024-03-10;33.0
2024-03-11;196.0
2024-03-12;254.0
2024-03-13;250.0
2024-03-14;203.0
2024-03-15;256.0
2024-03-16;236.0
2024-03-17;38.0
2024-03-18;177.0
2024-03-19;221.0
2024-03-20;212.0
2024-03-21;150.0
2024-03-22;209.0
2024-03-23;286.0
2024-03-24;26.0
2024-03-25;204.0
2024-03-26;161.0
2024-03-27;143.0
2024-03-28;271.0
2024-03-29;11.0
2024-03-30;266.0
2024-03-31;12.0
2024-04-01;103.0
2024-04-02;198.0
2024-04-03;127.0
2024-04-04;161.0
2024-04-05;170.0
2024-04-06;201.0
2024-04-07;11.0
2024-04-08;172.0
