metrica;valor;forecast_horizon
MAPE;2.2780487702533194;30
MAE;0.0202111753443254;30
RMSE;0.0301500900327223;30
sMAPE;2.267708412362498;30
Bias;-0.0001614713643384;30
R2;0.5751413792895508;30
forecast_horizon;30.0;30
MAPE;2.9614634013293157;60
MAE;0.0262745279476231;60
RMSE;0.039195117042539;60
sMAPE;2.948020936071248;60
Bias;-0.0001614713643384;60
R2;0.4025989655026855;60
forecast_horizon;60.0;60
MAPE;3.644878032405311;90
MAE;0.0323378805509207;90
RMSE;0.0482401440523557;90
sMAPE;3.628333459779998;90
Bias;-0.0001614713643384;90
R2;0.2300565517158203;90
forecast_horizon;90.0;90
