data;vendas_previstas;forecast_horizon
2025-10-04;412373.5963814907;30
2025-10-05;159206.32045652057;30
2025-10-06;292565.0137247632;30
2025-10-07;380616.09696282336;30
2025-10-08;426222.36772943306;30
2025-10-09;528766.7082467197;30
2025-10-10;464945.9879629477;30
2025-10-11;540583.5879096339;30
2025-10-12;166519.106971262;30
2025-10-13;408514.22880135686;30
2025-10-14;532441.9479560801;30
2025-10-15;490678.5513573732;30
2025-10-16;485325.40432564734;30
2025-10-17;491883.26710303937;30
2025-10-18;404176.71576341474;30
2025-10-19;154155.78289069634;30
2025-10-20;322265.48155810527;30
2025-10-21;358488.91619413544;30
2025-10-22;403390.8613713474;30
2025-10-23;531050.9875880821;30
2025-10-24;466704.230110017;30
2025-10-25;426698.7714252662;30
2025-10-26;160620.60039860237;30
2025-10-27;421610.76085096085;30
2025-10-28;485988.3460889904;30
2025-10-29;573782.1304556357;30
2025-10-30;524419.0910648258;30
2025-10-31;546569.6865462794;30
2025-11-01;473268.2280913816;30
2025-11-02;165151.63652025614;30
2025-10-04;412373.5963814907;60
2025-10-05;159206.32045652057;60
2025-10-06;292565.0137247632;60
2025-10-07;380616.09696282336;60
2025-10-08;426222.36772943306;60
2025-10-09;528766.7082467197;60
2025-10-10;464945.9879629477;60
2025-10-11;540583.5879096339;60
2025-10-12;166519.106971262;60
2025-10-13;408514.22880135686;60
2025-10-14;532441.9479560801;60
2025-10-15;490678.5513573732;60
2025-10-16;485325.40432564734;60
2025-10-17;491883.26710303937;60
2025-10-18;404176.71576341474;60
2025-10-19;154155.78289069634;60
2025-10-20;322265.48155810527;60
2025-10-21;358488.91619413544;60
2025-10-22;403390.8613713474;60
2025-10-23;531050.9875880821;60
2025-10-24;466704.230110017;60
2025-10-25;426698.7714252662;60
2025-10-26;160620.60039860237;60
2025-10-27;421610.76085096085;60
2025-10-28;485988.3460889904;60
2025-10-29;573782.1304556357;60
2025-10-30;524419.0910648258;60
2025-10-31;546569.6865462794;60
2025-11-01;473268.2280913816;60
2025-11-02;165151.63652025614;60
2025-11-03;424301.27598986175;60
2025-11-04;396761.243434086;60
2025-11-05;512562.04803213617;60
2025-11-06;505978.6367456639;60
2025-11-07;552207.1102473531;60
2025-11-08;608846.6321682262;60
2025-11-09;202720.7948145137;60
2025-11-10;678704.0960203371;60
2025-11-11;519126.77746545663;60
2025-11-12;620214.5883365348;60
2025-11-13;574591.2964026222;60
2025-11-14;646305.2142112113;60
2025-11-15;637003.7885105147;60
2025-11-16;189336.15039793917;60
2025-11-17;554330.2240225798;60
2025-11-18;474756.5504518456;60
2025-11-19;500067.22954059887;60
2025-11-20;509768.128724151;60
2025-11-21;564073.1791036762;60
2025-11-22;519825.2811988072;60
2025-11-23;258614.5588959269;60
2025-11-24;484984.0518863836;60
2025-11-25;537891.7010436038;60
2025-11-26;604661.8290086401;60
2025-11-27;724040.3296495965;60
2025-11-28;863295.7798924147;60
2025-11-29;694785.1478863148;60
2025-11-30;305429.86913424864;60
2025-12-01;596485.8254065102;60
2025-12-02;613005.7827895172;60
2025-10-04;412373.5963814907;90
2025-10-05;159206.32045652057;90
2025-10-06;292565.0137247632;90
2025-10-07;380616.09696282336;90
2025-10-08;426222.36772943306;90
2025-10-09;528766.7082467197;90
2025-10-10;464945.9879629477;90
2025-10-11;540583.5879096339;90
2025-10-12;166519.106971262;90
2025-10-13;408514.22880135686;90
2025-10-14;532441.9479560801;90
2025-10-15;490678.5513573732;90
2025-10-16;485325.40432564734;90
2025-10-17;491883.26710303937;90
2025-10-18;404176.71576341474;90
2025-10-19;154155.78289069634;90
2025-10-20;322265.48155810527;90
2025-10-21;358488.91619413544;90
2025-10-22;403390.8613713474;90
2025-10-23;531050.9875880821;90
2025-10-24;466704.230110017;90
2025-10-25;426698.7714252662;90
2025-10-26;160620.60039860237;90
2025-10-27;421610.76085096085;90
2025-10-28;485988.3460889904;90
2025-10-29;573782.1304556357;90
2025-10-30;524419.0910648258;90
2025-10-31;546569.6865462794;90
2025-11-01;473268.2280913816;90
