data;vendas_previstas;forecast_horizon
2025-09-28;175554.88641793118;30
2025-09-29;443452.7305360838;30
2025-09-30;470396.28333564167;30
2025-10-01;362221.00508324185;30
2025-10-02;461333.6862313269;30
2025-10-03;318615.78727839387;30
2025-10-04;416712.34727387794;30
2025-10-05;184524.8920717499;30
2025-10-06;351255.3521092185;30
2025-10-07;414114.8134084547;30
2025-10-08;428661.76471053803;30
2025-10-09;541307.4638977728;30
2025-10-10;520273.9929158706;30
2025-10-11;476101.9275463175;30
2025-10-12;187967.98176143767;30
2025-10-13;416204.5159485715;30
2025-10-14;457786.1350698972;30
2025-10-15;439986.1729663737;30
2025-10-16;493118.0177511327;30
2025-10-17;532474.2550821648;30
2025-10-18;381667.4306180553;30
2025-10-19;155293.15999026946;30
2025-10-20;302400.7741642285;30
2025-10-21;312725.8524365183;30
2025-10-22;366089.9508391437;30
2025-10-23;492396.08126735315;30
2025-10-24;464649.2391526321;30
2025-10-25;432536.315475572;30
2025-10-26;168575.97406335204;30
2025-10-27;407575.1349419755;30
