data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-08-28;341864.27;historico;0;341864.27
2025-08-29;698271.4;historico;0;1040135.67
2025-08-30;1189865.21;historico;0;2230000.88
2025-08-31;524921.68;historico;0;2754922.56
2025-09-01;223541.1;historico;0;2978463.66
2025-09-02;391803.27;historico;0;3370266.93
2025-09-03;435804.58;historico;0;3806071.5100000002
2025-09-04;332606.92;historico;0;4138678.43
2025-09-05;345550.31;historico;0;4484228.74
2025-09-06;684213.5;historico;0;5168442.24
2025-09-07;124846.93;historico;0;5293289.17
2025-09-08;247888.5;historico;0;5541177.67
2025-09-09;661515.77;historico;0;6202693.4399999995
2025-09-10;435646.26;historico;0;6638339.699999999
2025-09-11;726840.93;historico;0;7365180.629999999
2025-09-12;483088.49;historico;0;7848269.119999999
2025-09-13;904880.85;historico;0;8753149.969999999
2025-09-14;186302.94;historico;0;8939452.909999998
2025-09-15;375290.52;historico;0;9314743.429999998
2025-09-16;366155.01;historico;0;9680898.439999998
2025-09-17;430518.62;historico;0;10111417.059999997
2025-09-18;554142.24;historico;0;10665559.299999997
2025-09-19;306418.51;historico;0;10971977.809999997
2025-09-20;261787.97;historico;0;11233765.779999997
2025-09-21;217338.0;historico;0;11451103.779999997
2025-09-22;204809.77;historico;0;11655913.549999997
2025-09-23;430779.98;historico;0;12086693.529999997
2025-09-24;226933.04;historico;0;12313626.569999997
2025-09-25;362708.01;historico;0;12676334.579999996
2025-09-26;348843.3;historico;0;13025177.879999997
2025-09-27;518085.89;historico;0;13543263.769999998
2025-09-28;175554.88641793118;previsao;30;13718818.656417929
2025-09-28;175554.88641793118;previsao;90;13718818.656417929
2025-09-28;175554.88641793118;previsao;60;13718818.656417929
2025-09-29;443452.7305360838;previsao;30;14162271.386954013
2025-09-29;443452.7305360838;previsao;90;14162271.386954013
2025-09-29;443452.7305360838;previsao;60;14162271.386954013
2025-09-30;470396.28333564167;previsao;90;14632667.670289654
2025-09-30;470396.28333564167;previsao;30;14632667.670289654
2025-09-30;470396.28333564167;previsao;60;14632667.670289654
2025-10-01;362221.00508324185;previsao;60;14994888.675372897
2025-10-01;362221.00508324185;previsao;30;14994888.675372897
2025-10-01;362221.00508324185;previsao;90;14994888.675372897
2025-10-02;461333.6862313269;previsao;60;15456222.361604223
2025-10-02;461333.6862313269;previsao;90;15456222.361604223
2025-10-02;461333.6862313269;previsao;30;15456222.361604223
2025-10-03;318615.78727839387;previsao;30;15774838.148882616
2025-10-03;318615.78727839387;previsao;60;15774838.148882616
2025-10-03;318615.78727839387;previsao;90;15774838.148882616
2025-10-04;416712.34727387794;previsao;60;16191550.496156495
2025-10-04;416712.34727387794;previsao;90;16191550.496156495
2025-10-04;416712.34727387794;previsao;30;16191550.496156495
2025-10-05;184524.8920717499;previsao;60;16376075.388228245
2025-10-05;184524.8920717499;previsao;30;16376075.388228245
2025-10-05;184524.8920717499;previsao;90;16376075.388228245
2025-10-06;351255.3521092185;previsao;90;16727330.740337463
2025-10-06;351255.3521092185;previsao;60;16727330.740337463
2025-10-06;351255.3521092185;previsao;30;16727330.740337463
2025-10-07;414114.8134084547;previsao;90;17141445.553745918
2025-10-07;414114.8134084547;previsao;30;17141445.553745918
2025-10-07;414114.8134084547;previsao;60;17141445.553745918
2025-10-08;428661.764710538;previsao;30;17570107.318456456
2025-10-08;428661.764710538;previsao;90;17570107.318456456
2025-10-08;428661.764710538;previsao;60;17570107.318456456
2025-10-09;541307.4638977728;previsao;90;18111414.78235423
2025-10-09;541307.4638977728;previsao;30;18111414.78235423
2025-10-09;541307.4638977728;previsao;60;18111414.78235423
2025-10-10;520273.9929158706;previsao;90;18631688.775270097
2025-10-10;520273.9929158706;previsao;30;18631688.775270097
2025-10-10;520273.9929158706;previsao;60;18631688.775270097
2025-10-11;476101.9275463175;previsao;90;19107790.702816416
2025-10-11;476101.9275463175;previsao;60;19107790.702816416
2025-10-11;476101.9275463175;previsao;30;19107790.702816416
2025-10-12;187967.98176143767;previsao;30;19295758.684577852
