data;vendas_historicas
2023-10-08;263112.4
2023-10-09;212579.23
2023-10-10;413239.61
2023-10-11;590801.1
2023-10-12;198015.71
2023-10-13;339202.11
2023-10-14;249553.31
2023-10-15;76413.97
2023-10-16;542747.3
2023-10-17;752227.46
2023-10-18;683753.52
2023-10-19;637306.77
2023-10-20;396185.45
2023-10-21;308746.75
2023-10-22;71551.73
2023-10-23;348666.01
2023-10-24;263065.76
2023-10-25;372077.32
2023-10-26;472273.92
2023-10-27;582100.51
2023-10-28;726487.79
2023-10-29;146210.78
2023-10-30;383992.6
2023-10-31;888140.52
2023-11-01;124907.21
2023-11-02;81344.91
2023-11-03;172790.74
2023-11-04;279964.67
2023-11-05;111773.58
2023-11-06;406689.61
2023-11-07;331940.75
2023-11-08;370413.44
2023-11-09;296727.61
2023-11-10;397958.05
2023-11-11;238188.56
2023-11-12;98717.88
2023-11-13;271249.75
2023-11-14;287924.71
2023-11-15;571239.14
2023-11-16;290742.93
2023-11-17;465636.95
2023-11-18;424323.1
2023-11-19;130426.93
2023-11-20;419308.87
2023-11-21;509976.36
2023-11-22;463175.35
2023-11-23;369798.32
2023-11-24;597831.72
2023-11-25;544101.31
2023-11-26;281552.23
2023-11-27;740268.68
2023-11-28;546514.67
2023-11-29;839726.83
2023-11-30;963554.41
2023-12-01;602891.97
2023-12-02;407568.12
2023-12-03;182188.84
2023-12-04;431142.13
2023-12-05;257451.99
2023-12-06;1023507.77
2023-12-07;721759.59
2023-12-08;1067568.37
2023-12-09;1016537.74
2023-12-10;295985.33
2023-12-11;846547.15
2023-12-12;1101841.12
2023-12-13;961250.93
2023-12-14;1120266.52
2023-12-15;971615.22
2023-12-16;818732.59
2023-12-17;719574.63
2023-12-18;1302468.58
2023-12-19;1257859.42
2023-12-20;1405529.38
2023-12-21;1493984.07
2023-12-22;1530980.14
2023-12-23;1696071.91
2023-12-24;774086.14
2023-12-25;0.0
2023-12-26;1041931.92
2023-12-27;773164.83
2023-12-28;847096.43
2023-12-29;921396.08
2023-12-30;815866.16
2023-12-31;54295.84
2024-01-01;0.0
2024-01-02;148403.74
2024-01-03;248999.14
2024-01-04;213923.17
2024-01-05;313805.77
2024-01-06;239096.83
2024-01-07;66569.9
2024-01-08;220368.13
2024-01-09;147077.91
2024-01-10;417152.09
2024-01-11;216976.57
2024-01-12;346546.39
2024-01-13;256796.44
2024-01-14;190696.0
2024-01-15;308911.22
2024-01-16;226475.67
2024-01-17;268608.19
2024-01-18;274437.1
2024-01-19;343516.67
2024-01-20;380287.14
2024-01-21;98734.11
2024-01-22;244535.88
2024-01-23;454596.41
2024-01-24;323362.15
2024-01-25;646577.42
2024-01-26;375303.79
2024-01-27;253128.48
2024-01-28;62892.04
2024-01-29;342301.2
2024-01-30;496609.35
2024-01-31;488103.85
2024-02-01;182388.61
2024-02-02;255984.15
2024-02-03;445317.57
2024-02-04;102279.44
2024-02-05;322438.87
2024-02-06;45709.28
2024-02-07;283485.63
2024-02-08;399617.18
2024-02-09;710462.83
2024-02-10;317260.63
2024-02-11;48651.36
2024-02-12;151832.78
2024-02-13;70359.94
2024-02-14;251623.33
2024-02-15;571002.81
2024-02-16;232310.5
2024-02-17;341152.51
2024-02-18;83695.24
2024-02-19;289483.99
2024-02-20;521991.25
2024-02-21;308321.85
2024-02-22;251086.07
2024-02-23;505400.72
