data;volume_historico
2023-09-29;172.0
2023-09-30;180.0
2023-10-01;46.0
2023-10-02;73.0
2023-10-03;100.0
2023-10-04;85.0
2023-10-05;109.0
2023-10-06;137.0
2023-10-07;143.0
2023-10-08;131.0
2023-10-09;95.0
2023-10-10;84.0
2023-10-11;133.0
2023-10-12;95.0
2023-10-13;160.0
2023-10-14;124.0
2023-10-15;63.0
2023-10-16;94.0
2023-10-17;116.0
2023-10-18;122.0
2023-10-19;76.0
2023-10-20;126.0
2023-10-21;124.0
2023-10-22;36.0
2023-10-23;92.0
2023-10-24;89.0
2023-10-25;127.0
2023-10-26;122.0
2023-10-27;165.0
2023-10-28;161.0
2023-10-29;88.0
2023-10-30;153.0
2023-10-31;219.0
2023-11-01;75.0
2023-11-02;66.0
2023-11-03;156.0
2023-11-04;105.0
2023-11-05;56.0
2023-11-06;113.0
2023-11-07;121.0
2023-11-08;157.0
2023-11-09;118.0
2023-11-10;136.0
2023-11-11;131.0
2023-11-12;58.0
2023-11-13;112.0
2023-11-14;175.0
2023-11-15;110.0
2023-11-16;108.0
2023-11-17;173.0
2023-11-18;130.0
2023-11-19;58.0
2023-11-20;193.0
2023-11-21;193.0
2023-11-22;187.0
2023-11-23;204.0
2023-11-24;276.75
2023-11-25;250.0
2023-11-26;153.0
2023-11-27;276.75
2023-11-28;211.0
2023-11-29;218.0
2023-11-30;240.0
2023-12-01;197.0
2023-12-02;192.0
2023-12-03;83.0
2023-12-04;179.0
2023-12-05;155.0
2023-12-06;276.75
2023-12-07;245.0
2023-12-08;259.0
2023-12-09;276.75
2023-12-10;167.0
2023-12-11;273.0
2023-12-12;276.75
2023-12-13;276.75
2023-12-14;276.75
2023-12-15;276.75
2023-12-16;276.75
2023-12-17;276.75
2023-12-18;276.75
2023-12-19;276.75
2023-12-20;276.75
2023-12-21;276.75
2023-12-22;276.75
2023-12-23;276.75
2023-12-24;263.0
2023-12-25;
2023-12-26;180.0
2023-12-27;209.0
2023-12-28;238.0
2023-12-29;194.0
2023-12-30;150.0
2023-12-31;38.0
2024-01-01;
2024-01-02;105.0
2024-01-03;127.0
2024-01-04;93.0
2024-01-05;147.0
2024-01-06;125.0
2024-01-07;69.0
2024-01-08;106.0
2024-01-09;105.0
2024-01-10;137.0
2024-01-11;105.0
2024-01-12;149.0
2024-01-13;150.0
2024-01-14;68.0
2024-01-15;121.0
2024-01-16;85.0
2024-01-17;130.0
2024-01-18;119.0
2024-01-19;124.0
2024-01-20;127.0
2024-01-21;65.0
2024-01-22;86.0
2024-01-23;115.0
2024-01-24;106.0
2024-01-25;109.0
2024-01-26;146.0
2024-01-27;121.0
2024-01-28;48.0
2024-01-29;116.0
2024-01-30;128.0
2024-01-31;163.0
2024-02-01;65.0
2024-02-02;126.0
2024-02-03;141.0
2024-02-04;59.0
2024-02-05;98.0
2024-02-06;75.0
2024-02-07;125.0
2024-02-08;108.0
2024-02-09;133.0
2024-02-10;125.0
2024-02-11;37.0
2024-02-12;83.0
2024-02-13;52.0
2024-02-14;82.0
2024-02-15;101.0
2024-02-16;149.0
2024-02-17;113.0
2024-02-18;53.0
2024-02-19;98.0
2024-02-20;83.0
2024-02-21;118.0
2024-02-22;107.0
2024-02-23;124.0
2024-02-24;131.0
2024-02-25;61.0
2024-02-26;102.0
2024-02-27;97.0
2024-02-28;138.0
2024-02-29;141.0
2024-03-01;115.0
2024-03-02;138.0
2024-03-03;69.0
2024-03-04;92.0
2024-03-05;96.0
2024-03-06;151.0
2024-03-07;145.0
2024-03-08;209.0
2024-03-09;232.0
2024-03-10;79.0
2024-03-11;110.0
2024-03-12;122.0
2024-03-13;146.0
2024-03-14;102.0
2024-03-15;106.0
2024-03-16;164.0
2024-03-17;68.0
2024-03-18;96.0
2024-03-19;109.0
2024-03-20;125.0
2024-03-21;125.0
2024-03-22;134.0
2024-03-23;153.0
2024-03-24;69.0
2024-03-25;98.0
2024-03-26;106.0
2024-03-27;143.0
2024-03-28;112.0
2024-03-29;67.0
2024-03-30;145.0
2024-03-31;44.0
2024-04-01;75.0
2024-04-02;100.0
2024-04-03;95.0
2024-04-04;122.0
2024-04-05;129.0
2024-04-06;129.0
2024-04-07;56.0
2024-04-08;88.0
2024-04-09;124.0
2024-04-10;133.0
2024-04-11;124.0
2024-04-12;151.0
2024-04-13;146.0
2024-04-14;44.0
2024-04-15;96.0
2024-04-16;92.0
2024-04-17;132.0
2024-04-18;106.0
2024-04-19;148.0
2024-04-20;135.0
2024-04-21;76.0
2024-04-22;108.0
2024-04-23;78.0
2024-04-24;110.0
2024-04-25;141.0
2024-04-26;147.0
2024-04-27;127.0
2024-04-28;59.0
2024-04-29;141.0
2024-04-30;181.0
2024-05-01;67.0
