metrica;valor;forecast_horizon
MAPE;2.997766828287084;30
MAE;0.0242454348169767;30
RMSE;0.0386333856314694;30
sMAPE;2.934787311849195;30
Bias;-0.0026536965340719;30
R2;0.7029079753062484;30
forecast_horizon;30.0;30
MAPE;3.897096876773209;60
MAE;0.0315190652620698;60
RMSE;0.0502234013209102;60
sMAPE;3.8152235054039534;60
Bias;-0.0026536965340719;60
R2;0.4920355827143738;60
forecast_horizon;60.0;60
MAPE;4.796426925259334;90
MAE;0.0387926957071628;90
RMSE;0.061813417010351;90
sMAPE;4.695659698958712;90
Bias;-0.0026536965340719;90
R2;0.2811631901224993;90
forecast_horizon;90.0;90
