data;vendas_previstas;forecast_horizon
2025-09-28;12258.366276850657;30
2025-09-29;69278.1882775932;30
2025-09-30;72823.05786238513;30
2025-10-01;62902.11737891463;30
2025-10-02;66820.93123934076;30
2025-10-03;72785.42893088912;30
2025-10-04;92821.70387150253;30
2025-10-05;12706.46868509333;30
2025-10-06;82280.78435944697;30
2025-10-07;75147.65679950896;30
2025-10-08;100866.4577570853;30
2025-10-09;93017.91273324024;30
2025-10-10;136750.5930866035;30
2025-10-11;85778.16288814295;30
2025-10-12;14493.549499664472;30
2025-10-13;75888.19915136496;30
2025-10-14;74016.62653441564;30
2025-10-15;88415.55445488232;30
2025-10-16;82231.13931594927;30
2025-10-17;94512.81589223312;30
2025-10-18;91474.98794491965;30
2025-10-19;14045.103027183048;30
2025-10-20;62832.48865868436;30
2025-10-21;67259.20039110043;30
2025-10-22;77242.50964057825;30
2025-10-23;92332.18579156144;30
2025-10-24;92480.7906351716;30
2025-10-25;63147.67274176338;30
2025-10-26;11028.692743727916;30
2025-10-27;82234.91167369847;30
2025-09-28;12258.366276850657;60
2025-09-29;69278.1882775932;60
2025-09-30;72823.05786238513;60
2025-10-01;62902.11737891463;60
2025-10-02;66820.93123934076;60
2025-10-03;72785.42893088912;60
2025-10-04;92821.70387150253;60
2025-10-05;12706.46868509333;60
2025-10-06;82280.78435944697;60
2025-10-07;75147.65679950896;60
2025-10-08;100866.4577570853;60
2025-10-09;93017.91273324024;60
2025-10-10;136750.5930866035;60
2025-10-11;85778.16288814295;60
2025-10-12;14493.549499664472;60
2025-10-13;75888.19915136496;60
2025-10-14;74016.62653441564;60
2025-10-15;88415.55445488232;60
2025-10-16;82231.13931594927;60
2025-10-17;94512.81589223312;60
2025-10-18;91474.98794491965;60
2025-10-19;14045.103027183048;60
2025-10-20;62832.48865868436;60
2025-10-21;67259.20039110043;60
2025-10-22;77242.50964057825;60
2025-10-23;92332.18579156144;60
2025-10-24;92480.7906351716;60
2025-10-25;63147.67274176338;60
2025-10-26;11028.692743727916;60
2025-10-27;82234.91167369847;60
2025-10-28;67428.33715472367;60
2025-10-29;73843.71444115872;60
2025-10-30;85192.15456816275;60
2025-10-31;93623.6084104945;60
2025-11-01;55884.4213938994;60
2025-11-02;11597.958971357191;60
2025-11-03;63646.21751687921;60
2025-11-04;67260.30000240286;60
2025-11-05;79505.7632661185;60
2025-11-06;81791.80025038979;60
2025-11-07;130665.4977036704;60
2025-11-08;96926.46569134908;60
2025-11-09;16130.297103683157;60
2025-11-10;63957.75454486804;60
2025-11-11;72410.65980769704;60
2025-11-12;77258.12031119583;60
2025-11-13;94417.0231575809;60
2025-11-14;82250.51467183049;60
2025-11-15;80110.02363477946;60
2025-11-16;11544.057243996402;60
2025-11-17;68679.4985383334;60
2025-11-18;84337.60244719787;60
2025-11-19;91897.59903216644;60
2025-11-20;90555.14317180928;60
2025-11-21;106874.7738519031;60
2025-11-22;115915.09868552008;60
2025-11-23;13504.646818920764;60
2025-11-24;78424.07808828946;60
2025-11-25;106072.25787619372;60
2025-11-26;119668.1820856357;60
2025-09-28;12258.366276850657;90
2025-09-29;69278.1882775932;90
2025-09-30;72823.05786238513;90
2025-10-01;62902.11737891463;90
2025-10-02;66820.93123934076;90
2025-10-03;72785.42893088912;90
2025-10-04;92821.70387150253;90
2025-10-05;12706.46868509333;90
2025-10-06;82280.78435944697;90
2025-10-07;75147.65679950896;90
2025-10-08;100866.4577570853;90
2025-10-09;93017.91273324024;90
2025-10-10;136750.5930866035;90
2025-10-11;85778.16288814295;90
