data;vendas_previstas;forecast_horizon
2025-10-07;59304.741050205936;30
2025-10-08;101733.54579138049;30
2025-10-09;83556.11183048287;30
2025-10-10;122776.2529742395;30
2025-10-11;75009.14306074032;30
2025-10-12;13990.883054667718;30
2025-10-13;71425.85952854701;30
2025-10-14;73973.28940124964;30
2025-10-15;82098.2940929979;30
2025-10-16;81731.30520649465;30
2025-10-17;95116.01273531714;30
2025-10-18;97520.09375542025;30
2025-10-19;12547.140344486656;30
2025-10-20;58082.46621926734;30
2025-10-21;71136.16419916802;30
2025-10-22;71967.71651181925;30
2025-10-23;78123.7466624149;30
2025-10-24;86784.72704652841;30
2025-10-25;62676.70769432848;30
2025-10-26;11677.404842583865;30
2025-10-27;68783.35382226773;30
2025-10-28;76001.01954042914;30
2025-10-29;84469.6786825957;30
2025-10-30;92491.57796266935;30
2025-10-31;92381.08352879796;30
2025-11-01;54230.77972859552;30
2025-11-02;10721.886261160525;30
2025-11-03;66942.26147198131;30
2025-11-04;66999.07604922717;30
2025-11-05;89802.5266999789;30
