data;vendas_historicas
2023-10-05;41494.18
2023-10-06;64900.93
2023-10-07;100614.86
2023-10-08;10392.0
2023-10-09;53652.78
2023-10-10;139502.0
2023-10-11;103928.27
2023-10-12;18483.0
2023-10-13;75615.1
2023-10-14;57778.0
2023-10-15;13771.0
2023-10-16;50440.89
2023-10-17;77562.18
2023-10-18;68623.31
2023-10-19;69894.6
2023-10-20;76613.9
2023-10-21;52166.0
2023-10-22;9465.0
2023-10-23;70934.39
2023-10-24;66062.0
2023-10-25;76849.1
2023-10-26;63356.0
2023-10-27;74343.0
2023-10-28;38097.0
2023-10-29;3872.0
2023-10-30;71526.52
2023-10-31;103676.0
2023-11-01;57366.0
2023-11-02;5935.0
2023-11-03;112475.76
2023-11-04;61151.12
2023-11-05;6099.0
2023-11-06;55991.73
2023-11-07;90653.72
2023-11-08;60867.0
2023-11-09;63145.08
2023-11-10;143176.0
2023-11-11;81823.81
2023-11-12;9800.0
2023-11-13;79622.2
2023-11-14;107847.1
2023-11-15;10757.0
2023-11-16;77703.6
2023-11-17;83994.05
2023-11-18;81239.0
2023-11-19;14077.0
2023-11-20;87885.0
2023-11-21;110645.21
2023-11-22;50340.87
2023-11-23;106392.48
2023-11-24;173768.0
2023-11-25;109047.2
2023-11-26;20133.0
2023-11-27;139216.75
2023-11-28;67265.3
2023-11-29;87135.53
2023-11-30;83259.55
2023-12-01;86647.0
2023-12-02;240531.4
2023-12-03;10198.0
2023-12-04;42874.0
2023-12-05;86672.32
2023-12-06;83806.6
2023-12-07;115744.0
2023-12-08;249616.48
2023-12-09;172137.2
2023-12-10;81011.0
2023-12-11;133287.55
2023-12-12;195269.57
2023-12-13;209095.3
2023-12-14;198906.0
2023-12-15;173203.32
2023-12-16;160594.44
2023-12-17;91177.0
2023-12-18;327517.78
2023-12-19;336612.0
2023-12-20;437959.1
2023-12-21;258612.5
2023-12-22;537631.9
2023-12-23;375051.0
2023-12-24;242942.0
2023-12-25;0.0
2023-12-26;13840.91
2023-12-27;76935.0
2023-12-28;128365.0
2023-12-29;119588.94
2023-12-30;27313.0
2023-12-31;0.0
2024-01-01;0.0
2024-01-02;14425.22
2024-01-03;38185.0
2024-01-04;53435.0
2024-01-05;75343.5
2024-01-06;10794.0
2024-01-07;5103.0
2024-01-08;70110.26
2024-01-09;44974.0
2024-01-10;31642.0
2024-01-11;43982.0
2024-01-12;70843.0
2024-01-13;39246.0
2024-01-14;7481.0
2024-01-15;52645.66
2024-01-16;49699.0
2024-01-17;47936.04
2024-01-18;83250.0
2024-01-19;53443.2
2024-01-20;52579.0
2024-01-21;11991.0
2024-01-22;76380.96
2024-01-23;50012.0
2024-01-24;71695.5
2024-01-25;58140.31
2024-01-26;69428.78
2024-01-27;34951.0
2024-01-28;1976.0
2024-01-29;52171.4
2024-01-30;83914.54
2024-01-31;77471.92
2024-02-01;87572.0
2024-02-02;208080.69
2024-02-03;48478.82
2024-02-04;10413.0
2024-02-05;92038.34
2024-02-06;85711.38
2024-02-07;71780.0
2024-02-08;98369.0
2024-02-09;157963.56
2024-02-10;56140.0
2024-02-11;8139.0
2024-02-12;12669.0
2024-02-13;21388.31
2024-02-14;62803.0
2024-02-15;120062.93
2024-02-16;135717.39
