empresa;metrica;valor
003;MAPE;39.76511672202171
003;MAE;0.12008027305411544
003;RMSE;0.15267107857831766
003;sMAPE;24.47705209137003
003;Bias;0.01880335254552678
003;R2;-0.17723839232743144
003;forecast_horizon;30.0
005;MAPE;9.238584427610093
005;MAE;0.07172980280181254
005;RMSE;0.11226461506133592
005;sMAPE;10.031690861454745
005;Bias;0.0044523470705171864
005;R2;-0.18995812499649012
005;forecast_horizon;30.0
006;MAPE;8.880012138050938
006;MAE;0.06930991875496469
006;RMSE;0.08487694383758834
006;sMAPE;9.027041507583528
006;Bias;-0.019885184997096014
006;R2;-0.36556630502952125
006;forecast_horizon;30.0
