data;volume_historico
2023-10-05;114.0
2023-10-06;148.0
2023-10-07;251.0
2023-10-08;26.0
2023-10-09;204.0
2023-10-10;273.0
2023-10-11;180.0
2023-10-12;15.0
2023-10-13;217.0
2023-10-14;208.0
2023-10-15;16.0
2023-10-16;93.0
2023-10-17;172.0
2023-10-18;128.0
2023-10-19;158.0
2023-10-20;196.0
2023-10-21;109.0
2023-10-22;19.0
2023-10-23;129.0
2023-10-24;119.0
2023-10-25;152.0
2023-10-26;149.0
2023-10-27;120.0
2023-10-28;100.0
2023-10-29;11.0
2023-10-30;117.0
2023-10-31;193.0
2023-11-01;107.0
2023-11-02;15.0
2023-11-03;165.0
2023-11-04;129.0
2023-11-05;14.0
2023-11-06;147.0
2023-11-07;156.0
2023-11-08;136.0
2023-11-09;150.0
2023-11-10;165.0
2023-11-11;206.0
2023-11-12;9.0
2023-11-13;133.0
2023-11-14;182.0
2023-11-15;24.0
2023-11-16;163.0
2023-11-17;163.0
2023-11-18;105.0
2023-11-19;24.0
2023-11-20;159.0
2023-11-21;229.0
2023-11-22;135.0
2023-11-23;239.0
2023-11-24;294.94999999999993
2023-11-25;205.0
2023-11-26;29.0
2023-11-27;166.0
2023-11-28;172.0
2023-11-29;157.0
2023-11-30;262.0
2023-12-01;210.0
2023-12-02;219.0
2023-12-03;25.0
2023-12-04;68.0
2023-12-05;225.0
2023-12-06;281.0
2023-12-07;294.94999999999993
2023-12-08;294.94999999999993
2023-12-09;294.94999999999993
2023-12-10;144.0
2023-12-11;294.94999999999993
2023-12-12;294.94999999999993
2023-12-13;294.94999999999993
2023-12-14;294.94999999999993
2023-12-15;294.94999999999993
2023-12-16;269.0
2023-12-17;196.0
2023-12-18;294.94999999999993
2023-12-19;294.94999999999993
2023-12-20;294.94999999999993
2023-12-21;294.94999999999993
2023-12-22;294.94999999999993
2023-12-23;294.94999999999993
2023-12-24;264.0
2023-12-25;
2023-12-26;34.0
2023-12-27;216.0
2023-12-28;201.0
2023-12-29;278.0
2023-12-30;36.0
2023-12-31;
2024-01-01;
2024-01-02;60.0
2024-01-03;94.0
2024-01-04;166.0
2024-01-05;119.0
2024-01-06;23.0
2024-01-07;7.0
2024-01-08;151.0
2024-01-09;148.0
2024-01-10;107.0
2024-01-11;124.0
2024-01-12;172.0
2024-01-13;135.0
2024-01-14;11.0
2024-01-15;122.0
2024-01-16;158.0
2024-01-17;120.0
2024-01-18;143.0
2024-01-19;128.0
2024-01-20;118.0
2024-01-21;16.0
2024-01-22;188.0
2024-01-23;128.0
2024-01-24;195.0
2024-01-25;147.0
2024-01-26;181.0
2024-01-27;100.0
2024-01-28;6.0
2024-01-29;152.0
2024-01-30;190.0
2024-01-31;185.0
2024-02-01;162.0
2024-02-02;214.0
2024-02-03;121.0
2024-02-04;22.0
2024-02-05;149.0
2024-02-06;179.0
2024-02-07;188.0
2024-02-08;185.0
2024-02-09;294.94999999999993
2024-02-10;118.0
2024-02-11;8.0
2024-02-12;26.0
2024-02-13;33.0
2024-02-14;150.0
2024-02-15;186.0
2024-02-16;200.0
2024-02-17;158.0
2024-02-18;21.0
2024-02-19;150.0
2024-02-20;133.0
2024-02-21;125.0
2024-02-22;259.0
2024-02-23;147.0
2024-02-24;124.0
2024-02-25;11.0
2024-02-26;150.0
2024-02-27;138.0
2024-02-28;168.0
