metrica;valor;forecast_horizon
MAPE;21.908049301355707;30
MAE;0.1575869792440846;30
RMSE;0.270406781264872;30
sMAPE;41.75963778234793;30
Bias;0.0831806947282676;30
R2;0.2971887324723976;30
forecast_horizon;30.0;30
MAPE;28.48046409176242;60
MAE;0.20486307301731;60
RMSE;0.3515288156443337;60
sMAPE;54.28752911705231;60
Bias;0.0831806947282676;60
R2;0.2080321127306783;60
forecast_horizon;60.0;60
MAPE;35.05287888216913;90
MAE;0.2521391667905354;90
RMSE;0.4326508500237953;90
sMAPE;66.8154204517567;90
Bias;0.0831806947282676;90
R2;0.118875492988959;90
forecast_horizon;90.0;90
