data;vendas_previstas;forecast_horizon
2025-09-29;19727.12745841451;30
2025-09-30;46354.5940679198;30
2025-10-01;37333.96245993682;30
2025-10-02;30759.72047392809;30
2025-10-03;14667.62892313268;30
2025-10-04;8087.277689309969;30
2025-10-05;323.0157895670715;30
2025-10-06;13581.24726632458;30
2025-10-07;41484.33488125286;30
2025-10-08;40948.000226043085;30
2025-10-09;33370.28648312367;30
2025-10-10;19841.63317835804;30
2025-10-11;56495.95413929405;30
2025-10-12;260.47538105470795;30
2025-10-13;42052.04335482609;30
2025-10-14;55626.06972579598;30
2025-10-15;56020.44541606298;30
2025-10-16;51521.58008092284;30
2025-10-17;48084.39074888856;30
2025-10-18;14843.87916230759;30
2025-10-19;382.19482266954833;30
2025-10-20;23195.59382627525;30
2025-10-21;79569.41377048219;30
2025-10-22;18134.51926054273;30
2025-10-23;48891.19250039938;30
2025-10-24;11062.62509861093;30
2025-10-25;15274.657498625833;30
2025-10-26;429.8303920566586;30
2025-10-27;47715.55254658412;30
2025-10-28;14512.122454573228;30
2025-09-29;19727.12745841451;60
2025-09-30;46354.5940679198;60
2025-10-01;37333.96245993682;60
2025-10-02;30759.72047392809;60
2025-10-03;14667.62892313268;60
2025-10-04;8087.277689309969;60
2025-10-05;323.0157895670715;60
2025-10-06;13581.24726632458;60
2025-10-07;41484.33488125286;60
2025-10-08;40948.000226043085;60
2025-10-09;33370.28648312367;60
2025-10-10;19841.63317835804;60
2025-10-11;56495.95413929405;60
2025-10-12;260.47538105470795;60
2025-10-13;42052.04335482609;60
2025-10-14;55626.06972579598;60
2025-10-15;56020.44541606298;60
2025-10-16;51521.58008092284;60
2025-10-17;48084.39074888856;60
2025-10-18;14843.87916230759;60
2025-10-19;382.19482266954833;60
2025-10-20;23195.59382627525;60
2025-10-21;79569.41377048219;60
2025-10-22;18134.51926054273;60
2025-10-23;48891.19250039938;60
2025-10-24;11062.62509861093;60
2025-10-25;15274.657498625833;60
2025-10-26;429.8303920566586;60
2025-10-27;47715.55254658412;60
2025-10-28;14512.122454573228;60
2025-10-29;17887.51455020385;60
2025-10-30;17101.695309289826;60
2025-10-31;66047.73515979577;60
2025-11-01;13676.586173923832;60
2025-11-02;342.7282817001808;60
2025-11-03;31074.68812900304;60
2025-11-04;25290.673770551177;60
2025-11-05;13667.739815284653;60
2025-11-06;26298.304701939127;60
2025-11-07;29076.36248571532;60
2025-11-08;20655.388768494828;60
2025-11-09;925.2523698790116;60
2025-11-10;7500.753430858379;60
2025-11-11;36053.02303875287;60
2025-11-12;18580.41038560145;60
2025-11-13;38179.47446172646;60
2025-11-14;45538.9833890026;60
2025-11-15;7539.439551217786;60
2025-11-16;465.4213732468156;60
2025-11-17;32489.82065400285;60
2025-11-18;80370.16310880873;60
2025-11-19;62117.597658150014;60
2025-11-20;54976.25668141277;60
2025-11-21;44439.90992462912;60
2025-11-22;23752.99849514876;60
2025-11-23;885.8215485362095;60
2025-11-24;7906.619557363147;60
2025-11-25;35470.4926263594;60
2025-11-26;37252.43578875685;60
2025-11-27;31137.441153939024;60
2025-09-29;19727.12745841451;90
2025-09-30;46354.5940679198;90
2025-10-01;37333.96245993682;90
2025-10-02;30759.72047392809;90
2025-10-03;14667.62892313268;90
2025-10-04;8087.277689309969;90
2025-10-05;323.0157895670715;90
2025-10-06;13581.24726632458;90
2025-10-07;41484.33488125286;90
2025-10-08;40948.000226043085;90
2025-10-09;33370.28648312367;90
2025-10-10;19841.63317835804;90
2025-10-11;56495.95413929405;90
2025-10-12;260.47538105470795;90
2025-10-13;42052.04335482609;90
2025-10-14;55626.06972579598;90
2025-10-15;56020.44541606298;90
2025-10-16;51521.58008092284;90
