metrica;valor;forecast_horizon
MAPE;1.4194690771544287;30
MAE;0.0182493043665117;30
RMSE;0.0728489082116721;30
sMAPE;2.7049922138515505;30
Bias;0.0041752436466945;30
R2;0.1793444049457692;30
forecast_horizon;30.0;30
MAPE;1.8453098003007573;60
MAE;0.0237240956764652;60
RMSE;0.0947035806751738;60
sMAPE;3.516489878007016;60
Bias;0.0041752436466945;60
R2;0.1255410834620384;60
forecast_horizon;60.0;60
MAPE;2.271150523447086;90
MAE;0.0291988869864187;90
RMSE;0.1165582531386754;90
sMAPE;4.327987542162481;90
Bias;0.0041752436466945;90
R2;0.0717377619783076;90
forecast_horizon;90.0;90
