data;vendas_previstas;forecast_horizon
2025-10-08;24962.06391082596;30
2025-10-09;24962.52956495036;30
2025-10-10;32020.89756138029;30
2025-10-11;30948.273698380268;30
2025-10-12;14552.103067329686;30
2025-10-13;38161.11147466351;30
2025-10-14;20131.776797512484;30
2025-10-15;26648.147503070373;30
2025-10-16;24875.66102953479;30
2025-10-17;35490.09521127945;30
2025-10-18;28178.912936116445;30
2025-10-19;14325.583542754415;30
2025-10-20;42375.1373899116;30
2025-10-21;21574.09218812238;30
2025-10-22;24702.66315745364;30
2025-10-23;23739.972228654016;30
2025-10-24;29932.125961279977;30
2025-10-25;23850.51270098817;30
2025-10-26;13586.508478307103;30
2025-10-27;41672.12961659867;30
2025-10-28;18914.81737235397;30
2025-10-29;26445.399166206036;30
2025-10-30;25286.311488019623;30
2025-10-31;32135.53593074909;30
2025-11-01;25716.06843599363;30
2025-11-02;11837.109794418546;30
2025-11-03;47202.47709775149;30
2025-11-04;23294.04745976168;30
2025-11-05;29271.413524950523;30
2025-11-06;29305.00668622042;30
2025-10-08;24962.06391082596;60
2025-10-09;24962.52956495036;60
2025-10-10;32020.89756138029;60
2025-10-11;30948.273698380268;60
2025-10-12;14552.103067329686;60
2025-10-13;38161.11147466351;60
2025-10-14;20131.776797512484;60
2025-10-15;26648.147503070373;60
2025-10-16;24875.66102953479;60
2025-10-17;35490.09521127945;60
2025-10-18;28178.912936116445;60
2025-10-19;14325.583542754415;60
2025-10-20;42375.1373899116;60
2025-10-21;21574.09218812238;60
2025-10-22;24702.66315745364;60
2025-10-23;23739.972228654016;60
2025-10-24;29932.125961279977;60
2025-10-25;23850.51270098817;60
2025-10-26;13586.508478307103;60
2025-10-27;41672.12961659867;60
2025-10-28;18914.81737235397;60
2025-10-29;26445.399166206036;60
2025-10-30;25286.311488019623;60
2025-10-31;32135.53593074909;60
2025-11-01;25716.06843599363;60
2025-11-02;11837.109794418546;60
2025-11-03;47202.47709775149;60
2025-11-04;23294.04745976168;60
2025-11-05;29271.413524950523;60
2025-11-06;29305.00668622042;60
2025-11-07;39697.703988596535;60
2025-11-08;27004.19127211485;60
2025-11-09;16982.212233184837;60
2025-11-10;52269.37833996971;60
2025-11-11;32953.59460250706;60
2025-11-12;32393.7457735836;60
2025-11-13;34416.494892131144;60
2025-11-14;35363.53222699504;60
2025-11-15;37644.47981480548;60
2025-11-16;16836.46272340596;60
2025-11-17;47133.65120854885;60
2025-11-18;23147.53264219509;60
2025-11-19;31696.966317894763;60
2025-11-20;33457.50824145266;60
2025-11-21;41798.59455157889;60
2025-11-22;32303.224761538648;60
2025-11-23;19528.06863406109;60
2025-11-24;48167.47026913158;60
2025-11-25;31151.577306146013;60
2025-11-26;34910.45235416897;60
2025-11-27;40471.08789763353;60
2025-11-28;43532.50480294501;60
2025-11-29;40544.662600217096;60
2025-11-30;19946.46339314824;60
2025-12-01;56724.57225109134;60
2025-12-02;30959.239026957348;60
2025-12-03;40902.7609971538;60
2025-12-04;39331.03791765124;60
2025-12-05;44928.451766684775;60
2025-12-06;44962.47519233888;60
2025-10-08;24962.06391082596;90
2025-10-09;24962.52956495036;90
2025-10-10;32020.89756138029;90
2025-10-11;30948.273698380268;90
2025-10-12;14552.103067329686;90
2025-10-13;38161.11147466351;90
2025-10-14;20131.776797512484;90
2025-10-15;26648.147503070373;90
2025-10-16;24875.66102953479;90
2025-10-17;35490.09521127945;90
2025-10-18;28178.912936116445;90
2025-10-19;14325.583542754415;90
2025-10-20;42375.1373899116;90
2025-10-21;21574.09218812238;90
2025-10-22;24702.66315745364;90
2025-10-23;23739.972228654016;90
2025-10-24;29932.125961279977;90
2025-10-25;23850.51270098817;90
2025-10-26;13586.508478307103;90
2025-10-27;41672.12961659867;90
2025-10-28;18914.81737235397;90
2025-10-29;26445.399166206036;90
2025-10-30;25286.311488019623;90
2025-10-31;32135.53593074909;90
2025-11-01;25716.06843599363;90
2025-11-02;11837.109794418546;90
2025-11-03;47202.47709775149;90
2025-11-04;23294.04745976168;90
2025-11-05;29271.413524950523;90
2025-11-06;29305.00668622042;90
2025-11-07;39697.703988596535;90
2025-11-08;27004.19127211485;90
2025-11-09;16982.212233184837;90
2025-11-10;52269.37833996971;90
2025-11-11;32953.59460250706;90
2025-11-12;32393.7457735836;90
2025-11-13;34416.494892131144;90
2025-11-14;35363.53222699504;90
2025-11-15;37644.47981480548;90
2025-11-16;16836.46272340596;90
2025-11-17;47133.65120854885;90
2025-11-18;23147.53264219509;90
2025-11-19;31696.966317894763;90
2025-11-20;33457.50824145266;90
2025-11-21;41798.59455157889;90
2025-11-22;32303.224761538648;90
2025-11-23;19528.06863406109;90
2025-11-24;48167.47026913158;90
2025-11-25;31151.577306146013;90
2025-11-26;34910.45235416897;90
2025-11-27;40471.08789763353;90
2025-11-28;43532.50480294501;90
2025-11-29;40544.662600217096;90
2025-11-30;19946.46339314824;90
2025-12-01;56724.57225109134;90
2025-12-02;30959.239026957348;90
2025-12-03;40902.7609971538;90
2025-12-04;39331.03791765124;90
2025-12-05;44928.451766684775;90
2025-12-06;44962.47519233888;90
2025-12-07;21660.982271513967;90
2025-12-08;56836.60400089133;90
2025-12-09;38999.90126104153;90
2025-12-10;42314.49429709626;90
2025-12-11;42046.81091878857;90
2025-12-12;47562.64170897484;90
2025-12-13;51069.12951377258;90
2025-12-14;23960.202505644807;90
2025-12-15;59767.89519200419;90
2025-12-16;38622.51807667097;90
2025-12-17;41087.658092756814;90
2025-12-18;37249.59176852933;90
2025-12-19;44856.1303872842;90
2025-12-20;50664.787462173146;90
2025-12-21;21461.60173333821;90
2025-12-22;56600.518409829165;90
2025-12-23;37922.12414609749;90
2025-12-24;36913.96472821967;90
2025-12-25;42639.997029827486;90
