data;vendas_previstas;forecast_horizon
2025-10-04;29856.489977103884;60
2025-10-05;12344.272336529279;60
2025-10-06;44871.85568116595;60
2025-10-07;24453.898134977168;60
2025-10-08;23639.17626075507;60
2025-10-09;27428.090658325935;60
2025-10-10;38185.480805778425;60
2025-10-11;32589.45441060235;60
2025-10-12;12465.690076485509;60
2025-10-13;46205.50226989413;60
2025-10-14;23531.91427672148;60
2025-10-15;28358.979812960097;60
2025-10-16;25208.143684586725;60
2025-10-17;38147.14749292369;60
2025-10-18;26345.56035927662;60
2025-10-19;15429.587650586966;60
2025-10-20;47938.280531234544;60
2025-10-21;23761.04945011875;60
2025-10-22;25539.842017359115;60
2025-10-23;26792.424348253324;60
2025-10-24;27249.12024119418;60
2025-10-25;24861.321416664545;60
2025-10-26;12447.38849472191;60
2025-10-27;41415.27443818176;60
2025-10-28;20671.093125470266;60
2025-10-29;24313.93382949558;60
2025-10-30;29118.424726423124;60
2025-10-31;29332.71714800524;60
2025-11-01;25189.01277504576;60
2025-11-02;13972.44914212207;60
2025-11-03;48265.412379340705;60
2025-11-04;25217.06519328976;60
2025-11-05;28001.034184382544;60
2025-11-06;28810.449353549797;60
2025-11-07;37195.2899819812;60
2025-11-08;28827.493742021994;60
2025-11-09;16861.810642656597;60
2025-11-10;49463.47489466728;60
2025-11-11;31741.960575748624;60
2025-11-12;32366.32389714655;60
2025-11-13;36849.95563686066;60
2025-11-14;39476.025910484816;60
2025-11-15;34014.73999440633;60
2025-11-16;16601.12430952985;60
2025-11-17;47699.20642294157;60
2025-11-18;31167.520915514597;60
2025-11-19;30781.202943662796;60
2025-11-20;29438.24142324484;60
2025-11-21;37372.08664417408;60
2025-11-22;39002.2813113567;60
2025-11-23;17789.146644923636;60
2025-11-24;50282.76173634585;60
2025-11-25;31872.819840967986;60
2025-11-26;35367.596963106276;60
2025-11-27;41308.84583254608;60
2025-11-28;44027.09930119776;60
2025-11-29;41857.62174278028;60
2025-11-30;19602.637352293747;60
2025-12-01;61067.63882701236;60
2025-12-02;38887.66419108355;60
