data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-06;33227.92;historico;0;33227.92
2025-09-07;15792.75;historico;0;49020.67
2025-09-08;43447.67;historico;0;92468.34
2025-09-09;24848.79;historico;0;117317.13
2025-09-10;30176.79;historico;0;147493.92
2025-09-11;36562.81;historico;0;184056.73
2025-09-12;31105.96;historico;0;215162.69
2025-09-13;35425.05;historico;0;250587.74
2025-09-14;13420.55;historico;0;264008.29
2025-09-15;36250.91;historico;0;300259.19999999995
2025-09-16;19261.29;historico;0;319520.48999999993
2025-09-17;24627.55;historico;0;344148.0399999999
2025-09-18;21523.14;historico;0;365671.17999999993
2025-09-19;32492.96;historico;0;398164.13999999996
2025-09-20;27253.27;historico;0;425417.41
2025-09-21;11037.85;historico;0;436455.25999999995
2025-09-22;37401.99;historico;0;473857.24999999994
2025-09-23;20866.88;historico;0;494724.12999999995
2025-09-24;23743.32;historico;0;518467.44999999995
2025-09-25;23422.97;historico;0;541890.4199999999
2025-09-26;34058.93;historico;0;575949.35
2025-09-27;25721.6;historico;0;601670.95
2025-09-28;16891.65;historico;0;618562.6
2025-09-29;37444.48;historico;0;656007.08
2025-09-30;14662.4;historico;0;670669.48
2025-10-01;21308.44;historico;0;691977.9199999999
2025-10-02;20210.63;historico;0;712188.5499999999
2025-10-03;34180.54;historico;0;746369.09
2025-10-04;38658.71;historico;0;785027.7999999999
2025-10-05;17133.45;historico;0;802161.2499999999
2025-10-06;32395.71;historico;0;834556.9599999998
2025-10-07;23031.440103723475;previsao;30;857588.4001037233
2025-10-07;23031.440103723475;previsao;90;857588.4001037233
2025-10-07;23031.440103723475;previsao;60;857588.4001037233
2025-10-08;24055.616971298587;previsao;30;881644.0170750219
2025-10-08;24055.616971298587;previsao;90;881644.0170750219
2025-10-08;24055.616971298587;previsao;60;881644.0170750219
2025-10-09;27042.581712653468;previsao;90;908686.5987876754
2025-10-09;27042.581712653468;previsao;30;908686.5987876754
2025-10-09;27042.581712653468;previsao;60;908686.5987876754
2025-10-10;33394.83258997921;previsao;60;942081.4313776545
2025-10-10;33394.83258997921;previsao;30;942081.4313776545
2025-10-10;33394.83258997921;previsao;90;942081.4313776545
2025-10-11;34045.2995767832;previsao;60;976126.7309544377
2025-10-11;34045.2995767832;previsao;90;976126.7309544377
2025-10-11;34045.2995767832;previsao;30;976126.7309544377
2025-10-12;14595.88044805969;previsao;30;990722.6114024974
2025-10-12;14595.88044805969;previsao;60;990722.6114024974
2025-10-12;14595.88044805969;previsao;90;990722.6114024974
2025-10-13;41168.58418517315;previsao;60;1031891.1955876705
2025-10-13;41168.58418517315;previsao;90;1031891.1955876705
2025-10-13;41168.58418517315;previsao;30;1031891.1955876705
2025-10-14;23500.841709475302;previsao;60;1055392.037297146
2025-10-14;23500.841709475302;previsao;30;1055392.037297146
2025-10-14;23500.841709475302;previsao;90;1055392.037297146
2025-10-15;27871.111340732565;previsao;90;1083263.1486378785
2025-10-15;27871.111340732565;previsao;60;1083263.1486378785
2025-10-15;27871.111340732565;previsao;30;1083263.1486378785
2025-10-16;26079.989449734658;previsao;90;1109343.138087613
2025-10-16;26079.989449734658;previsao;30;1109343.138087613
2025-10-16;26079.989449734658;previsao;60;1109343.138087613
2025-10-17;38655.86455759982;previsao;30;1147999.002645213
2025-10-17;38655.86455759982;previsao;90;1147999.002645213
2025-10-17;38655.86455759982;previsao;60;1147999.002645213
2025-10-18;26966.45885555754;previsao;90;1174965.4615007704
2025-10-18;26966.45885555754;previsao;30;1174965.4615007704
2025-10-18;26966.45885555754;previsao;60;1174965.4615007704
2025-10-19;14342.375341148962;previsao;90;1189307.8368419195
2025-10-19;14342.375341148962;previsao;30;1189307.8368419195
2025-10-19;14342.375341148962;previsao;60;1189307.8368419195
2025-10-20;43339.17801518156;previsao;90;1232647.014857101
2025-10-20;43339.17801518156;previsao;60;1232647.014857101
2025-10-20;43339.17801518156;previsao;30;1232647.014857101
2025-10-21;21441.002367824447;previsao;30;1254088.0172249256
2025-10-21;21441.002367824447;previsao;60;1254088.0172249256
2025-10-21;21441.002367824447;previsao;90;1254088.0172249256
2025-10-22;24239.393653907264;previsao;60;1278327.410878833
2025-10-22;24239.393653907264;previsao;30;1278327.410878833
2025-10-22;24239.393653907264;previsao;90;1278327.410878833
2025-10-23;24766.785795272117;previsao;30;1303094.196674105
2025-10-23;24766.785795272117;previsao;60;1303094.196674105
2025-10-23;24766.785795272117;previsao;90;1303094.196674105
2025-10-24;27393.67285472569;previsao;30;1330487.8695288307
2025-10-24;27393.67285472569;previsao;60;1330487.8695288307
2025-10-24;27393.67285472569;previsao;90;1330487.8695288307
2025-10-25;24473.912987393924;previsao;60;1354961.7825162248
2025-10-25;24473.912987393924;previsao;90;1354961.7825162248
2025-10-25;24473.912987393924;previsao;30;1354961.7825162248
2025-10-26;13916.845005147745;previsao;30;1368878.6275213726
2025-10-26;13916.845005147745;previsao;60;1368878.6275213726
2025-10-26;13916.845005147745;previsao;90;1368878.6275213726
2025-10-27;44908.33677808984;previsao;30;1413786.9642994625
2025-10-27;44908.33677808984;previsao;90;1413786.9642994625
2025-10-27;44908.33677808984;previsao;60;1413786.9642994625
2025-10-28;22909.51166651508;previsao;60;1436696.4759659776
2025-10-28;22909.51166651508;previsao;90;1436696.4759659776
2025-10-28;22909.51166651508;previsao;30;1436696.4759659776
2025-10-29;29089.439302399587;previsao;90;1465785.9152683772
2025-10-29;29089.439302399587;previsao;30;1465785.9152683772
2025-10-29;29089.439302399587;previsao;60;1465785.9152683772
2025-10-30;26646.99087763985;previsao;90;1492432.906146017
2025-10-30;26646.99087763985;previsao;60;1492432.906146017
