empresa;metrica;valor
002;MAPE;6.865440324210533
002;MAE;0.05835018311379899
002;RMSE;0.1003751676747903
002;sMAPE;7.892449871517651
002;Bias;-0.010160235556013524
002;R2;-0.06577682237298399
002;forecast_horizon;30.0
005;MAPE;39.650466791750574
005;MAE;0.3664854505677991
005;RMSE;0.4651244567664848
005;sMAPE;153.8806968190745
005;Bias;0.35069634584019865
005;R2;-2.084239955409002
005;forecast_horizon;30.0
010;MAPE;5.407545950877573
010;MAE;0.043664349749807915
010;RMSE;0.08765089588397787
010;sMAPE;6.450093204729717
010;Bias;0.008569587897325818
010;R2;-0.10340880807556263
010;forecast_horizon;30.0
012;MAPE;16.593594270103218
012;MAE;0.08399553068189071
012;RMSE;0.10919139669697515
012;sMAPE;14.823794090793156
012;Bias;-0.006291838790851069
012;R2;0.022771121333806432
012;forecast_horizon;30.0
014;MAPE;7.212830098564979
014;MAE;0.05985314350283784
014;RMSE;0.07688094451631604
014;sMAPE;7.327689498394847
014;Bias;-0.01837158942332602
014;R2;-0.4017063231253126
014;forecast_horizon;30.0
