data;volume_historico
2023-10-05;148.0
2023-10-06;259.0
2023-10-07;137.0
2023-10-08;52.0
2023-10-09;206.0
2023-10-10;154.0
2023-10-11;198.0
2023-10-12;78.0
2023-10-13;293.0
2023-10-14;131.0
2023-10-15;57.0
2023-10-16;156.0
2023-10-17;171.0
2023-10-18;164.0
2023-10-19;172.0
2023-10-20;219.0
2023-10-21;166.0
2023-10-22;36.0
2023-10-23;269.0
2023-10-24;181.0
2023-10-25;154.0
2023-10-26;127.0
2023-10-27;199.0
2023-10-28;157.0
2023-10-29;50.0
2023-10-30;263.0
2023-10-31;212.0
2023-11-01;109.0
2023-11-02;81.0
2023-11-03;337.0
2023-11-04;103.0
2023-11-05;33.0
2023-11-06;356.0
2023-11-07;197.0
2023-11-08;124.0
2023-11-09;264.0
2023-11-10;289.0
2023-11-11;215.0
2023-11-12;49.0
2023-11-13;377.0
2023-11-14;379.0
2023-11-15;62.0
2023-11-16;422.0
2023-11-17;224.0
2023-11-18;140.0
2023-11-19;129.0
2023-11-20;102.0
2023-11-21;539.85
2023-11-22;539.85
2023-11-23;539.85
2023-11-24;539.85
2023-11-25;539.85
2023-11-26;399.0
2023-11-27;539.85
2023-11-28;432.0
2023-11-29;434.0
2023-11-30;539.85
2023-12-01;439.0
2023-12-02;164.0
2023-12-03;36.0
2023-12-04;437.0
2023-12-05;309.0
2023-12-06;438.0
2023-12-07;205.0
2023-12-08;236.0
2023-12-09;209.0
2023-12-10;100.0
2023-12-11;483.0
2023-12-12;459.0
2023-12-13;501.0
2023-12-14;458.0
2023-12-15;274.0
2023-12-16;257.0
2023-12-17;151.0
2023-12-18;539.85
2023-12-19;539.85
2023-12-20;515.0
2023-12-21;539.85
2023-12-22;539.85
2023-12-23;539.85
2023-12-24;288.0
2023-12-25;
2023-12-26;534.0
2023-12-27;260.0
2023-12-28;275.0
2023-12-29;189.0
2023-12-30;221.0
2023-12-31;88.0
2024-01-01;
2024-01-02;384.0
2024-01-03;373.0
2024-01-04;369.0
2024-01-05;252.0
2024-01-06;120.0
2024-01-07;57.0
2024-01-08;424.0
2024-01-09;173.0
2024-01-10;138.0
2024-01-11;225.0
2024-01-12;185.0
2024-01-13;118.0
2024-01-14;34.0
2024-01-15;413.0
2024-01-16;186.0
2024-01-17;283.0
2024-01-18;184.0
2024-01-19;220.0
2024-01-20;53.0
2024-01-21;40.0
2024-01-22;353.0
2024-01-23;175.0
2024-01-24;138.0
2024-01-25;71.0
2024-01-26;391.0
2024-01-27;62.0
2024-01-28;22.0
2024-01-29;326.0
2024-01-30;122.0
2024-01-31;223.0
2024-02-01;238.0
2024-02-02;286.0
2024-02-03;33.0
2024-02-04;23.0
2024-02-05;525.0
2024-02-06;120.0
2024-02-07;155.0
2024-02-08;216.0
