metrica;valor;forecast_horizon
MAPE;14.360579316714986;30
MAE;0.1218335719712356;30
RMSE;0.2572449231253108;30
sMAPE;71.41510161978215;30
Bias;-0.002208280609859;30
R2;0.5029704578240187;30
forecast_horizon;30.0;30
MAPE;18.668753111729483;60
MAE;0.1583836435626062;60
RMSE;0.3344184000629041;60
sMAPE;92.8396321057168;60
Bias;-0.002208280609859;60
R2;0.352079320476813;60
forecast_horizon;60.0;60
MAPE;22.97692690674398;90
MAE;0.1949337151539769;90
RMSE;0.4115918770004974;90
sMAPE;114.26416259165144;90
Bias;-0.002208280609859;90
R2;0.2011881831296075;90
forecast_horizon;90.0;90
