data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-09-03;255350.0;historico;0;255350.0
2025-09-04;342505.02;historico;0;597855.02
2025-09-05;55502.0;historico;0;653357.02
2025-09-06;0.0;historico;0;653357.02
2025-09-07;0.0;historico;0;653357.02
2025-09-08;13270.0;historico;0;666627.02
2025-09-09;396526.03;historico;0;1063153.05
2025-09-10;72888.0;historico;0;1136041.05
2025-09-11;0.0;historico;0;1136041.05
2025-09-12;90209.26;historico;0;1226250.31
2025-09-13;0.0;historico;0;1226250.31
2025-09-14;0.0;historico;0;1226250.31
2025-09-15;194160.0;historico;0;1420410.31
2025-09-16;26498.76;historico;0;1446909.07
2025-09-17;178369.0;historico;0;1625278.07
2025-09-18;63124.79;historico;0;1688402.86
2025-09-19;955910.0;historico;0;2644312.8600000003
2025-09-20;0.0;historico;0;2644312.8600000003
2025-09-21;0.0;historico;0;2644312.8600000003
2025-09-22;0.0;historico;0;2644312.8600000003
2025-09-23;240107.43;historico;0;2884420.2900000005
2025-09-24;222104.0;historico;0;3106524.2900000005
2025-09-25;117320.0;historico;0;3223844.2900000005
2025-09-26;108300.0;historico;0;3332144.2900000005
2025-09-27;187710.0;historico;0;3519854.2900000005
2025-09-28;0.0;historico;0;3519854.2900000005
2025-09-29;81470.0;historico;0;3601324.2900000005
2025-09-30;14945.38;historico;0;3616269.6700000004
2025-10-01;171716.41;historico;0;3787986.0800000005
2025-10-02;470972.0;historico;0;4258958.08
2025-10-03;68028.76;historico;0;4326986.84
2025-10-04;1.1047724724917205;previsao;30;4326987.944772473
2025-10-04;1.1047724724917205;previsao;90;4326987.944772473
2025-10-04;1.1047724724917205;previsao;60;4326987.944772473
2025-10-05;0.0;previsao;30;4326987.944772473
2025-10-05;0.0;previsao;90;4326987.944772473
2025-10-05;0.0;previsao;60;4326987.944772473
2025-10-06;120244.18255313224;previsao;90;4447232.127325605
2025-10-06;120244.18255313224;previsao;30;4447232.127325605
2025-10-06;120244.18255313224;previsao;60;4447232.127325605
2025-10-07;46288.39752796215;previsao;60;4493520.524853567
