metrica;valor;forecast_horizon
MAPE;5.3276577887529815;30
MAE;0.0633670810400562;30
RMSE;0.1915139568351576;30
sMAPE;66.88737395463963;30
Bias;0.0203872160174483;30
R2;0.7829855238099445;30
forecast_horizon;30.0;30
MAPE;6.925955125378876;60
MAE;0.0823772053520731;60
RMSE;0.2489681438857049;60
sMAPE;86.95358614103152;60
Bias;0.0203872160174483;60
R2;0.5480898666669611;60
forecast_horizon;60.0;60
MAPE;8.524252462004771;90
MAE;0.10138732966409;90
RMSE;0.3064223309362523;90
sMAPE;107.01979832742342;90
Bias;0.0203872160174483;90
R2;0.3131942095239778;90
forecast_horizon;90.0;90
