data;vendas_previstas;forecast_horizon
2025-10-07;91978.52830765497;30
2025-10-08;80460.84169893607;30
2025-10-09;61995.919097234386;30
2025-10-10;114137.33049902714;30
2025-10-11;0.0;30
2025-10-12;0.0;30
2025-10-13;64781.20832552133;30
2025-10-14;104824.73539363944;30
2025-10-15;103509.69901501294;30
2025-10-16;42477.876138857;30
2025-10-17;96037.86170899289;30
2025-10-18;0.0;30
2025-10-19;0.0;30
2025-10-20;56518.62812757137;30
2025-10-21;74405.18503608841;30
2025-10-22;61329.68811114302;30
2025-10-23;124350.42823017167;30
2025-10-24;112636.49397331168;30
2025-10-25;0.0;30
2025-10-26;0.0;30
2025-10-27;78110.0331053978;30
2025-10-28;80446.17066946127;30
2025-10-29;90103.76116136603;30
2025-10-30;108070.4324698126;30
2025-10-31;147224.40670872742;30
2025-11-01;0.0;30
2025-11-02;0.0;30
2025-11-03;51635.29875285536;30
2025-11-04;53095.98550935948;30
2025-11-05;64454.092772189215;30
