data;vendas_forecast;Empresa;Database
2025-05-04;27581.914861455745;001;013CRO_ERP_BI
2025-05-05;41152.51897580249;001;013CRO_ERP_BI
2025-05-06;49131.88106648403;001;013CRO_ERP_BI
2025-05-07;84333.08821841105;001;013CRO_ERP_BI
2025-05-08;86566.04515168187;001;013CRO_ERP_BI
2025-05-09;101793.32771180212;001;013CRO_ERP_BI
2025-05-10;65141.94110865927;001;013CRO_ERP_BI
2025-05-11;45681.771272086386;001;013CRO_ERP_BI
2025-05-12;46565.29858204972;001;013CRO_ERP_BI
2025-05-13;40878.23125085275;001;013CRO_ERP_BI
2025-05-14;39157.99560256438;001;013CRO_ERP_BI
2025-05-15;48299.201273674335;001;013CRO_ERP_BI
2025-05-16;59784.6880073654;001;013CRO_ERP_BI
2025-05-17;34816.960377368836;001;013CRO_ERP_BI
2025-05-18;29438.90394224506;001;013CRO_ERP_BI
2025-05-19;59709.10947471352;001;013CRO_ERP_BI
2025-05-20;49046.802322030715;001;013CRO_ERP_BI
2025-05-21;47664.032231083365;001;013CRO_ERP_BI
2025-05-22;58735.515530809265;001;013CRO_ERP_BI
2025-05-23;81611.34393989625;001;013CRO_ERP_BI
2025-05-24;61352.95558811477;001;013CRO_ERP_BI
2025-05-25;80521.17986716554;001;013CRO_ERP_BI
2025-05-26;38074.05367285393;001;013CRO_ERP_BI
2025-05-27;50886.54712883652;001;013CRO_ERP_BI
2025-05-28;62294.60413371896;001;013CRO_ERP_BI
2025-05-29;52977.08926502193;001;013CRO_ERP_BI
2025-05-30;67011.6746429009;001;013CRO_ERP_BI
2025-05-31;25210.689931324112;001;013CRO_ERP_BI
2025-06-01;18587.291168260148;001;013CRO_ERP_BI
2025-06-02;18924.389960503722;001;013CRO_ERP_BI
2025-05-04;11094.463407140174;002;013CRO_ERP_BI
2025-05-05;6274.6218815344055;002;013CRO_ERP_BI
2025-05-06;4420.219043350351;002;013CRO_ERP_BI
2025-05-07;8928.781790579862;002;013CRO_ERP_BI
2025-05-08;11288.4909829577;002;013CRO_ERP_BI
2025-05-09;6437.229402343328;002;013CRO_ERP_BI
2025-05-10;7422.115777445556;002;013CRO_ERP_BI
2025-05-11;6168.377883841942;002;013CRO_ERP_BI
2025-05-12;7852.686882049044;002;013CRO_ERP_BI
2025-05-13;6604.1645088119485;002;013CRO_ERP_BI
2025-05-14;6570.1355675278755;002;013CRO_ERP_BI
2025-05-15;12987.363158235605;002;013CRO_ERP_BI
2025-05-16;10174.885184754408;002;013CRO_ERP_BI
2025-05-17;12303.728667572572;002;013CRO_ERP_BI
2025-05-18;7584.895920905849;002;013CRO_ERP_BI
2025-05-19;5521.02357508549;002;013CRO_ERP_BI
2025-05-20;7308.819899688645;002;013CRO_ERP_BI
2025-05-21;9616.118539330062;002;013CRO_ERP_BI
2025-05-22;8765.372378759346;002;013CRO_ERP_BI
2025-05-23;13380.54488471661;002;013CRO_ERP_BI
2025-05-24;10283.95662251031;002;013CRO_ERP_BI
2025-05-25;10126.053483534884;002;013CRO_ERP_BI
2025-05-26;8219.122174506452;002;013CRO_ERP_BI
2025-05-27;5548.404048450708;002;013CRO_ERP_BI
2025-05-28;4880.647933827323;002;013CRO_ERP_BI
2025-05-29;4217.714511479261;002;013CRO_ERP_BI
2025-05-30;3294.244530372973;002;013CRO_ERP_BI
2025-05-31;2482.0580720658845;002;013CRO_ERP_BI
2025-06-01;3227.454280103557;002;013CRO_ERP_BI
2025-06-02;3230.052852900978;002;013CRO_ERP_BI
